"Service Operations for: "	Asset And Liability Management
""
"POST"	"/asset-and-liability-management/activation"
"PUT"	"/asset-and-liability-management/{sd-reference-id}/configuration"
"PUT"	"/asset-and-liability-management/{sd-reference-id}/feedback"
""
"Put"	"/asset-and-liability-management/{sd-identifier}/asset-and-liability-portfolio-strategy/{crbq-identifier}/update"
""	1	"inout"	"Asset And Liability Balance Sheet"	"CR Asset And Liability Portfolio Strategy Instance Record"	String
""	2	"inout"	"Asset And Liability Maturity Ladder"	"CR Asset And Liability Portfolio Strategy Instance Record"	String
""	3	"inout"	"Asset And Liability Capital Allocation"	"CR Asset And Liability Portfolio Strategy Instance Record"	String
""	4	"inout"	"Asset And Liability Policy Goal Record"	"CR Asset And Liability Portfolio Strategy Instance Record"	String
""	5	"inout"	"Asset And Liability Policy Type"	"CR Asset And Liability Portfolio Strategy Instance Record"	String
""	6	"inout"	"Asset And Liability Policy Type Definition"	"CR Asset And Liability Portfolio Strategy Instance Record"	String
""	7	"inout"	"Asset And Liability Policy Type Goals"	"CR Asset And Liability Portfolio Strategy Instance Record"	String
""	8	"inout"	"Asset And Liability Policy Type Position"	"CR Asset And Liability Portfolio Strategy Instance Record"	String
""	9	"inout"	"Asset And Liability Policy Type Sensitivity Assessment"	"CR Asset And Liability Portfolio Strategy Instance Record"	String
""
"Put"	"/asset-and-liability-management/{sd-identifier}/asset-and-liability-portfolio-strategy/{crbq-identifier}/requisition"
""	1	"in"	"Asset And Liability Balance Sheet"	"CR Asset And Liability Portfolio Strategy Instance Record"	String
""	2	"in"	"Asset And Liability Maturity Ladder"	"CR Asset And Liability Portfolio Strategy Instance Record"	String
""	3	"in"	"Asset And Liability Capital Allocation"	"CR Asset And Liability Portfolio Strategy Instance Record"	String
""	4	"inout"	"Asset And Liability Policy Goal Record"	"CR Asset And Liability Portfolio Strategy Instance Record"	String
""	5	"inout"	"Asset And Liability Policy Type"	"CR Asset And Liability Portfolio Strategy Instance Record"	String
""	6	"inout"	"Asset And Liability Policy Type Definition"	"CR Asset And Liability Portfolio Strategy Instance Record"	String
