"Control Record Model for: "	Branch Currency Management
"Record Type"	"Instance Record"	"Attribute"	"Description"	"Data Type"
"CR"	CR Branch Cash Allocation Instance Record	""	"Maintain an inventory or holding of some resource and make assignments/allocations as requested  within Branch Currency Management. . Example: Track the inventory and administer the distribution of central cash holdings throughout the branch & ATM network."	""
"CR"	CR Branch Cash Allocation Instance Record	Branch Cash Allocation Parameter Type	"A Classification value that distinguishes between allocation Options according to the optional business services defined within Branch Cash Allocation"	String
"CR"	CR Branch Cash Allocation Instance Record	Branch Cash Allocation Selected Option	"A selected optional business service for which resources are allocated"	String
"CR"	CR Branch Cash Allocation Instance Record	Branch Cash Allocation <Subject Area> Type	"A Classification value, that distinguishes between the the type of resource allocated withing the Branch Cash Allocation"	String
"CR"	CR Branch Cash Allocation Instance Record	Branch Cash Allocation Description	"Documentation of Branch Cash Allocation"	String
"CR"	CR Branch Cash Allocation Instance Record	Branch Cash Allocation Request	"Request to allocate BranchCash"	String
"CR"	CR Branch Cash Allocation Instance Record	Branch Cash Allocation Schedule	"Timetable to allocate BranchCash"	String
"CR"	CR Branch Cash Allocation Instance Record	Branch Cash Allocation Status	"The status of Branch Cash Allocation"	String
"CR"	CR Branch Cash Allocation Instance Record	Branch Cash Allocation Reference	"Reference to the party who is involved in Branch Cash Allocation"	Object
"CR"	CR Branch Cash Allocation Instance Record	Branch Cash Allocation Customer Reference	"Reference to the customer who is involved in Branch Cash Allocation"	Object
"CR"	CR Branch Cash Allocation Instance Record	Branch Cash Allocation Currency	"The curreny which is arranged/used for Branch Cash Allocation"	CurrencyCode
"CR"	CR Branch Cash Allocation Instance Record	Branch Cash Allocation Regulation Reference	"Reference to the regulation which is defined for Branch Cash Allocation"	Object
"CR"	CR Branch Cash Allocation Instance Record	Branch Cash Allocation Regulation Type	"A Classification that distinguishes between the regularity domains of Branch Cash Allocation"	String
"CR"	CR Branch Cash Allocation Instance Record	Branch Cash Allocation Jurisdiction	"Reference to the jurisdiction that is assigned to Branch Cash Allocation in case of legal dispute."	String
"CR"	CR Branch Cash Allocation Instance Record	Branch Cash Allocation Booking Location	"The financial accounting unit into which the financial events, with regard to the origination and fulfillment of the agreement, are entered."	String
"CR"	CR Branch Cash Allocation Instance Record	Branch Cash Allocation Account Type	"The type of account which is linked to Branch Cash Allocation"	String
"CR"	CR Branch Cash Allocation Instance Record	Branch Cash Allocation Account Reference	"Reference to the account which is linked to Branch Cash Allocation"	Object
"CR"	CR Branch Cash Allocation Instance Record	Branch Cash Allocation Instance	"Reference to Branch Cash Allocation Instance"	String
"BQ"	BQ Branch Currency Management Outcome Instance Record	""	""	""
"BQ"	BQ Branch Currency Management Outcome Instance Record	Branch Currency Management Allocation	""	CurrencyCode
"BQ"	BQ Branch Currency Management Outcome Instance Record	Branch Currency Management Work Product	""	CurrencyCode
"BQ"	BQ Inventory Allocation Instance Record	""	"Criteria governing cash to position allocation based on available cash holdings, historical volumes/activity and planned teller availability schedules"	""
"BQ"	BQ Inventory Allocation Instance Record	Inventory Allocation Preconditions	"The required status/situation before the allocation can be made"	String
"BQ"	BQ Inventory Allocation Instance Record	Inventory Allocation Allocation Schedule	"The schedule and timing of allocation decisions"	String
"BQ"	BQ Inventory Allocation Instance Record	Cash Inventory Allocation	"The Branch Cash Allocation specific  Business Service"	Business Service
"BQ"	BQ Inventory Allocation Instance Record	Cash Inventory Allocation Service Type	"Reference to the specific business service type"	String
"BQ"	BQ Inventory Allocation Instance Record	Cash Inventory Allocation Service Description	"Description of the performed business service"	String
"BQ"	BQ Inventory Allocation Instance Record	Cash Inventory Allocation Service Inputs and Ouputs	"Mandatory and optional inputs and output information for the business service"	String
"BQ"	BQ Inventory Allocation Instance Record	Cash Inventory Allocation Service Work Product	"Documentation, meeting schedules, notes, reasearch. calculations and any other work products produced by the business service"	String
"BQ"	BQ Inventory Allocation Instance Record	Cash Inventory Allocation Service Name	""	String
