"Control Record Model for: "	Business Architecture
"Record Type"	"Instance Record"	"Attribute"	"Description"	"Data Type"
"CR"	CR Business Architecture Specification Instance Record	""	"Create and maintain a design for a procedure, product/service model or other such entity  within Business Architecture. . Example: Create and maintain product designs and analytical models."	""
"CR"	CR Business Architecture Specification Instance Record	Business Architecture Specification Parameter Type	"A Classification value that distinguishes between designs according to the type of business services and/or aspect within Business Architecture Specification . Eg Product Design, Campaign Design, Risk Model Design etc. "	String
"CR"	CR Business Architecture Specification Instance Record	Business Architecture Specification Selected Option	"A selected optional business service as subject matter of design"	String
"CR"	CR Business Architecture Specification Instance Record	Business Architecture Specification Description	"Documentation of Business Architecture Specification"	String
"CR"	CR Business Architecture Specification Instance Record	Business Architecture Specification Version	"The version of Business Architecture Specification"	String
"CR"	CR Business Architecture Specification Instance Record	Business Architecture Specification Status	"The status of Business Architecture Specification"	String
"CR"	CR Business Architecture Specification Instance Record	Business Architecture Specification Usage Log	"Reference to the log of (usage) ativities/events of Business Architecture Specification"	String
"CR"	CR Business Architecture Specification Instance Record	Business Architecture Specification Feedback	"Information about reactions to a design which is used as a basis for improvement for the Business Architecture Specification."	String
"CR"	CR Business Architecture Specification Instance Record	Business Architecture Specification ServiceProvider Reference	"Reference to the party who has provided Business Architecture Specification"	Object
"BQ"	BQ Application Architecture Instance Record	""	"Create and maintain a design for a procedure, product/service model or other such entity  within Business Architecture. . Example: Create and maintain product designs and analytical models."	""
"BQ"	BQ Application Architecture Instance Record	Application Architecture Preconditions	"The required status/situation before the specification aspect can be defined"	String
"BQ"	BQ Application Architecture Instance Record	Application Architecture Specification Schedule	"The schedule and timing of the definition and update/revisions of the specification aspect"	String
"BQ"	BQ Application Architecture Instance Record	Application Architecture Version Number	"The current version, and version history as appropriate for the specification aspect"	String
"BQ"	BQ Application Architecture Instance Record	Application Architecture	"The Business Architecture Specification specific  Business Service"	Business Service
"BQ"	BQ Application Architecture Instance Record	Application Architecture Service Type	"Reference to the specific business service type"	String
"BQ"	BQ Application Architecture Instance Record	Application Architecture Service Description	"Description of the performed business service"	String
"BQ"	BQ Application Architecture Instance Record	Application Architecture Service Inputs and Ouputs	"Mandatory and optional inputs and output information for the business service"	String
"BQ"	BQ Application Architecture Instance Record	Application Architecture Service Work Product	"Documentation, meeting schedules, notes, reasearch. calculations and any other work products produced by the business service"	String
"BQ"	BQ Application Architecture Instance Record	Application Architecture Service Name	""	String
"BQ"	BQ Organization Instance Record	""	"Create and maintain a design for a procedure, product/service model or other such entity  within Business Architecture. . Example: Create and maintain product designs and analytical models."	""
