"Control Record Model for: "	Business Development
"Record Type"	"Instance Record"	"Attribute"	"Description"	"Data Type"
"CR"	CR Business Development Strategy Instance Record	""	""	""
"CR"	CR Business Development Strategy Instance Record	Business Development Strategy Period	"The time period addressed by the business development strategy"	String
"CR"	CR Business Development Strategy Instance Record	Business Development Strategy Policies And Guidelines	"Specific policies and guidelines that govern the application of the strategy"	String
"CR"	CR Business Development Strategy Instance Record	Business Development Strategy Organization	"Roles and responsibilities for the oversight of implementation of the strategy"	String
"CR"	CR Business Development Strategy Instance Record	Business Development Strategy Budget	"Target and actual financial budget for the strategy"	String
"CR"	CR Business Development Strategy Instance Record	Business Development Strategy Schedule	"The target and actual strategy implementation schedule - recording planned and actual initiatives associated with the realization of the strategy"	String
"CR"	CR Business Development Strategy Instance Record	Business Development Goal Record	"The record of the goals making up the overall business development strategy"	String
"CR"	CR Business Development Strategy Instance Record	Business Development Goal Type	"The type of goal (e.g. market share, new business, relationship performance)"	String
"CR"	CR Business Development Strategy Instance Record	Business Development Goal Definition	"A definition of the goal, including the intended actions required to achieve the goal"	String
"CR"	CR Business Development Strategy Instance Record	Business Development Goal Organization	"Identifies the interested parties and their roles and responsibilities for the specific actions supporting the achievement of the goal"	String
"CR"	CR Business Development Strategy Instance Record	Business Development Goal Result	"Assessment of how the work is progressing towards achieving the goal, including projections of likely outcomes"	String
"BQ"	BQ Initiative Instance Record	""	""	""
"BQ"	BQ Initiative Instance Record	Business Development Initiative Business Unit Reference	"Business unit responsible for implementing a specific initiative supporting the business development strategy"	Object
"BQ"	BQ Initiative Instance Record	Business Development Initiative Type	"The type of initiative (e.g. development project, acquisition, campaign, media communications)"	String
"BQ"	BQ Initiative Instance Record	Business Development Initiative Description	"Definition of the initiative, including planned actions, deliverables and intended outcomes"	String
"BQ"	BQ Initiative Instance Record	Business Development Initiative Schedule	"Planned and actual dates for activities making up the initiative. Any necessary details describing the purpose or reference properties of the transaction"	String
"BQ"	BQ Initiative Instance Record	Business Development Initiative Work Products	"File of consolidated notes, assessments etc. arising from the work"	String
"BQ"	BQ Initiative Instance Record	Business Development Initiative Result	"An assessment of the results/impact of the business development initiative"	String
"BQ"	BQ Initiative Instance Record	Document Directory Entry Instance Reference	"Reference to associated documents (when appropriate)"	Object
"BQ"	BQ Initiative Instance Record	Correspondence Instance Reference	"Reference to the correspondence generated by the initiative"	Object
"BQ"	BQ Initiative Instance Record	Date Type	"Key dates and times associated with the execution of the business development initiative (e.g. start, review, completion)"	String
"BQ"	BQ Initiative Instance Record	Date	"Value of the date type"	String
