"Service Operations for: "	Card Capture
""
"POST"	"/card-capture/activation"
"PUT"	"/card-capture/{sd-reference-id}/configuration"
"PUT"	"/card-capture/{sd-reference-id}/feedback"
""
"Put"	"/card-capture/{sd-identifier}/transaction-consolidation/{crbq-identifier}/control"
""	1	"inout"	"Transaction Consolidation Preconditions"	"BQ Transaction Consolidation Instance Record"	String
""	2	"inout"	"Transaction Consolidation Task Schedule"	"BQ Transaction Consolidation Instance Record"	String
""	3	"inout"	"Card Transaction Consolidation"	"BQ Transaction Consolidation Instance Record"	Business Service
""	4	"inout"	"Transaction Consolidation Postconditions"	"BQ Transaction Consolidation Instance Record"	String
""	5	"inout"	"Transaction Consolidation Card Transaction Consolidation Service Type"	"BQ Transaction Consolidation Instance Record"	String
""	6	"inout"	"Transaction Consolidation Card Transaction Consolidation Service Description"	"BQ Transaction Consolidation Instance Record"	String
""	7	"inout"	"Transaction Consolidation Card Transaction Consolidation Service Inputs and Ouputs"	"BQ Transaction Consolidation Instance Record"	String
""	8	"inout"	"Transaction Consolidation Card Transaction Consolidation Service Work Product"	"BQ Transaction Consolidation Instance Record"	String
""	9	"inout"	"Transaction Consolidation Card Transaction Consolidation Service Name"	"BQ Transaction Consolidation Instance Record"	String
""
"Put"	"/card-capture/{sd-identifier}/credit-charge-card-financial-capture-transaction/{crbq-identifier}/control"
""	1	"inout"	"Credit/Charge Card Financial Capture Transaction Parameter Type"	"CR Credit Charge Card Financial Capture Transaction Instance Record"	String
""	2	"inout"	"Credit/Charge Card Financial Capture Transaction Selected Option"	"CR Credit Charge Card Financial Capture Transaction Instance Record"	String
""	3	"inout"	"Credit/Charge Card Financial Capture Transaction Status"	"CR Credit Charge Card Financial Capture Transaction Instance Record"	String
""	4	"in"	"Credit/Charge Card Financial Capture Transaction Type"	"CR Credit Charge Card Financial Capture Transaction Instance Record"	String
""	5	"in"	"Credit/Charge Card Financial Capture Transaction Transaction Type"	"CR Credit Charge Card Financial Capture Transaction Instance Record"	String
""
"Put"	"/card-capture/{sd-identifier}/transaction-consolidation/{crbq-identifier}/exchange"
""	1	"inout"	"Transaction Consolidation Preconditions"	"BQ Transaction Consolidation Instance Record"	String
""	2	"inout"	"Transaction Consolidation Task Schedule"	"BQ Transaction Consolidation Instance Record"	String
""	3	"inout"	"Card Transaction Consolidation"	"BQ Transaction Consolidation Instance Record"	Business Service
""	4	"inout"	"Transaction Consolidation Postconditions"	"BQ Transaction Consolidation Instance Record"	String
""	5	"inout"	"Transaction Consolidation Card Transaction Consolidation Service Type"	"BQ Transaction Consolidation Instance Record"	String
""	6	"inout"	"Transaction Consolidation Card Transaction Consolidation Service Description"	"BQ Transaction Consolidation Instance Record"	String
""	7	"inout"	"Transaction Consolidation Card Transaction Consolidation Service Inputs and Ouputs"	"BQ Transaction Consolidation Instance Record"	String
""	8	"inout"	"Transaction Consolidation Card Transaction Consolidation Service Work Product"	"BQ Transaction Consolidation Instance Record"	String
""	9	"inout"	"Transaction Consolidation Card Transaction Consolidation Service Name"	"BQ Transaction Consolidation Instance Record"	String
""
"Put"	"/card-capture/{sd-identifier}/credit-charge-card-financial-capture-transaction/{crbq-identifier}/exchange"
""	1	"inout"	"Credit/Charge Card Financial Capture Transaction Parameter Type"	"CR Credit Charge Card Financial Capture Transaction Instance Record"	String
""	2	"inout"	"Credit/Charge Card Financial Capture Transaction Selected Option"	"CR Credit Charge Card Financial Capture Transaction Instance Record"	String
""	3	"inout"	"Credit/Charge Card Financial Capture Transaction Status"	"CR Credit Charge Card Financial Capture Transaction Instance Record"	String
""	4	"in"	"Credit/Charge Card Financial Capture Transaction Type"	"CR Credit Charge Card Financial Capture Transaction Instance Record"	String
""	5	"in"	"Credit/Charge Card Financial Capture Transaction Transaction Type"	"CR Credit Charge Card Financial Capture Transaction Instance Record"	String
""
"Put"	"/card-capture/{sd-identifier}/transaction-consolidation/{crbq-identifier}/execution"
""	1	"inout"	"Transaction Consolidation Preconditions"	"BQ Transaction Consolidation Instance Record"	String
""	2	"inout"	"Transaction Consolidation Task Schedule"	"BQ Transaction Consolidation Instance Record"	String
""	3	"inout"	"Card Transaction Consolidation"	"BQ Transaction Consolidation Instance Record"	Business Service
""	4	"inout"	"Transaction Consolidation Postconditions"	"BQ Transaction Consolidation Instance Record"	String
""	5	"inout"	"Transaction Consolidation Card Transaction Consolidation Service Type"	"BQ Transaction Consolidation Instance Record"	String
""	6	"inout"	"Transaction Consolidation Card Transaction Consolidation Service Description"	"BQ Transaction Consolidation Instance Record"	String
""	7	"inout"	"Transaction Consolidation Card Transaction Consolidation Service Inputs and Ouputs"	"BQ Transaction Consolidation Instance Record"	String
""	8	"inout"	"Transaction Consolidation Card Transaction Consolidation Service Work Product"	"BQ Transaction Consolidation Instance Record"	String
""	9	"inout"	"Transaction Consolidation Card Transaction Consolidation Service Name"	"BQ Transaction Consolidation Instance Record"	String
""
"Put"	"/card-capture/{sd-identifier}/credit-charge-card-financial-capture-transaction/{crbq-identifier}/execution"
""	1	"inout"	"Credit/Charge Card Financial Capture Transaction Parameter Type"	"CR Credit Charge Card Financial Capture Transaction Instance Record"	String
""	2	"inout"	"Credit/Charge Card Financial Capture Transaction Selected Option"	"CR Credit Charge Card Financial Capture Transaction Instance Record"	String
""	3	"inout"	"Credit/Charge Card Financial Capture Transaction Status"	"CR Credit Charge Card Financial Capture Transaction Instance Record"	String
""	4	"in"	"Credit/Charge Card Financial Capture Transaction Type"	"CR Credit Charge Card Financial Capture Transaction Instance Record"	String
""	5	"in"	"Credit/Charge Card Financial Capture Transaction Transaction Type"	"CR Credit Charge Card Financial Capture Transaction Instance Record"	String
""
"Post"	"/card-capture/{sd-identifier}/transaction-authorization/{crbq-identifier}/initiation"
""	1	"inout"	"Transaction Authorization Preconditions"	"BQ Transaction Authorization Instance Record"	String
""	2	"inout"	"Transaction Authorization Task Schedule"	"BQ Transaction Authorization Instance Record"	String
""	3	"inout"	"Business Service"	"BQ Transaction Authorization Instance Record"	Business Service
""	4	"inout"	"Transaction Authorization Postconditions"	"BQ Transaction Authorization Instance Record"	String
""	5	"inout"	"Transaction Authorization Service Type"	"BQ Transaction Authorization Instance Record"	String
""	6	"inout"	"Transaction Authorization Service Description"	"BQ Transaction Authorization Instance Record"	String
""	7	"inout"	"Transaction Authorization Service Inputs and Ouputs"	"BQ Transaction Authorization Instance Record"	String
""	8	"inout"	"Transaction Authorization Service Work Product"	"BQ Transaction Authorization Instance Record"	String
""	9	"inout"	"Transaction Authorization Service Name"	"BQ Transaction Authorization Instance Record"	String
""
"Post"	"/card-capture/{sd-identifier}/transaction-capture/{crbq-identifier}/initiation"
""	1	"inout"	"Transaction Capture Preconditions"	"BQ Transaction Capture Instance Record"	String
""	2	"inout"	"Transaction Capture Task Schedule"	"BQ Transaction Capture Instance Record"	String
""	3	"inout"	"Business Service"	"BQ Transaction Capture Instance Record"	Business Service
""	4	"inout"	"Transaction Capture Postconditions"	"BQ Transaction Capture Instance Record"	String
""	5	"inout"	"Transaction Capture Service Type"	"BQ Transaction Capture Instance Record"	String
""	6	"inout"	"Transaction Capture Service Description"	"BQ Transaction Capture Instance Record"	String
""	7	"inout"	"Transaction Capture Service Inputs and Ouputs"	"BQ Transaction Capture Instance Record"	String
""	8	"inout"	"Transaction Capture Service Work Product"	"BQ Transaction Capture Instance Record"	String
""	9	"inout"	"Transaction Capture Service Name"	"BQ Transaction Capture Instance Record"	String
""
"Post"	"/card-capture/{sd-identifier}/transaction-consolidation/{crbq-identifier}/initiation"
""	1	"inout"	"Transaction Consolidation Preconditions"	"BQ Transaction Consolidation Instance Record"	String
""	2	"inout"	"Transaction Consolidation Task Schedule"	"BQ Transaction Consolidation Instance Record"	String
