"Control Record Model for: "	Card Clearing
"Record Type"	"Instance Record"	"Attribute"	"Description"	"Data Type"
"BQ"	BQ Matching Instance Record	""	""	""
"BQ"	BQ Matching Instance Record	Matching Task Result	"Details of the transaction matching processing"	String
"CR"	CR Card Clearing Procedure Instance Record	""	""	""
"CR"	CR Card Clearing Procedure Instance Record	Network Reference	"Refers to the card network"	Object
"CR"	CR Card Clearing Procedure Instance Record	Participant Acquirer Bank Reference	"Reference to the Acquiring bank for which the Network orchestrates clearing processing"	Object
"CR"	CR Card Clearing Procedure Instance Record	Participant Acquirer Bank Clearing and Settlement Terms	"Defines card clearing fees/terms in force - referenced by Network"	String
"CR"	CR Card Clearing Procedure Instance Record	Participant Issuer Bank Reference	"Reference to the Issuing bank for which the Network orchestrates clearing processing"	Object
"CR"	CR Card Clearing Procedure Instance Record	Participant Issuer Bank Clearing and Settlement Terms	"Defines card clearing fees/terms in force - referenced by Network"	String
"CR"	CR Card Clearing Procedure Instance Record	Card Clearing Process Type	"Defines the type of clearing process - e.g. capture, batch, chargeback between combinations of N,I&A"	String
"CR"	CR Card Clearing Procedure Instance Record	Card Clearing Process Date/Time	"The scheduled time for the process - likely initiation time"	Date
"CR"	CR Card Clearing Procedure Instance Record	Card Clearing Service Schedule	"The schedule of activities for card clearing"	String
"BQ"	BQ Capture Instance Record	""	""	""
"BQ"	BQ Capture Instance Record	Card Transaction Record Reference	"Reference to the card transaction as recorded by issuer and/or acquirer - these can be batched for some clearing processes"	Object
"BQ"	BQ Capture Instance Record	Card Transaction Product Instance Reference	"The account number associated with the card transaction"	Object
"BQ"	BQ Capture Instance Record	Card Transaction Network Reference	"Reference to the network the card transaction is handled by"	Object
"BQ"	BQ Capture Instance Record	Card Transaction Issuing Bank Reference	"Refers to the card holder's issuing bank"	Object
"BQ"	BQ Capture Instance Record	Card Transaction Merchant Acquiring Bank Reference	"Refers to the merchant's acquiring bank"	Object
"BQ"	BQ Capture Instance Record	Card Transaction Type	"The type of transaction (purchase, cash advance, etc.)"	String
"BQ"	BQ Capture Instance Record	Card Transaction Currency	"The currency that the transaction is made in"	CurrencyCode
"BQ"	BQ Capture Instance Record	Card Transaction Amount Type	"Type of amount (e.g. original amount, billing currency amount, conversion rate, FX Mark-up)"	String
"BQ"	BQ Capture Instance Record	Card Transaction Amount	"The amount corresponding to the type"	Amount
"BQ"	BQ Capture Instance Record	Card Transaction Merchant Reference	"Refers to the merchant initiating settlement"	Object
"BQ"	BQ Capture Instance Record	Card Transaction Location Reference	"Refers to the point of sale location"	Object
"BQ"	BQ Capture Instance Record	Card Transaction ProductandService Reference	"Details of the transaction (e.g. purchased service/product, purpose)"	Object
"BQ"	BQ Capture Instance Record	Card Transaction Date/Time	"Significant dates and times associated with the transaction"	Date
"BQ"	BQ Capture Instance Record	Card Transaction FX Conversion Charge	"The applied currency conversion charge"	String
"BQ"	BQ Capture Instance Record	Card Transaction Intercharge Fee	"The applied intercharge fee"	String
"BQ"	BQ Capture Instance Record	Card Transaction Authorization Record	"Details the reference, amount, timestamp of the transaction authorization)"	String
"BQ"	BQ Routing Instance Record	""	""	""
"BQ"	BQ Routing Instance Record	Routing Task Result	"Details of the transaction routing processing"	String
"BQ"	BQ Addressing Instance Record	""	""	""
"BQ"	BQ Addressing Instance Record	Addressing Task Result	"Details of the transaction addressing"	String
"BQ"	BQ FX Conversion Instance Record	""	""	""
"BQ"	BQ FX Conversion Instance Record	FX Conversion Rates and Fees	"The FX rates and fees that are applied to the transactions"	Rate
"BQ"	BQ FX Conversion Instance Record	FX Conversion Task Result	"Details of the transaction FX conversion"	String
"BQ"	BQ Reconciliation Instance Record	""	""	""
"BQ"	BQ Reconciliation Instance Record	Reconciliation Task Result	"Details of the transaction matching processing"	String
"BQ"	BQ Fees Instance Record	""	""	""
"BQ"	BQ Fees Instance Record	Intercharge Fees	"Defines intercharge rates and fees to be applied to card transactions"	String
"BQ"	BQ Fees Instance Record	Fee Task Result	"Details of the transaction fee processing"	String
