"Control Record Model for: "	Case Root Cause Analysis
"Record Type"	"Instance Record"	"Attribute"	"Description"	"Data Type"
"CR"	CR Customer Case Root Cause Analysis Instance Record	""	"Analyze the performance or behavior of some on-going activity or entity  within Case Root Cause Analysis. . Examples: Provide behavioral insights and analysis into customer behavior and analyze financial market activity in order to identify opportunities, define pricing and evaluate risks.. . Analyze the performance or behavior of some on-going activity or entity. Examples: Provide behavioral insights and analysis into customer behavior and analyze financial market activity in order to identify opportunities, define pricing and evaluate risks."	""
"CR"	CR Customer Case Root Cause Analysis Instance Record	Customer Case Root Cause Analysis Parameter Type	"A Classification value that distinguishes between Analysis according to the type of business services and/or type of concern defined within Customer Case Root Cause Analysis . Eg Market Analysis, Risk Analysis, Perfomance Analysis, etc."	String
"CR"	CR Customer Case Root Cause Analysis Instance Record	Customer Case Root Cause Analysis Selected Option	"A selected optional business service as subject matter of analysis"	String
"CR"	CR Customer Case Root Cause Analysis Instance Record	Customer Case Root Cause Analysis Request	"Request to perform Customer Case Root Cause Analysis"	String
"CR"	CR Customer Case Root Cause Analysis Instance Record	Customer Case Root Cause Analysis Schedule	"Timetable to perform Customer Case Root Cause Analysis"	String
"CR"	CR Customer Case Root Cause Analysis Instance Record	Customer Case Root Cause Analysis Status	"The status of Customer Case Root Cause Analysis"	String
"CR"	CR Customer Case Root Cause Analysis Instance Record	Customer Case Root Cause Analysis Usage Log	"Reference to the log of (usage) ativities/events of Customer Case Root Cause Analysis"	String
"CR"	CR Customer Case Root Cause Analysis Instance Record	Customer Case Root Cause Analysis Requester Reference	"Reference to the party who has requested Customer Case Root Cause Analysis"	Object
"BQ"	BQ Operations and  Servicing Issue Analysis Instance Record	""	"Analyze the performance or behavior of some on-going activity or entity  within Case Root Cause Analysis. . Examples: Provide behavioral insights and analysis into customer behavior and analyze financial market activity in order to identify opportunities, define pricing and evaluate risks.. . Analyze the performance or behavior of some on-going activity or entity. Examples: Provide behavioral insights and analysis into customer behavior and analyze financial market activity in order to identify opportunities, define pricing and evaluate risks."	""
"BQ"	BQ Operations and  Servicing Issue Analysis Instance Record	Operations and  Servicing Issue Analysis Preconditions	"The required status/situation before the algorithm can be applied"	String
"BQ"	BQ Operations and  Servicing Issue Analysis Instance Record	Operations and  Servicing Issue Analysis Analysis Schedule	"The schedule and timing of the analysis performed using the algorithm"	String
"BQ"	BQ Operations and  Servicing Issue Analysis Instance Record	Operations and  Servicing Issue Analysis Version Number	"The algorithm version employed in the analysis"	String
"BQ"	BQ Operations and  Servicing Issue Analysis Instance Record	Operations and Servicing Issue Analysis	"The Customer Case Root Cause Analysis specific  Business Service"	Business Service
"BQ"	BQ Operations and  Servicing Issue Analysis Instance Record	Operations and Servicing Issue Analysis Service Type	"Reference to the specific business service type"	String
"BQ"	BQ Operations and  Servicing Issue Analysis Instance Record	Operations and Servicing Issue Analysis Service Description	"Description of the performed business service"	String
"BQ"	BQ Operations and  Servicing Issue Analysis Instance Record	Operations and Servicing Issue Analysis Service Inputs and Ouputs	"Mandatory and optional inputs and output information for the business service"	String
"BQ"	BQ Operations and  Servicing Issue Analysis Instance Record	Operations and Servicing Issue Analysis Service Work Product	"Documentation, meeting schedules, notes, reasearch. calculations and any other work products produced by the business service"	String
"BQ"	BQ Operations and  Servicing Issue Analysis Instance Record	Operations and Servicing Issue Analysis Service Name	""	String
"BQ"	BQ Case Root Cause Analysis Outcome Instance Record	""	""	""
"BQ"	BQ Case Root Cause Analysis Outcome Instance Record	Case Root Cause Analysis Work Product	""	String
"BQ"	BQ Case Root Cause Analysis Outcome Instance Record	Case Root Cause Analysis Analysis Type	""	String
"BQ"	BQ Product and  Service Issue Analysis Instance Record	""	"Analyze the performance or behavior of some on-going activity or entity  within Case Root Cause Analysis. . Examples: Provide behavioral insights and analysis into customer behavior and analyze financial market activity in order to identify opportunities, define pricing and evaluate risks.. . Analyze the performance or behavior of some on-going activity or entity. Examples: Provide behavioral insights and analysis into customer behavior and analyze financial market activity in order to identify opportunities, define pricing and evaluate risks."	""
"BQ"	BQ Product and  Service Issue Analysis Instance Record	Product and  Service Issue Analysis Preconditions	"The required status/situation before the algorithm can be applied"	String
"BQ"	BQ Product and  Service Issue Analysis Instance Record	Product and  Service Issue Analysis Analysis Schedule	"The schedule and timing of the analysis performed using the algorithm"	String
"BQ"	BQ Product and  Service Issue Analysis Instance Record	Product and  Service Issue Analysis Version Number	"The algorithm version employed in the analysis"	String
"BQ"	BQ Product and  Service Issue Analysis Instance Record	Product and Service Issue Analysis	"The Customer Case Root Cause Analysis specific  Business Service"	Business Service
"BQ"	BQ Product and  Service Issue Analysis Instance Record	Product and Service Issue Analysis Service Type	"Reference to the specific business service type"	String
"BQ"	BQ Product and  Service Issue Analysis Instance Record	Product and Service Issue Analysis Service Description	"Description of the performed business service"	String
"BQ"	BQ Product and  Service Issue Analysis Instance Record	Product and Service Issue Analysis Service Inputs and Ouputs	"Mandatory and optional inputs and output information for the business service"	String
"BQ"	BQ Product and  Service Issue Analysis Instance Record	Product and Service Issue Analysis Service Work Product	"Documentation, meeting schedules, notes, reasearch. calculations and any other work products produced by the business service"	String
"BQ"	BQ Product and  Service Issue Analysis Instance Record	Product and Service Issue Analysis Service Name	""	String
"BQ"	BQ Credit and  Fraud Related Issue Analysis Instance Record	""	"Analyze the performance or behavior of some on-going activity or entity  within Case Root Cause Analysis. . Examples: Provide behavioral insights and analysis into customer behavior and analyze financial market activity in order to identify opportunities, define pricing and evaluate risks.. . Analyze the performance or behavior of some on-going activity or entity. Examples: Provide behavioral insights and analysis into customer behavior and analyze financial market activity in order to identify opportunities, define pricing and evaluate risks."	""
"BQ"	BQ Credit and  Fraud Related Issue Analysis Instance Record	Credit and  Fraud Related Issue Analysis Preconditions	"The required status/situation before the algorithm can be applied"	String
"BQ"	BQ Credit and  Fraud Related Issue Analysis Instance Record	Credit and  Fraud Related Issue Analysis Analysis Schedule	"The schedule and timing of the analysis performed using the algorithm"	String
"BQ"	BQ Credit and  Fraud Related Issue Analysis Instance Record	Credit and  Fraud Related Issue Analysis Version Number	"The algorithm version employed in the analysis"	String
"BQ"	BQ Credit and  Fraud Related Issue Analysis Instance Record	Credit and Fraud Related Issue Analysis	"The Customer Case Root Cause Analysis specific  Business Service"	Business Service
"BQ"	BQ Credit and  Fraud Related Issue Analysis Instance Record	Credit and Fraud Related Issue Analysis Service Type	"Reference to the specific business service type"	String
"BQ"	BQ Credit and  Fraud Related Issue Analysis Instance Record	Credit and Fraud Related Issue Analysis Service Description	"Description of the performed business service"	String
"BQ"	BQ Credit and  Fraud Related Issue Analysis Instance Record	Credit and Fraud Related Issue Analysis Service Inputs and Ouputs	"Mandatory and optional inputs and output information for the business service"	String
"BQ"	BQ Credit and  Fraud Related Issue Analysis Instance Record	Credit and Fraud Related Issue Analysis Service Work Product	"Documentation, meeting schedules, notes, reasearch. calculations and any other work products produced by the business service"	String
"BQ"	BQ Credit and  Fraud Related Issue Analysis Instance Record	Credit and Fraud Related Issue Analysis Service Name	""	String
