"Service Operations for: "	Cheque Processing
""
"POST"	"/cheque-processing/activation"
"PUT"	"/cheque-processing/{sd-reference-id}/configuration"
"PUT"	"/cheque-processing/{sd-reference-id}/feedback"
""
"Put"	"/cheque-processing/{sd-identifier}/cheque-processing-operating-session/{crbq-identifier}/control"
""	1	"in"	"Cheque Processing Operating Session Schedule"	"CR Cheque Processing Operating Session Instance Record"	String
""	2	"in"	"Cheque Processing Operating Session Status"	"CR Cheque Processing Operating Session Instance Record"	String
""	3	"in"	"Cheque Processing Operating Session Usage Log"	"CR Cheque Processing Operating Session Instance Record"	String
""	4	"inout"	"Cheque Processing Operating Session Reference"	"CR Cheque Processing Operating Session Instance Record"	Object
""	5	"inout"	"Cheque Processing Operating Session ServiceProvider Reference"	"CR Cheque Processing Operating Session Instance Record"	Object
""	6	"inout"	"Cheque Processing Operating Session Type"	"CR Cheque Processing Operating Session Instance Record"	String
""	7	"inout"	"Cheque Processing Operating Session Service Provider Schedule"	"CR Cheque Processing Operating Session Instance Record"	String
""	8	"inout"	"Cheque Processing Operating Session Service Type"	"CR Cheque Processing Operating Session Instance Record"	String
""	9	"in"	"Cheque Processing Operating Session Service Configuration"	"CR Cheque Processing Operating Session Instance Record"	String
""
"Put"	"/cheque-processing/{sd-identifier}/financial-transaction-initiation/{crbq-identifier}/exchange"
""	1	"inout"	"Financial Transaction Initiation Preconditions"	"BQ Financial Transaction Initiation Instance Record"	String
""	2	"inout"	"Financial Transaction Initiation Function Schedule"	"BQ Financial Transaction Initiation Instance Record"	String
""	3	"inout"	"Financial Transaction Initiation Service Type"	"BQ Financial Transaction Initiation Instance Record"	String
""	4	"inout"	"Financial Transaction Initiation Service Description"	"BQ Financial Transaction Initiation Instance Record"	String
""	5	"inout"	"Financial Transaction Initiation Service Inputs and Ouputs"	"BQ Financial Transaction Initiation Instance Record"	String
""	6	"inout"	"Financial Transaction Initiation Service Work Product"	"BQ Financial Transaction Initiation Instance Record"	String
