"Service Operations for: "	Consumer Advisory Services
""
"POST"	"/consumer-advisory-services/activation"
"PUT"	"/consumer-advisory-services/{sd-reference-id}/configuration"
"PUT"	"/consumer-advisory-services/{sd-reference-id}/feedback"
""
"Post"	"/consumer-advisory-services/{sd-identifier}/consumer-advice-arrangement/{crbq-identifier}/initiation"
""	1	"out"	"Product Instance Reference"	"CR Consumer Advice Arrangement Instance Record"	Object
""	2	"in"	"Customer Reference"	"CR Consumer Advice Arrangement Instance Record"	Object
""	3	"in"	"Bank Branch/Location Reference"	"CR Consumer Advice Arrangement Instance Record"	Object
""	4	"in"	"Employee/Business Unit Reference"	"CR Consumer Advice Arrangement Instance Record"	Object
""	5	"out"	"Consumer Advice Work Products"	"CR Consumer Advice Arrangement Instance Record"	String
""	6	"inout"	"Document Directory Entry Instance Reference"	"CR Consumer Advice Arrangement Instance Record"	Object
""	7	"out"	"Consumer Advice Session Schedule"	"CR Consumer Advice Arrangement Instance Record"	String
""	8	"inout"	"Consumer Advice Profile"	"CR Consumer Advice Arrangement Instance Record"	String
""	9	"inout"	"Advice Type"	"CR Consumer Advice Arrangement Instance Record"	String
""	10	"out"	"Consumer Advice Consolidation Record"	"CR Consumer Advice Arrangement Instance Record"	String
""	11	"inout"	"Date Type"	"CR Consumer Advice Arrangement Instance Record"	String
""
"Put"	"/consumer-advisory-services/{sd-identifier}/consumer-advice-arrangement/{crbq-identifier}/update"
""	1	"inout"	"Product Instance Reference"	"CR Consumer Advice Arrangement Instance Record"	Object
""	2	"inout"	"Customer Reference"	"CR Consumer Advice Arrangement Instance Record"	Object
""	3	"inout"	"Bank Branch/Location Reference"	"CR Consumer Advice Arrangement Instance Record"	Object
""	4	"inout"	"Employee/Business Unit Reference"	"CR Consumer Advice Arrangement Instance Record"	Object
""	5	"inout"	"Consumer Advice Work Products"	"CR Consumer Advice Arrangement Instance Record"	String
""	6	"inout"	"Document Directory Entry Instance Reference"	"CR Consumer Advice Arrangement Instance Record"	Object
""	7	"inout"	"Consumer Advice Session Schedule"	"CR Consumer Advice Arrangement Instance Record"	String
""	8	"inout"	"Consumer Advice Profile"	"CR Consumer Advice Arrangement Instance Record"	String
""	9	"inout"	"Advice Type"	"CR Consumer Advice Arrangement Instance Record"	String
""	10	"inout"	"Consumer Advice Consolidation Record"	"CR Consumer Advice Arrangement Instance Record"	String
""	11	"inout"	"Date Type"	"CR Consumer Advice Arrangement Instance Record"	String
""
