"Service Domain specification for Consumer Loan"
"Business Area"	Products
"Business Domain"	Loans and Deposits
"Service Domain"	Consumer Loan
"Role Definition"	"The consumer loan product may include different properties/features depending on a bank's preferences and policies. The loan is targeted at consumer customer and may be associated with a type of product and may or may not be secured by collateral."
"Example of use"	"A consumer customer applies for and gets a loan to purchase new furniture.. "
"Executive Summary"	"This service domain handles the fulfillment of a consumer loan product. This includes the initial set-up of the loan facility and the completion of scheduled and ad-hoc product processing tasks"
"Key Features"	"Set-up a consumer loan facility. Handle deposits and withdrawals. Provide statements and assessment reports on the loan. Support loan restructuring"
"Functional Pattern"	Fulfill
"Asset Type"	ConsumerLoan
"Generic Artifact"	Facility (rename)
"Control Record"	ConsumerLoanArrangement
"Registration Status"	Registered
