"Service Operations for: "	Credit Card
""
"POST"	"/credit-card/activation"
"PUT"	"/credit-card/{sd-reference-id}/configuration"
"PUT"	"/credit-card/{sd-reference-id}/feedback"
""
"Post"	"/credit-card/{sd-identifier}/credit-card-arrangement/{crbq-identifier}/initiation"
""	1	"out"	"Product Instance Reference"	"CR Credit Card Arrangement Instance Record"	Object
""	2	"in"	"Customer Reference"	"CR Credit Card Arrangement Instance Record"	Object
""	3	"in"	"Party Reference"	"CR Credit Card Arrangement Instance Record"	Object
""	4	"in"	"Bank Branch/Location Reference"	"CR Credit Card Arrangement Instance Record"	Object
""	5	"in"	"Account Currency"	"CR Credit Card Arrangement Instance Record"	CurrencyCode
""	6	"in"	"Secondary Billing Currency"	"CR Credit Card Arrangement Instance Record"	CurrencyCode
""	7	"in"	"Tax Reference"	"CR Credit Card Arrangement Instance Record"	Object
""	8	"inout"	"Entitlement Option Definition"	"CR Credit Card Arrangement Instance Record"	String
""	9	"inout"	"Entitlement Option Setting"	"CR Credit Card Arrangement Instance Record"	String
""	10	"inout"	"Restriction Option Definition"	"CR Credit Card Arrangement Instance Record"	String
""	11	"inout"	"Restriction Option Setting"	"CR Credit Card Arrangement Instance Record"	String
""	12	"in"	"Allowed Access"	"CR Credit Card Arrangement Instance Record"	String
""	13	"inout"	"Configuration/Options"	"CR Credit Card Arrangement Instance Record"	String
""	14	"out"	"Credit/Charge Card Fulfillment Arrangement Option Definition"	"CR Credit Card Arrangement Instance Record"	String
""	15	"in"	"Credit/Charge Card Fulfillment Arrangement Option Setting"	"CR Credit Card Arrangement Instance Record"	String
""	16	"inout"	"Associations"	"CR Credit Card Arrangement Instance Record"	String
""	17	"in"	"Association Type"	"CR Credit Card Arrangement Instance Record"	String
""	18	"in"	"Association Obligation/Entitlement"	"CR Credit Card Arrangement Instance Record"	String
""	19	"in"	"Association Reference"	"CR Credit Card Arrangement Instance Record"	Object
""	20	"in"	"Linked Accounts"	"CR Credit Card Arrangement Instance Record"	String
""	21	"in"	"Link Type"	"CR Credit Card Arrangement Instance Record"	String
""	22	"in"	"Account Details"	"CR Credit Card Arrangement Instance Record"	String
""	23	"inout"	"Position Limits"	"CR Credit Card Arrangement Instance Record"	String
""	24	"in"	"Position Limit Type"	"CR Credit Card Arrangement Instance Record"	String
""	25	"in"	"Position Limit Settings"	"CR Credit Card Arrangement Instance Record"	String
""	26	"out"	"Position Limit Value"	"CR Credit Card Arrangement Instance Record"	String
""	27	"inout"	"Date Type"	"CR Credit Card Arrangement Instance Record"	String
""	28	"inout"	"Statements Schedule"	"CR Credit Card Arrangement Instance Record"	String
""	29	"in"	"Statement Type"	"CR Credit Card Arrangement Instance Record"	String
""	30	"in"	"Statement Transaction Type"	"CR Credit Card Arrangement Instance Record"	String
""	31	"in"	"Statement Period"	"CR Credit Card Arrangement Instance Record"	String
""	32	"out"	"Statement Report"	"CR Credit Card Arrangement Instance Record"	String
""
"Put"	"/credit-card/{sd-identifier}/credit-card-arrangement/{crbq-identifier}/update"
""	1	"inout"	"Product Instance Reference"	"CR Credit Card Arrangement Instance Record"	Object
""	2	"inout"	"Customer Reference"	"CR Credit Card Arrangement Instance Record"	Object
""	3	"inout"	"Party Reference"	"CR Credit Card Arrangement Instance Record"	Object
""	4	"inout"	"Bank Branch/Location Reference"	"CR Credit Card Arrangement Instance Record"	Object
