Service Operations for: ,Current Account,,,,
,,,,,
POST,/current-account/activation,,,,
PUT,/current-account/{sd-reference-id}/configuration,,,,
PUT,/current-account/{sd-reference-id}/feedback,,,,
,,,,,
Post,/current-account/{sd-identifier}/current-account-arrangement/{crbq-identifier}/initiation,,,,
,1,inout,Current Account Fulfillment Arrangement Instance Record,CR Current Account Arrangement Instance Record,
,2,out,Product Instance Reference,CR Current Account Arrangement Instance Record,
,3,out,Current Account Number,CR Current Account Arrangement Instance Record,AccountIdentification
,4,in,Customer Reference,CR Current Account Arrangement Instance Record,AccountInvolvement
,5,in,Bank Branch/Location Reference,CR Current Account Arrangement Instance Record,
,6,in,Account Type,CR Current Account Arrangement Instance Record,AccountType
,7,inout,Account Currency,CR Current Account Arrangement Instance Record,AccountCurrency
,8,in,Tax Reference,CR Current Account Arrangement Instance Record,
,9,out,Entitlement Option Definition,CR Current Account Arrangement Instance Record,
,10,inout,Entitlement Option Setting,CR Current Account Arrangement Instance Record,
,11,out,Restriction Option Definition,CR Current Account Arrangement Instance Record,
,12,inout,Restriction Option Setting,CR Current Account Arrangement Instance Record,
,13,in,Associations,CR Current Account Arrangement Instance Record,
,14,in,Association Type,CR Current Account Arrangement Instance Record,
,15,in,Association Obligation/Entitlement,CR Current Account Arrangement Instance Record,
,16,in,Association Reference,CR Current Account Arrangement Instance Record,
,17,in,Linked Accounts,CR Current Account Arrangement Instance Record,Account
,18,in,Link Type,CR Current Account Arrangement Instance Record,Text
,19,in,Account Details,CR Current Account Arrangement Instance Record,
,20,inout,Position Limits,CR Current Account Arrangement Instance Record,
,21,out,Position Limit Type,CR Current Account Arrangement Instance Record,
,22,inout,Position Limit Settings,CR Current Account Arrangement Instance Record,
,23,out,Position Limit Value,CR Current Account Arrangement Instance Record,
,24,inout,Date Type,CR Current Account Arrangement Instance Record,
,,,,,
Put,/current-account/{sd-identifier}/current-account-arrangement/{crbq-identifier}/update,,,,
,1,inout,Current Account Fulfillment Arrangement Instance Record,CR Current Account Arrangement Instance Record,
,2,inout,Product Instance Reference,CR Current Account Arrangement Instance Record,
,3,inout,Current Account Number,CR Current Account Arrangement Instance Record,AccountIdentification
,4,inout,Customer Reference,CR Current Account Arrangement Instance Record,AccountInvolvement
,5,inout,Bank Branch/Location Reference,CR Current Account Arrangement Instance Record,
,6,inout,Account Type,CR Current Account Arrangement Instance Record,AccountType
,7,inout,Account Currency,CR Current Account Arrangement Instance Record,AccountCurrency
,8,inout,Tax Reference,CR Current Account Arrangement Instance Record,
,9,inout,Entitlement Option Definition,CR Current Account Arrangement Instance Record,
,10,inout,Entitlement Option Setting,CR Current Account Arrangement Instance Record,
,11,inout,Restriction Option Definition,CR Current Account Arrangement Instance Record,
,12,inout,Restriction Option Setting,CR Current Account Arrangement Instance Record,
,13,inout,Associations,CR Current Account Arrangement Instance Record,
,14,inout,Association Type,CR Current Account Arrangement Instance Record,
,15,inout,Association Obligation/Entitlement,CR Current Account Arrangement Instance Record,
,16,inout,Association Reference,CR Current Account Arrangement Instance Record,
,17,inout,Linked Accounts,CR Current Account Arrangement Instance Record,Account
,18,inout,Link Type,CR Current Account Arrangement Instance Record,Text
,19,inout,Account Details,CR Current Account Arrangement Instance Record,
,20,inout,Position Limits,CR Current Account Arrangement Instance Record,
,21,inout,Position Limit Type,CR Current Account Arrangement Instance Record,
,22,inout,Position Limit Settings,CR Current Account Arrangement Instance Record,
,23,inout,Position Limit Value,CR Current Account Arrangement Instance Record,
,24,inout,Date Type,CR Current Account Arrangement Instance Record,
,,,,,
Put,/current-account/{sd-identifier}/current-account-arrangement/{crbq-identifier}/control,,,,
,,,,,
Get,/current-account/{sd-identifier}/current-account-arrangement/{crbq-identifier}/retrieval,,,,
,1,inout,Current Account Fulfillment Arrangement Instance Record,CR Current Account Arrangement Instance Record,
,2,out,Product Instance Reference,CR Current Account Arrangement Instance Record,
,3,out,Current Account Number,CR Current Account Arrangement Instance Record,AccountIdentification
,4,out,Customer Reference,CR Current Account Arrangement Instance Record,AccountInvolvement
,5,out,Bank Branch/Location Reference,CR Current Account Arrangement Instance Record,
,6,out,Account Type,CR Current Account Arrangement Instance Record,AccountType
,7,out,Account Currency,CR Current Account Arrangement Instance Record,AccountCurrency
,8,out,Tax Reference,CR Current Account Arrangement Instance Record,
,9,out,Entitlement Option Definition,CR Current Account Arrangement Instance Record,
,10,out,Entitlement Option Setting,CR Current Account Arrangement Instance Record,
,11,out,Restriction Option Definition,CR Current Account Arrangement Instance Record,
,12,out,Restriction Option Setting,CR Current Account Arrangement Instance Record,
,13,out,Associations,CR Current Account Arrangement Instance Record,
,14,out,Association Type,CR Current Account Arrangement Instance Record,
,15,out,Association Obligation/Entitlement,CR Current Account Arrangement Instance Record,
,16,out,Association Reference,CR Current Account Arrangement Instance Record,
,17,out,Linked Accounts,CR Current Account Arrangement Instance Record,Account
,18,out,Link Type,CR Current Account Arrangement Instance Record,Text
,19,out,Account Details,CR Current Account Arrangement Instance Record,
,20,out,Position Limits,CR Current Account Arrangement Instance Record,
,21,out,Position Limit Type,CR Current Account Arrangement Instance Record,
,22,out,Position Limit Settings,CR Current Account Arrangement Instance Record,
,23,out,Position Limit Value,CR Current Account Arrangement Instance Record,
,24,out,Date Type,CR Current Account Arrangement Instance Record,
,,,,,
Get,/current-account/{sd-identifier}/interest/{crbq-identifier}/retrieval,,,,
,1,out,Interest Instance Record,BQ Interest Instance Record,
,2,out,Interest Rate Type,BQ Interest Instance Record,
,3,out,Interest Rate Application Schedule,BQ Interest Instance Record,
,4,out,Interest Rate Configuration,BQ Interest Instance Record,
,5,out,Interest Application Record,BQ Interest Instance Record,
,6,out,Interest Transaction,BQ Interest Instance Record,
,7,out,Transaction Description,BQ Interest Instance Record,
,8,out,Transaction Rate Type,BQ Interest Instance Record,
,9,out,Transaction Interest Charge,BQ Interest Instance Record,
,10,out,Interest Accrual Amount,BQ Interest Instance Record,
,11,out,Interest Accrual Type,BQ Interest Instance Record,
,12,out,Interest Accrual Charge,BQ Interest Instance Record,
,,,,,
Post,/current-account/{sd-identifier}/service-fees/{crbq-identifier}/initiation,,,,
,1,inout,Current Account Fulfillment Arrangement Instance Record,CR Current Account Arrangement Instance Record,
,2,in,Product Instance Reference,CR Current Account Arrangement Instance Record,
,3,in,Current Account Number,CR Current Account Arrangement Instance Record,AccountIdentification
,4,in,Account Type,CR Current Account Arrangement Instance Record,AccountType
,5,in,Account Currency,CR Current Account Arrangement Instance Record,AccountCurrency
,6,in,Tax Reference,CR Current Account Arrangement Instance Record,
,7,in,Restriction Option Setting,CR Current Account Arrangement Instance Record,
,8,in,Linked Accounts,CR Current Account Arrangement Instance Record,Account
,9,in,Link Type,CR Current Account Arrangement Instance Record,Text
,10,in,Account Details,CR Current Account Arrangement Instance Record,
,11,in,Position Limit Type,CR Current Account Arrangement Instance Record,
,12,in,Position Limit Settings,CR Current Account Arrangement Instance Record,
,13,in,Position Limit Value,CR Current Account Arrangement Instance Record,
,14,inout,Date Type,CR Current Account Arrangement Instance Record,
,15,inout,Service Fees Instance Record,BQ Service Fees Instance Record,
,16,in,Fee Configuration Profile,BQ Service Fees Instance Record,
,17,out,Fee Definition,BQ Service Fees Instance Record,
,18,in,Fee Type,BQ Service Fees Instance Record,
,,,,,
Put,/current-account/{sd-identifier}/service-fees/{crbq-identifier}/execution,,,,
,1,inout,Service Fees Instance Record,BQ Service Fees Instance Record,
,2,inout,Fee Configuration Profile,BQ Service Fees Instance Record,
,3,out,Fee Definition,BQ Service Fees Instance Record,
,4,in,Fee Type,BQ Service Fees Instance Record,
,5,inout,Fee Application Record,BQ Service Fees Instance Record,
,6,inout,Fee Transaction,BQ Service Fees Instance Record,
,7,in,Transaction Description,BQ Service Fees Instance Record,
,8,inout,Transaction Fee Type,BQ Service Fees Instance Record,
,9,out,Transaction Fee Charge,BQ Service Fees Instance Record,
,10,inout,Fee Projections and Commitments,BQ Service Fees Instance Record,
,11,in,Projected Transaction Description,BQ Service Fees Instance Record,
,12,inout,Projected Transaction Fee Type,BQ Service Fees Instance Record,
,13,out,Projected Transaction Fee Charge,BQ Service Fees Instance Record,
,14,out,Fee Accrual Amount,BQ Service Fees Instance Record,
,15,inout,Accrual Fee Type,BQ Service Fees Instance Record,
,16,out,Accrual Fee Charge,BQ Service Fees Instance Record,
,,,,,
Get,/current-account/{sd-identifier}/service-fees/{crbq-identifier}/retrieval,,,,
,1,out,Service Fees Instance Record,BQ Service Fees Instance Record,
,2,out,Fee Configuration Profile,BQ Service Fees Instance Record,
,3,out,Fee Definition,BQ Service Fees Instance Record,
,4,out,Fee Type,BQ Service Fees Instance Record,
,5,out,Fee Application Record,BQ Service Fees Instance Record,
