Control Record Model for: ,Current Account,,,
Record Type,Instance Record,Attribute,Description,Data Type
BQ,BQ Service Fees Instance Record,,,
BQ,BQ Service Fees Instance Record,Service Fees Instance Record,Applies service fees and penalties to the account,
BQ,BQ Service Fees Instance Record,Fee Configuration Profile,The profile of applicable fees and penalties,
BQ,BQ Service Fees Instance Record,Fee Definition,Definition of the fee or penalty including when and how to apply,
BQ,BQ Service Fees Instance Record,Fee Type,The fee or penalty type applied,
BQ,BQ Service Fees Instance Record,Fee Application Record,The record of applied fees and penalties including transactions and accrued amounts,
BQ,BQ Service Fees Instance Record,Fee Transaction,A record of an applied fee or penalty,
BQ,BQ Service Fees Instance Record,Transaction Description,General description of the fee or penalty transaction,
BQ,BQ Service Fees Instance Record,Transaction Fee Type,The fee or penalty type applied,
BQ,BQ Service Fees Instance Record,Transaction Fee Charge,The derived fee or penalty amount applied,
BQ,BQ Service Fees Instance Record,Fee Projections and Commitments,A record of projected fees and penalties,
BQ,BQ Service Fees Instance Record,Projected Transaction Description,General description of the projected fee or penalty,
BQ,BQ Service Fees Instance Record,Projected Transaction Fee Type,The fee or penalty type,
BQ,BQ Service Fees Instance Record,Projected Transaction Fee Charge,The anticipated fee or penalty amount,
BQ,BQ Service Fees Instance Record,Fee Accrual Amount,Tracking of accumulated fees and penalties,
BQ,BQ Service Fees Instance Record,Accrual Fee Type,The fee or penalty type being tracked,
BQ,BQ Service Fees Instance Record,Accrual Fee Charge,The accrued amount of fees and penalties,
BQ,BQ Account Lien Instance Record,,,
BQ,BQ Account Lien Instance Record,Account Lien Instance Record,Handles liens placed against the account,
BQ,BQ Account Lien Instance Record,Lien Type,"The type of lien (e.g. final, pending)",
BQ,BQ Account Lien Instance Record,Lien Definition,Definition of the type of lien including processing guidelines,
BQ,BQ Account Lien Instance Record,Lien Processing Option,The processing option applied to the lien,
BQ,BQ Account Lien Instance Record,Lien Record,The collection of applicable rates,
BQ,BQ Account Lien Instance Record,Lien Originator,The party requesting the lien,
BQ,BQ Account Lien Instance Record,Lien Purpose,The purpose or associated facility linked to the lien,
BQ,BQ Account Lien Instance Record,Lien Amount,The amount being blocked,
BQ,BQ Account Lien Instance Record,Lien Start Date,The date the lien is enforced,
BQ,BQ Account Lien Instance Record,Lien Expiry Date,The date the lien is removed,
BQ,BQ Account Lien Instance Record,Lien Status,The status on the lien,
CR,CR Current Account Arrangement Instance Record,,,
CR,CR Current Account Arrangement Instance Record,Current Account Arrangement Instance Record,The control record maintains all details for a current account product instance,
CR,CR Current Account Arrangement Instance Record,Product Instance Reference,Reference to the current account product instance,
CR,CR Current Account Arrangement Instance Record,Current Account Number,The associated account number in any suitable format (e.g. IBAN),AccountIdentification
CR,CR Current Account Arrangement Instance Record,Customer Reference,Reference to the account primary party/owner,AccountInvolvement
CR,CR Current Account Arrangement Instance Record,Bank Branch/Location Reference,Bank branch associated with the account for booking purposes,
CR,CR Current Account Arrangement Instance Record,Account Type,"The type of current account (e.g. checking, student, small business)",AccountType
CR,CR Current Account Arrangement Instance Record,Account Currency,The primary account currency,AccountCurrency
CR,CR Current Account Arrangement Instance Record,Tax Reference,Reference identifier linking the account to appropriate tax handling,
CR,CR Current Account Arrangement Instance Record,Entitlement Option Definition,The definition of an applicable entitlement option,
CR,CR Current Account Arrangement Instance Record,Entitlement Option Setting,The setting for the entitlement option,
CR,CR Current Account Arrangement Instance Record,Restriction Option Definition,The definition of an applicable restriction option,
CR,CR Current Account Arrangement Instance Record,Restriction Option Setting,The setting for the restriction option,
CR,CR Current Account Arrangement Instance Record,Associations,Definition of the associations to the account,
CR,CR Current Account Arrangement Instance Record,Association Type,"The type of association (e.g. guarantor, co-signer)",
CR,CR Current Account Arrangement Instance Record,Association Obligation/Entitlement,"Description of the role, obligations or entitlements of the associated party",
CR,CR Current Account Arrangement Instance Record,Association Reference,Reference to the associated party,
CR,CR Current Account Arrangement Instance Record,Linked Accounts,Definition of the associations to the account,Account
CR,CR Current Account Arrangement Instance Record,Link Type,The type and purpose for the link,Text
CR,CR Current Account Arrangement Instance Record,Account Details,Details of the linked account,
CR,CR Current Account Arrangement Instance Record,Position Limits,Position limits that are maintained by the account,
CR,CR Current Account Arrangement Instance Record,Position Limit Type,"The type of position maintained for the account (e.g. transaction credit/debit, netting, position)",
CR,CR Current Account Arrangement Instance Record,Position Limit Settings,"The position definition, associated limit settings and rules",
CR,CR Current Account Arrangement Instance Record,Position Limit Value,The current calculated position,
CR,CR Current Account Arrangement Instance Record,Date Type,"Key dates associated with the account (e.g. opening date, closing date)",
CR,CR Current Account Arrangement Instance Record,Date,Value of the date type,AccountDate
BQ,BQ Account Sweep Instance Record,,,
BQ,BQ Account Sweep Instance Record,Account Sweep Instance Record,Handles sweeping arrangements linked to the account,
BQ,BQ Account Sweep Instance Record,Account Sweep Type,"The type of sweep (e.g. periodic, threshold)",
BQ,BQ Account Sweep Instance Record,Account Sweep Definition,Definition of the type of sweep,
BQ,BQ Account Sweep Instance Record,Account Sweep Application Schedule,Sweep processing guidelines and scheduling rules,
BQ,BQ Account Sweep Instance Record,Account Sweep Configuration,The set-up of the sweep facility,
BQ,BQ Account Sweep Instance Record,Target Account,The facility that the sweep is made to/from,
BQ,BQ Account Sweep Instance Record,Sweep Mandate,Confirmation that the sweep processing is sanctioned as necessary,
BQ,BQ Account Sweep Instance Record,Sweep Processing Schedule,Timing and or triggers for initiating sweep transaction,
BQ,BQ Account Sweep Instance Record,Sweep Application Record,The transaction record for an applied sweep,
BQ,BQ Account Sweep Instance Record,Account Sweep Target Account,The facility that the sweep is made to/from,
BQ,BQ Account Sweep Instance Record,Account Sweep Amount,The amount transferred to or from the account,
BQ,BQ Account Sweep Instance Record,Account Sweep Execution Date,The date and time the sweep is initiated,
BQ,BQ Issued Device Instance Record,,,
BQ,BQ Issued Device Instance Record,Issued Inventory Instance Record,"Handles the administration of issued device/inventory (e.g. checkbooks, cards, fobs)",
BQ,BQ Issued Device Instance Record,Issued Inventory Type,"A property of the issued device/inventory (e.g. card, checkbook, pay-in slip)",
