"Control Record Model for: "	Current Account
"Record Type"	"Instance Record"	"Attribute"	"Description"	"Data Type"
"BQ"	BQ Account Lien Instance Record	""	""	""
"BQ"	BQ Account Lien Instance Record	Lien Type	"The type of lien (e.g. final, pending)"	String
"BQ"	BQ Account Lien Instance Record	Lien Definition	"Definition of the type of lien including processing guidelines"	String
"BQ"	BQ Account Lien Instance Record	Lien Processing Option	"The processing option applied to the lien"	String
"BQ"	BQ Account Lien Instance Record	Lien Record	"The collection of applicable rates"	String
"BQ"	BQ Account Lien Instance Record	Lien Originator	"The party requesting the lien"	String
"BQ"	BQ Account Lien Instance Record	Lien Purpose	"The purpose or associated facility linked to the lien"	String
"BQ"	BQ Account Lien Instance Record	Lien Amount	"The amount being blocked"	Amount
"BQ"	BQ Account Lien Instance Record	Lien Start Date	"The date the lien is enforced"	Date
"BQ"	BQ Account Lien Instance Record	Lien Expiry Date	"The date the lien is removed"	Date
"BQ"	BQ Account Lien Instance Record	Lien Status	"The status on the lien"	String
"BQ"	BQ Service Fees Instance Record	""	""	""
"BQ"	BQ Service Fees Instance Record	Fee Configuration Profile	"The profile of applicable fees and penalties"	String
"BQ"	BQ Service Fees Instance Record	Fee Definition	"Definition of the fee or penalty including when and how to apply"	String
"BQ"	BQ Service Fees Instance Record	Fee Type	"The fee or penalty type applied"	String
"BQ"	BQ Service Fees Instance Record	Fee Application Record	"The record of applied fees and penalties including transactions and accrued amounts"	String
"BQ"	BQ Service Fees Instance Record	Fee Transaction	"A record of an applied fee or penalty"	String
"BQ"	BQ Service Fees Instance Record	Transaction Description	"General description of the fee or penalty transaction"	String
"BQ"	BQ Service Fees Instance Record	Transaction Fee Type	"The fee or penalty type applied"	String
"BQ"	BQ Service Fees Instance Record	Transaction Fee Charge	"The derived fee or penalty amount applied"	String
"BQ"	BQ Service Fees Instance Record	Fee Projections and Commitments	"A record of projected fees and penalties"	String
"BQ"	BQ Service Fees Instance Record	Projected Transaction Description	"General description of the projected fee or penalty"	String
"BQ"	BQ Service Fees Instance Record	Projected Transaction Fee Type	"The fee or penalty type"	String
"BQ"	BQ Service Fees Instance Record	Projected Transaction Fee Charge	"The anticipated fee or penalty amount"	String
"BQ"	BQ Service Fees Instance Record	Fee Accrual Amount	"Tracking of accumulated fees and penalties"	Amount
"BQ"	BQ Service Fees Instance Record	Accrual Fee Type	"The fee or penalty type being tracked"	String
"BQ"	BQ Service Fees Instance Record	Accrual Fee Charge	"The accrued amount of fees and penalties"	String
"CR"	CR Current Account Arrangement Instance Record	""	""	""
"CR"	CR Current Account Arrangement Instance Record	Product Instance Reference	"Reference to the current account product instance"	Object
"CR"	CR Current Account Arrangement Instance Record	Current Account Number	"The associated account number in any suitable format (e.g. IBAN)"	AccountIdentification
"CR"	CR Current Account Arrangement Instance Record	Customer Reference	"Reference to the account primary party/owner"	AccountInvolvement
"CR"	CR Current Account Arrangement Instance Record	Bank Branch/Location Reference	"Bank branch associated with the account for booking purposes"	Object
"CR"	CR Current Account Arrangement Instance Record	Account Type	"The type of current account (e.g. checking, student, small business)"	AccountType
"CR"	CR Current Account Arrangement Instance Record	Account Currency	"The primary account currency"	AccountCurrency
