"Service Operations for: "	Current Account
""
"POST"	"/current-account/activation"
"PUT"	"/current-account/{sd-reference-id}/configuration"
"PUT"	"/current-account/{sd-reference-id}/feedback"
""
"Post"	"/current-account/{sd-identifier}/current-account-arrangement/{crbq-identifier}/initiation"
""	1	"out"	"Product Instance Reference"	"CR Current Account Arrangement Instance Record"	Object
""	2	"out"	"Current Account Number"	"CR Current Account Arrangement Instance Record"	AccountIdentification
""	3	"in"	"Customer Reference"	"CR Current Account Arrangement Instance Record"	AccountInvolvement
""	4	"in"	"Bank Branch/Location Reference"	"CR Current Account Arrangement Instance Record"	Object
""	5	"in"	"Account Type"	"CR Current Account Arrangement Instance Record"	AccountType
""	6	"inout"	"Account Currency"	"CR Current Account Arrangement Instance Record"	AccountCurrency
""	7	"in"	"Tax Reference"	"CR Current Account Arrangement Instance Record"	Object
""	8	"out"	"Entitlement Option Definition"	"CR Current Account Arrangement Instance Record"	String
""	9	"inout"	"Entitlement Option Setting"	"CR Current Account Arrangement Instance Record"	String
""	10	"out"	"Restriction Option Definition"	"CR Current Account Arrangement Instance Record"	String
""	11	"inout"	"Restriction Option Setting"	"CR Current Account Arrangement Instance Record"	String
""	12	"in"	"Associations"	"CR Current Account Arrangement Instance Record"	String
""	13	"in"	"Association Type"	"CR Current Account Arrangement Instance Record"	String
""	14	"in"	"Association Obligation/Entitlement"	"CR Current Account Arrangement Instance Record"	String
""	15	"in"	"Association Reference"	"CR Current Account Arrangement Instance Record"	Object
""	16	"in"	"Linked Accounts"	"CR Current Account Arrangement Instance Record"	Account
""	17	"in"	"Link Type"	"CR Current Account Arrangement Instance Record"	Text
""	18	"in"	"Account Details"	"CR Current Account Arrangement Instance Record"	String
""	19	"inout"	"Position Limits"	"CR Current Account Arrangement Instance Record"	String
""	20	"out"	"Position Limit Type"	"CR Current Account Arrangement Instance Record"	String
""	21	"inout"	"Position Limit Settings"	"CR Current Account Arrangement Instance Record"	String
""	22	"out"	"Position Limit Value"	"CR Current Account Arrangement Instance Record"	String
""	23	"inout"	"Date Type"	"CR Current Account Arrangement Instance Record"	String
""
"Put"	"/current-account/{sd-identifier}/current-account-arrangement/{crbq-identifier}/update"
""	1	"inout"	"Product Instance Reference"	"CR Current Account Arrangement Instance Record"	Object
""	2	"inout"	"Current Account Number"	"CR Current Account Arrangement Instance Record"	AccountIdentification
""	3	"inout"	"Customer Reference"	"CR Current Account Arrangement Instance Record"	AccountInvolvement
""	4	"inout"	"Bank Branch/Location Reference"	"CR Current Account Arrangement Instance Record"	Object
""	5	"inout"	"Account Type"	"CR Current Account Arrangement Instance Record"	AccountType
""	6	"inout"	"Account Currency"	"CR Current Account Arrangement Instance Record"	AccountCurrency
""	7	"inout"	"Tax Reference"	"CR Current Account Arrangement Instance Record"	Object
""	8	"inout"	"Entitlement Option Definition"	"CR Current Account Arrangement Instance Record"	String
""	9	"inout"	"Entitlement Option Setting"	"CR Current Account Arrangement Instance Record"	String
""	10	"inout"	"Restriction Option Definition"	"CR Current Account Arrangement Instance Record"	String
""	11	"inout"	"Restriction Option Setting"	"CR Current Account Arrangement Instance Record"	String
""	12	"inout"	"Associations"	"CR Current Account Arrangement Instance Record"	String
""	13	"inout"	"Association Type"	"CR Current Account Arrangement Instance Record"	String
""	14	"inout"	"Association Obligation/Entitlement"	"CR Current Account Arrangement Instance Record"	String
""	15	"inout"	"Association Reference"	"CR Current Account Arrangement Instance Record"	Object
""	16	"inout"	"Linked Accounts"	"CR Current Account Arrangement Instance Record"	Account
""	17	"inout"	"Link Type"	"CR Current Account Arrangement Instance Record"	Text
""	18	"inout"	"Account Details"	"CR Current Account Arrangement Instance Record"	String
""	19	"inout"	"Position Limits"	"CR Current Account Arrangement Instance Record"	String
""	20	"inout"	"Position Limit Type"	"CR Current Account Arrangement Instance Record"	String
""	21	"inout"	"Position Limit Settings"	"CR Current Account Arrangement Instance Record"	String
""	22	"inout"	"Position Limit Value"	"CR Current Account Arrangement Instance Record"	String
""	23	"inout"	"Date Type"	"CR Current Account Arrangement Instance Record"	String
""
"Put"	"/current-account/{sd-identifier}/current-account-arrangement/{crbq-identifier}/control"
""
"Get"	"/current-account/{sd-identifier}/current-account-arrangement/{crbq-identifier}/retrieval"
""	1	"out"	"Product Instance Reference"	"CR Current Account Arrangement Instance Record"	Object
""	2	"out"	"Current Account Number"	"CR Current Account Arrangement Instance Record"	AccountIdentification
""	3	"out"	"Customer Reference"	"CR Current Account Arrangement Instance Record"	AccountInvolvement
""	4	"out"	"Bank Branch/Location Reference"	"CR Current Account Arrangement Instance Record"	Object
""	5	"out"	"Account Type"	"CR Current Account Arrangement Instance Record"	AccountType
""	6	"out"	"Account Currency"	"CR Current Account Arrangement Instance Record"	AccountCurrency
""	7	"out"	"Tax Reference"	"CR Current Account Arrangement Instance Record"	Object
""	8	"out"	"Entitlement Option Definition"	"CR Current Account Arrangement Instance Record"	String
""	9	"out"	"Entitlement Option Setting"	"CR Current Account Arrangement Instance Record"	String
""	10	"out"	"Restriction Option Definition"	"CR Current Account Arrangement Instance Record"	String
""	11	"out"	"Restriction Option Setting"	"CR Current Account Arrangement Instance Record"	String
""	12	"out"	"Associations"	"CR Current Account Arrangement Instance Record"	String
""	13	"out"	"Association Type"	"CR Current Account Arrangement Instance Record"	String
""	14	"out"	"Association Obligation/Entitlement"	"CR Current Account Arrangement Instance Record"	String
""	15	"out"	"Association Reference"	"CR Current Account Arrangement Instance Record"	Object
""	16	"out"	"Linked Accounts"	"CR Current Account Arrangement Instance Record"	Account
""	17	"out"	"Link Type"	"CR Current Account Arrangement Instance Record"	Text
""	18	"out"	"Account Details"	"CR Current Account Arrangement Instance Record"	String
""	19	"out"	"Position Limits"	"CR Current Account Arrangement Instance Record"	String
""	20	"out"	"Position Limit Type"	"CR Current Account Arrangement Instance Record"	String
""	21	"out"	"Position Limit Settings"	"CR Current Account Arrangement Instance Record"	String
""	22	"out"	"Position Limit Value"	"CR Current Account Arrangement Instance Record"	String
""	23	"out"	"Date Type"	"CR Current Account Arrangement Instance Record"	String
""
"Get"	"/current-account/{sd-identifier}/interest/{crbq-identifier}/retrieval"
""	1	"out"	"Interest Rate Type"	"BQ Interest Instance Record"	String
""	2	"out"	"Interest Rate Application Schedule"	"BQ Interest Instance Record"	Rate
""	3	"out"	"Interest Rate Configuration"	"BQ Interest Instance Record"	Rate
""	4	"out"	"Interest Application Record"	"BQ Interest Instance Record"	String
""	5	"out"	"Interest Transaction"	"BQ Interest Instance Record"	String
""	6	"out"	"Transaction Description"	"BQ Interest Instance Record"	String
""	7	"out"	"Transaction Rate Type"	"BQ Interest Instance Record"	String
""	8	"out"	"Transaction Interest Charge"	"BQ Interest Instance Record"	String
""	9	"out"	"Interest Accrual Amount"	"BQ Interest Instance Record"	Amount
""	10	"out"	"Interest Accrual Type"	"BQ Interest Instance Record"	String
""	11	"out"	"Interest Accrual Charge"	"BQ Interest Instance Record"	String
""
"Post"	"/current-account/{sd-identifier}/service-fees/{crbq-identifier}/initiation"
""	1	"in"	"Product Instance Reference"	"CR Current Account Arrangement Instance Record"	Object
""	2	"in"	"Current Account Number"	"CR Current Account Arrangement Instance Record"	AccountIdentification
""	3	"in"	"Account Type"	"CR Current Account Arrangement Instance Record"	AccountType
""	4	"in"	"Account Currency"	"CR Current Account Arrangement Instance Record"	AccountCurrency
""	5	"in"	"Tax Reference"	"CR Current Account Arrangement Instance Record"	Object
""	6	"in"	"Restriction Option Setting"	"CR Current Account Arrangement Instance Record"	String
""	7	"in"	"Linked Accounts"	"CR Current Account Arrangement Instance Record"	Account
""	8	"in"	"Link Type"	"CR Current Account Arrangement Instance Record"	Text
""	9	"in"	"Account Details"	"CR Current Account Arrangement Instance Record"	String
""	10	"in"	"Position Limit Type"	"CR Current Account Arrangement Instance Record"	String
""	11	"in"	"Position Limit Settings"	"CR Current Account Arrangement Instance Record"	String
""	12	"in"	"Position Limit Value"	"CR Current Account Arrangement Instance Record"	String
""	13	"inout"	"Date Type"	"CR Current Account Arrangement Instance Record"	String
""	14	"in"	"Fee Configuration Profile"	"BQ Service Fees Instance Record"	String
""	15	"out"	"Fee Definition"	"BQ Service Fees Instance Record"	String
""	16	"in"	"Fee Type"	"BQ Service Fees Instance Record"	String
""
"Put"	"/current-account/{sd-identifier}/service-fees/{crbq-identifier}/execution"
""	1	"inout"	"Fee Configuration Profile"	"BQ Service Fees Instance Record"	String
""	2	"out"	"Fee Definition"	"BQ Service Fees Instance Record"	String
""	3	"in"	"Fee Type"	"BQ Service Fees Instance Record"	String
""	4	"inout"	"Fee Application Record"	"BQ Service Fees Instance Record"	String
""	5	"inout"	"Fee Transaction"	"BQ Service Fees Instance Record"	String
""	6	"in"	"Transaction Description"	"BQ Service Fees Instance Record"	String
""	7	"inout"	"Transaction Fee Type"	"BQ Service Fees Instance Record"	String
""	8	"out"	"Transaction Fee Charge"	"BQ Service Fees Instance Record"	String
""	9	"inout"	"Fee Projections and Commitments"	"BQ Service Fees Instance Record"	String
""	10	"in"	"Projected Transaction Description"	"BQ Service Fees Instance Record"	String
""	11	"inout"	"Projected Transaction Fee Type"	"BQ Service Fees Instance Record"	String
""	12	"out"	"Projected Transaction Fee Charge"	"BQ Service Fees Instance Record"	String
""	13	"out"	"Fee Accrual Amount"	"BQ Service Fees Instance Record"	Amount
""	14	"inout"	"Accrual Fee Type"	"BQ Service Fees Instance Record"	String
""	15	"out"	"Accrual Fee Charge"	"BQ Service Fees Instance Record"	String
""
"Get"	"/current-account/{sd-identifier}/service-fees/{crbq-identifier}/retrieval"
""	1	"out"	"Fee Configuration Profile"	"BQ Service Fees Instance Record"	String
""	2	"out"	"Fee Definition"	"BQ Service Fees Instance Record"	String
""	3	"out"	"Fee Type"	"BQ Service Fees Instance Record"	String
""	4	"out"	"Fee Application Record"	"BQ Service Fees Instance Record"	String
""	5	"out"	"Fee Transaction"	"BQ Service Fees Instance Record"	String
""	6	"out"	"Transaction Description"	"BQ Service Fees Instance Record"	String
""	7	"out"	"Transaction Fee Type"	"BQ Service Fees Instance Record"	String
""	8	"out"	"Transaction Fee Charge"	"BQ Service Fees Instance Record"	String
""	9	"out"	"Fee Projections and Commitments"	"BQ Service Fees Instance Record"	String
""	10	"out"	"Projected Transaction Description"	"BQ Service Fees Instance Record"	String
""	11	"out"	"Projected Transaction Fee Type"	"BQ Service Fees Instance Record"	String
""	12	"out"	"Projected Transaction Fee Charge"	"BQ Service Fees Instance Record"	String
""	13	"out"	"Fee Accrual Amount"	"BQ Service Fees Instance Record"	Amount
""	14	"out"	"Accrual Fee Type"	"BQ Service Fees Instance Record"	String
""	15	"out"	"Accrual Fee Charge"	"BQ Service Fees Instance Record"	String
""
"Post"	"/current-account/{sd-identifier}/account-lien/{crbq-identifier}/initiation"
""	1	"in"	"Product Instance Reference"	"CR Current Account Arrangement Instance Record"	Object
""	2	"in"	"Current Account Number"	"CR Current Account Arrangement Instance Record"	AccountIdentification
""	3	"in"	"Customer Reference"	"CR Current Account Arrangement Instance Record"	AccountInvolvement
