"Service Operations for: "	Customer Access Entitlement
""
"POST"	"/customer-access-entitlement/activation"
"PUT"	"/customer-access-entitlement/{sd-reference-id}/configuration"
"PUT"	"/customer-access-entitlement/{sd-reference-id}/feedback"
""
"Post"	"/customer-access-entitlement/{sd-identifier}/customer-access-profile-agreement/{crbq-identifier}/evaluation"
""	1	"in"	"Customer Reference"	"CR Customer Access Profile Agreement Instance Record"	Object
""	2	"inout"	"Customer Channel Access Profile Record"	"CR Customer Access Profile Agreement Instance Record"	String
""	3	"inout"	"Customer Access Agreement Valid From/To Date"	"CR Customer Access Profile Agreement Instance Record"	Date
""	4	"inout"	"Customer Access Agreement Signatures/Responsible Parties"	"CR Customer Access Profile Agreement Instance Record"	String
""	5	"inout"	"Document Directory Entry Instance Reference"	"CR Customer Access Profile Agreement Instance Record"	Object
""
"Put"	"/customer-access-entitlement/{sd-identifier}/customer-access-profile-agreement/{crbq-identifier}/update"
""	1	"inout"	"Customer Reference"	"CR Customer Access Profile Agreement Instance Record"	Object
""	2	"inout"	"Customer Channel Access Profile Record"	"CR Customer Access Profile Agreement Instance Record"	String
""	3	"inout"	"Customer Access Agreement Valid From/To Date"	"CR Customer Access Profile Agreement Instance Record"	Date
""	4	"inout"	"Customer Access Agreement Signatures/Responsible Parties"	"CR Customer Access Profile Agreement Instance Record"	String
""	5	"inout"	"Document Directory Entry Instance Reference"	"CR Customer Access Profile Agreement Instance Record"	Object
""
"Put"	"/customer-access-entitlement/{sd-identifier}/customer-access-profile-agreement/{crbq-identifier}/control"
""
"Put"	"/customer-access-entitlement/{sd-identifier}/customer-access-profile-agreement/{crbq-identifier}/exchange"
""
"Put"	"/customer-access-entitlement/{sd-identifier}/customer-access-profile-agreement/{crbq-identifier}/requisition"
""	1	"in"	"Customer Reference"	"CR Customer Access Profile Agreement Instance Record"	Object
""	2	"inout"	"Customer Channel Access Profile Record"	"CR Customer Access Profile Agreement Instance Record"	String
""	3	"inout"	"Customer Access Agreement Valid From/To Date"	"CR Customer Access Profile Agreement Instance Record"	Date
""	4	"inout"	"Customer Access Agreement Signatures/Responsible Parties"	"CR Customer Access Profile Agreement Instance Record"	String
""	5	"inout"	"Document Directory Entry Instance Reference"	"CR Customer Access Profile Agreement Instance Record"	Object
""
"Put"	"/customer-access-entitlement/{sd-identifier}/customer-access-profile-agreement/{crbq-identifier}/grant"
""
"Get"	"/customer-access-entitlement/{sd-identifier}/customer-access-profile-agreement/{crbq-identifier}/retrieval"
""	1	"out"	"Customer Reference"	"CR Customer Access Profile Agreement Instance Record"	Object
""	2	"out"	"Customer Channel Access Profile Record"	"CR Customer Access Profile Agreement Instance Record"	String
""	3	"out"	"Customer Access Agreement Valid From/To Date"	"CR Customer Access Profile Agreement Instance Record"	Date
""	4	"out"	"Customer Access Agreement Signatures/Responsible Parties"	"CR Customer Access Profile Agreement Instance Record"	String
""	5	"out"	"Document Directory Entry Instance Reference"	"CR Customer Access Profile Agreement Instance Record"	Object
""
"Post"	"/customer-access-entitlement/{sd-identifier}/restrictions/{crbq-identifier}/evaluation"
""	1	"in"	"Customer Reference"	"CR Customer Access Profile Agreement Instance Record"	Object
""	2	"inout"	"Customer Channel Access Profile Record"	"CR Customer Access Profile Agreement Instance Record"	String
""	3	"in"	"Customer Access Agreement Valid From/To Date"	"CR Customer Access Profile Agreement Instance Record"	Date
