"Service Operations for: "	Customer Agreement
""
"POST"	"/customer-agreement/activation"
"PUT"	"/customer-agreement/{sd-reference-id}/configuration"
"PUT"	"/customer-agreement/{sd-reference-id}/feedback"
""
"Post"	"/customer-agreement/{sd-identifier}/customer-agreement/{crbq-identifier}/evaluation"
""	1	"in"	"Customer Reference"	"CR Customer Agreement Instance Record"	Object
""	2	"in"	"Legal Entity Reference"	"CR Customer Agreement Instance Record"	Object
""	3	"in"	"Agreement Type"	"CR Customer Agreement Instance Record"	String
""	4	"out"	"Agreement Jurisdiction"	"CR Customer Agreement Instance Record"	String
""	5	"inout"	"Agreement Valid From/To Date"	"CR Customer Agreement Instance Record"	Date
""	6	"inout"	"Agreement Signatories/Responsible Parties"	"CR Customer Agreement Instance Record"	String
""	7	"inout"	"Document Directory Entry Instance Reference"	"CR Customer Agreement Instance Record"	Object
""	8	"in"	"Sales Product Agreement Reference"	"CR Customer Agreement Instance Record"	Object
""	9	"in"	"Party Life-cycle Management Reference"	"CR Customer Agreement Instance Record"	Object
""
"Put"	"/customer-agreement/{sd-identifier}/customer-agreement/{crbq-identifier}/update"
""
"Put"	"/customer-agreement/{sd-identifier}/customer-agreement/{crbq-identifier}/control"
""
"Put"	"/customer-agreement/{sd-identifier}/customer-agreement/{crbq-identifier}/exchange"
""
"Put"	"/customer-agreement/{sd-identifier}/customer-agreement/{crbq-identifier}/requisition"
""
"Put"	"/customer-agreement/{sd-identifier}/customer-agreement/{crbq-identifier}/grant"
""
"Get"	"/customer-agreement/{sd-identifier}/customer-agreement/{crbq-identifier}/retrieval"
""	1	"out"	"Customer Reference"	"CR Customer Agreement Instance Record"	Object
""	2	"out"	"Legal Entity Reference"	"CR Customer Agreement Instance Record"	Object
""	3	"out"	"Agreement Type"	"CR Customer Agreement Instance Record"	String
""	4	"out"	"Agreement Jurisdiction"	"CR Customer Agreement Instance Record"	String
""	5	"out"	"Agreement Valid From/To Date"	"CR Customer Agreement Instance Record"	Date
""	6	"out"	"Agreement Signatories/Responsible Parties"	"CR Customer Agreement Instance Record"	String
""	7	"out"	"Document Directory Entry Instance Reference"	"CR Customer Agreement Instance Record"	Object
""	8	"out"	"Sales Product Agreement Reference"	"CR Customer Agreement Instance Record"	Object
""	9	"out"	"Party Life-cycle Management Reference"	"CR Customer Agreement Instance Record"	Object
""
"Post"	"/customer-agreement/{sd-identifier}/legal-terms/{crbq-identifier}/evaluation"
""	1	"in"	"Customer Reference"	"CR Customer Agreement Instance Record"	Object
""	2	"in"	"Legal Entity Reference"	"CR Customer Agreement Instance Record"	Object
""	3	"in"	"Agreement Type"	"CR Customer Agreement Instance Record"	String
""	4	"in"	"Agreement Jurisdiction"	"CR Customer Agreement Instance Record"	String
""	5	"in"	"Agreement Valid From/To Date"	"CR Customer Agreement Instance Record"	Date
""	6	"in"	"Agreement Signatories/Responsible Parties"	"CR Customer Agreement Instance Record"	String
""	7	"in"	"Document Directory Entry Instance Reference"	"CR Customer Agreement Instance Record"	Object
""	8	"in"	"Sales Product Agreement Reference"	"CR Customer Agreement Instance Record"	Object
""	9	"in"	"Party Life-cycle Management Reference"	"CR Customer Agreement Instance Record"	Object
""	10	"in"	"Applicable Law Reference"	"BQ Legal Terms Instance Record"	Object
""	11	"out"	"Applicable Law Interpretation"	"BQ Legal Terms Instance Record"	String
""
"Put"	"/customer-agreement/{sd-identifier}/legal-terms/{crbq-identifier}/update"
""	1	"inout"	"Jurisdiction"	"BQ Legal Terms Instance Record"	String
""	2	"inout"	"Applicable Law Reference"	"BQ Legal Terms Instance Record"	Object
""
"Get"	"/customer-agreement/{sd-identifier}/legal-terms/{crbq-identifier}/retrieval"
""	1	"out"	"Customer Reference"	"CR Customer Agreement Instance Record"	Object
""	2	"out"	"Legal Entity Reference"	"CR Customer Agreement Instance Record"	Object
""	3	"out"	"Agreement Type"	"CR Customer Agreement Instance Record"	String
""	4	"out"	"Agreement Jurisdiction"	"CR Customer Agreement Instance Record"	String
""	5	"out"	"Agreement Valid From/To Date"	"CR Customer Agreement Instance Record"	Date
""	6	"out"	"Agreement Signatories/Responsible Parties"	"CR Customer Agreement Instance Record"	String
""	7	"out"	"Document Directory Entry Instance Reference"	"CR Customer Agreement Instance Record"	Object
""	8	"out"	"Sales Product Agreement Reference"	"CR Customer Agreement Instance Record"	Object
""	9	"out"	"Party Life-cycle Management Reference"	"CR Customer Agreement Instance Record"	Object
""	10	"out"	"Applicable Law Reference"	"BQ Legal Terms Instance Record"	Object
""	11	"out"	"Applicable Law Interpretation"	"BQ Legal Terms Instance Record"	String
""
"Post"	"/customer-agreement/{sd-identifier}/regulatory-terms/{crbq-identifier}/evaluation"
""	1	"in"	"Customer Reference"	"CR Customer Agreement Instance Record"	Object
""	2	"in"	"Legal Entity Reference"	"CR Customer Agreement Instance Record"	Object
""	3	"in"	"Agreement Type"	"CR Customer Agreement Instance Record"	String
""	4	"in"	"Agreement Jurisdiction"	"CR Customer Agreement Instance Record"	String
""	5	"in"	"Agreement Valid From/To Date"	"CR Customer Agreement Instance Record"	Date
""	6	"in"	"Agreement Signatories/Responsible Parties"	"CR Customer Agreement Instance Record"	String
""	7	"in"	"Document Directory Entry Instance Reference"	"CR Customer Agreement Instance Record"	Object
""	8	"in"	"Sales Product Agreement Reference"	"CR Customer Agreement Instance Record"	Object
""	9	"in"	"Party Life-cycle Management Reference"	"CR Customer Agreement Instance Record"	Object
""	10	"in"	"Regulatory Authority"	"BQ Regulatory Terms Instance Record"	String
""	11	"in"	"Applicable Regulation Reference"	"BQ Regulatory Terms Instance Record"	Object
""	12	"out"	"Applicable Regulation Interpretation"	"BQ Regulatory Terms Instance Record"	String
""
"Put"	"/customer-agreement/{sd-identifier}/regulatory-terms/{crbq-identifier}/update"
""	1	"inout"	"Regulatory Authority"	"BQ Regulatory Terms Instance Record"	String
""	2	"inout"	"Applicable Regulation Reference"	"BQ Regulatory Terms Instance Record"	Object
""
