"Service Operations for: "	Customer Event History
""
"POST"	"/customer-event-history/activation"
"PUT"	"/customer-event-history/{sd-reference-id}/configuration"
"PUT"	"/customer-event-history/{sd-reference-id}/feedback"
""
"Post"	"/customer-event-history/{sd-identifier}/customer-event-log/{crbq-identifier}/initiation"
""	1	"in"	"Customer Reference"	"CR Customer Event Log Instance Record"	Object
""
"Put"	"/customer-event-history/{sd-identifier}/customer-event-log/{crbq-identifier}/update"
""	1	"inout"	"Customer Reference"	"CR Customer Event Log Instance Record"	Object
""
"Put"	"/customer-event-history/{sd-identifier}/customer-event-log/{crbq-identifier}/control"
""
"Get"	"/customer-event-history/{sd-identifier}/customer-event-log/{crbq-identifier}/retrieval"
""	1	"out"	"Customer Reference"	"CR Customer Event Log Instance Record"	Object
""
"Put"	"/customer-event-history/{sd-identifier}/relationship/{crbq-identifier}/update"
""	1	"inout"	"Customer Relationship Event Type"	"BQ Relationship Instance Record"	String
""	2	"inout"	"Employee/Unit Reference"	"BQ Relationship Instance Record"	Object
""	3	"inout"	"Customer Relationship Event Record"	"BQ Relationship Instance Record"	String
""	4	"inout"	"Customer Relationship Event Action"	"BQ Relationship Instance Record"	String
""	5	"inout"	"Date/Time/Location"	"BQ Relationship Instance Record"	String
""
"Put"	"/customer-event-history/{sd-identifier}/relationship/{crbq-identifier}/capture"
""	1	"in"	"Customer Relationship Event Type"	"BQ Relationship Instance Record"	String
""	2	"in"	"Employee/Unit Reference"	"BQ Relationship Instance Record"	Object
""	3	"in"	"Customer Relationship Event Record"	"BQ Relationship Instance Record"	String
""	4	"in"	"Customer Relationship Event Action"	"BQ Relationship Instance Record"	String
""	5	"in"	"Date/Time/Location"	"BQ Relationship Instance Record"	String
""
"Get"	"/customer-event-history/{sd-identifier}/relationship/{crbq-identifier}/retrieval"
""	1	"out"	"Customer Reference"	"CR Customer Event Log Instance Record"	Object
""	2	"out"	"Customer Relationship Event Type"	"BQ Relationship Instance Record"	String
""	3	"out"	"Employee/Unit Reference"	"BQ Relationship Instance Record"	Object
""	4	"out"	"Customer Relationship Event Record"	"BQ Relationship Instance Record"	String
""	5	"out"	"Customer Relationship Event Action"	"BQ Relationship Instance Record"	String
""	6	"out"	"Date/Time/Location"	"BQ Relationship Instance Record"	String
""
"Put"	"/customer-event-history/{sd-identifier}/sales/{crbq-identifier}/update"
""	1	"inout"	"Customer Sales Event Type"	"BQ Sales Instance Record"	String
""	2	"inout"	"Employee/Unit Reference"	"BQ Sales Instance Record"	Object
""	3	"inout"	"Product/Service Type"	"BQ Sales Instance Record"	String
""	4	"inout"	"Lead/Opportunity Reference"	"BQ Sales Instance Record"	Object
""	5	"inout"	"Customer Sales Event Record"	"BQ Sales Instance Record"	String
""	6	"inout"	"Commission Agreement Reference"	"BQ Sales Instance Record"	Object
""	7	"inout"	"Date/Time/Location"	"BQ Sales Instance Record"	String
""
"Put"	"/customer-event-history/{sd-identifier}/sales/{crbq-identifier}/capture"
