"Service Operations for: "	Customer Portfolio
""
"POST"	"/customer-portfolio/activation"
"PUT"	"/customer-portfolio/{sd-reference-id}/configuration"
"PUT"	"/customer-portfolio/{sd-reference-id}/feedback"
""
"Post"	"/customer-portfolio/{sd-identifier}/customer-segment-analysis/{crbq-identifier}/evaluation"
""	1	"inout"	"Customer Segment Type"	"CR Customer Segment Analysis Instance Record"	String
""	2	"inout"	"Customer Segment Type Definition"	"CR Customer Segment Analysis Instance Record"	String
""	3	"inout"	"Customer Segment Performance Goals"	"CR Customer Segment Analysis Instance Record"	String
""	4	"inout"	"Customer Segment Analysis Schedule"	"CR Customer Segment Analysis Instance Record"	String
""	5	"inout"	"Customer Segment Analysis Report"	"CR Customer Segment Analysis Instance Record"	String
""	6	"inout"	"Customer Segment Analysis Type"	"CR Customer Segment Analysis Instance Record"	String
""	7	"out"	"Customer Segment Analysis Result"	"CR Customer Segment Analysis Instance Record"	String
""	8	"inout"	"Customer Segment Analysis Reporting Date"	"CR Customer Segment Analysis Instance Record"	Date
""	9	"out"	"Document Directory Entry Instance Reference"	"CR Customer Segment Analysis Instance Record"	Object
""
"Put"	"/customer-portfolio/{sd-identifier}/customer-segment-analysis/{crbq-identifier}/update"
""	1	"inout"	"Customer Segment Type"	"CR Customer Segment Analysis Instance Record"	String
""	2	"inout"	"Customer Segment Type Definition"	"CR Customer Segment Analysis Instance Record"	String
""	3	"inout"	"Customer Segment Performance Goals"	"CR Customer Segment Analysis Instance Record"	String
""	4	"inout"	"Customer Segment Analysis Schedule"	"CR Customer Segment Analysis Instance Record"	String
""	5	"inout"	"Customer Segment Analysis Report"	"CR Customer Segment Analysis Instance Record"	String
""	6	"inout"	"Customer Segment Analysis Type"	"CR Customer Segment Analysis Instance Record"	String
""	7	"inout"	"Customer Segment Analysis Result"	"CR Customer Segment Analysis Instance Record"	String
""	8	"inout"	"Customer Segment Analysis Reporting Date"	"CR Customer Segment Analysis Instance Record"	Date
""	9	"inout"	"Document Directory Entry Instance Reference"	"CR Customer Segment Analysis Instance Record"	Object
""
"Put"	"/customer-portfolio/{sd-identifier}/customer-segment-analysis/{crbq-identifier}/requisition"
""	1	"inout"	"Customer Segment Type"	"CR Customer Segment Analysis Instance Record"	String
""	2	"inout"	"Customer Segment Type Definition"	"CR Customer Segment Analysis Instance Record"	String
""	3	"inout"	"Customer Segment Performance Goals"	"CR Customer Segment Analysis Instance Record"	String
""	4	"inout"	"Customer Segment Analysis Schedule"	"CR Customer Segment Analysis Instance Record"	String
""	5	"inout"	"Customer Segment Analysis Report"	"CR Customer Segment Analysis Instance Record"	String
""	6	"inout"	"Customer Segment Analysis Type"	"CR Customer Segment Analysis Instance Record"	String
""	7	"out"	"Customer Segment Analysis Result"	"CR Customer Segment Analysis Instance Record"	String
""	8	"inout"	"Customer Segment Analysis Reporting Date"	"CR Customer Segment Analysis Instance Record"	Date
""	9	"out"	"Document Directory Entry Instance Reference"	"CR Customer Segment Analysis Instance Record"	Object
""
"Get"	"/customer-portfolio/{sd-identifier}/customer-segment-analysis/{crbq-identifier}/retrieval"
""	1	"out"	"Customer Segment Type"	"CR Customer Segment Analysis Instance Record"	String
""	2	"out"	"Customer Segment Type Definition"	"CR Customer Segment Analysis Instance Record"	String
""	3	"out"	"Customer Segment Performance Goals"	"CR Customer Segment Analysis Instance Record"	String
""	4	"out"	"Customer Segment Analysis Schedule"	"CR Customer Segment Analysis Instance Record"	String
""	5	"out"	"Customer Segment Analysis Report"	"CR Customer Segment Analysis Instance Record"	String
""	6	"out"	"Customer Segment Analysis Type"	"CR Customer Segment Analysis Instance Record"	String
""	7	"out"	"Customer Segment Analysis Result"	"CR Customer Segment Analysis Instance Record"	String
