"Control Record Model for: "	Direct Debit
"Record Type"	"Instance Record"	"Attribute"	"Description"	"Data Type"
"CR"	CR Direct Debit Arrangement Instance Record	""	"Fulfill any scheduled and ad-hoc obligations under a service arrangement, most typically for a financial product or facility  within Direct Debit. . Example: Perform the scheduled (e.g. statements, standing orders) and ad-hoc/requested (e.g. balance inquiries, fund transfers) fulfillment tasks for a customer current account facility."	""
"CR"	CR Direct Debit Arrangement Instance Record	Direct Debit Arrangement Parameter Type	"A Classification value that distinguishes between arrangements according to the type of business services within Direct Debit Arrangement"	String
"CR"	CR Direct Debit Arrangement Instance Record	Direct Debit Arrangement Selected Option	"A selected optional business service as subject matter of Direct Debit Arrangement"	String
"CR"	CR Direct Debit Arrangement Instance Record	Direct Debit Arrangement Type	"The type of Direct Debit Arrangement"	String
"CR"	CR Direct Debit Arrangement Instance Record	Direct Debit Arrangement Reference	"Reference to Direct Debit Arrangement"	Object
"CR"	CR Direct Debit Arrangement Instance Record	Direct Debit Arrangement Schedule	"Timetable to fulfill Direct Debit Arrangement"	String
"CR"	CR Direct Debit Arrangement Instance Record	Direct Debit Arrangement Status	"The status of Direct Debit Arrangement"	String
"CR"	CR Direct Debit Arrangement Instance Record	Direct Debit Arrangement Currency	"The curreny which is arranged in Direct Debit Arrangement"	CurrencyCode
"CR"	CR Direct Debit Arrangement Instance Record	Direct Debit Arrangement Regulation Reference	"Reference to the regulation which is defined in Direct Debit Arrangement"	Object
"CR"	CR Direct Debit Arrangement Instance Record	Direct Debit Arrangement Regulation Type	"A Classification that distinguishes between the regularity domains of Direct Debit Arrangement"	String
"CR"	CR Direct Debit Arrangement Instance Record	Direct Debit Arrangement Jurisdiction	"Reference to the jurisdiction that is assigned to Direct Debit Arrangement in case of legal dispute."	String
"CR"	CR Direct Debit Arrangement Instance Record	Direct Debit Arrangement Booking Location	"The financial accounting unit into which the financial events, with regard to the origination and fulfillment of the agreement in the context of Direct Debit Arrangement, are entered."	String
"CR"	CR Direct Debit Arrangement Instance Record	Direct Debit Arrangement Account Type	"The type of account which is linked to Direct Debit Arrangement"	String
"CR"	CR Direct Debit Arrangement Instance Record	Direct Debit Arrangement Account Reference	"Reference to the account which is linked to Direct Debit Arrangement"	Object
