"Control Record Model for: "	Fiduciary Agreement
"Record Type"	"Instance Record"	"Attribute"	"Description"	"Data Type"
"CR"	CR Fiduciary Relationship Arrangement Instance Record	""	"Fulfill any scheduled and ad-hoc obligations under a service arrangement, most typically for a financial product or facility  within Fiduciary Agreement. . Example: Perform the scheduled (e.g. statements, standing orders) and ad-hoc/requested (e.g. balance inquiries, fund transfers) fulfillment tasks for a customer current account facility."	""
"CR"	CR Fiduciary Relationship Arrangement Instance Record	Fiduciary Relationship Arrangement Parameter Type	"A Classification value that distinguishes between arrangements according to the type of business services within Fiduciary Relationship Arrangement"	String
"CR"	CR Fiduciary Relationship Arrangement Instance Record	Fiduciary Relationship Arrangement Selected Option	"A selected optional business service as subject matter of Fiduciary Relationship Arrangement"	String
"CR"	CR Fiduciary Relationship Arrangement Instance Record	Fiduciary Relationship Arrangement Type	"The type of Fiduciary Relationship Arrangement"	String
"CR"	CR Fiduciary Relationship Arrangement Instance Record	Fiduciary Relationship Arrangement Reference	"Reference to Fiduciary Relationship Arrangement"	Object
"CR"	CR Fiduciary Relationship Arrangement Instance Record	Fiduciary Relationship Arrangement Schedule	"Timetable to fulfill Fiduciary Relationship Arrangement"	String
"CR"	CR Fiduciary Relationship Arrangement Instance Record	Fiduciary Relationship Arrangement Status	"The status of Fiduciary Relationship Arrangement"	String
"CR"	CR Fiduciary Relationship Arrangement Instance Record	Fiduciary Relationship Arrangement Currency	"The curreny which is arranged in Fiduciary Relationship Arrangement"	CurrencyCode
"CR"	CR Fiduciary Relationship Arrangement Instance Record	Fiduciary Relationship Arrangement Regulation Reference	"Reference to the regulation which is defined in Fiduciary Relationship Arrangement"	Object
"CR"	CR Fiduciary Relationship Arrangement Instance Record	Fiduciary Relationship Arrangement Regulation Type	"A Classification that distinguishes between the regularity domains of Fiduciary Relationship Arrangement"	String
"CR"	CR Fiduciary Relationship Arrangement Instance Record	Fiduciary Relationship Arrangement Jurisdiction	"Reference to the jurisdiction that is assigned to Fiduciary Relationship Arrangement in case of legal dispute."	String
"CR"	CR Fiduciary Relationship Arrangement Instance Record	Fiduciary Relationship Arrangement Booking Location	"The financial accounting unit into which the financial events, with regard to the origination and fulfillment of the agreement in the context of Fiduciary Relationship Arrangement, are entered."	String
