"Service Operations for: "	Fraud Model
""
"POST"	"/fraud-model/activation"
"PUT"	"/fraud-model/{sd-reference-id}/configuration"
"PUT"	"/fraud-model/{sd-reference-id}/feedback"
""
"Post"	"/fraud-model/{sd-identifier}/fraud-model-specification/{crbq-identifier}/creation"
""	1	"in"	"Fraud Model Type"	"CR Fraud Model Specification Instance Record"	String
""	2	"inout"	"Fraud Model Purpose"	"CR Fraud Model Specification Instance Record"	String
""	3	"inout"	"Fraud Model Deployment"	"CR Fraud Model Specification Instance Record"	String
""	4	"in"	"Employee/Business Unit Reference"	"CR Fraud Model Specification Instance Record"	Object
""	5	"inout"	"Fraud Model Deployment Configuration"	"CR Fraud Model Specification Instance Record"	String
""	6	"out"	"Fraud Model Deployment Task Reference"	"CR Fraud Model Specification Instance Record"	Object
""	7	"out"	"Fraud Model Deployment Task Record"	"CR Fraud Model Specification Instance Record"	String
""	8	"inout"	"Fraud Model Status"	"CR Fraud Model Specification Instance Record"	String
""	9	"inout"	"Fraud Model Usage"	"CR Fraud Model Specification Instance Record"	String
""	10	"inout"	"Fraud Model Impact"	"CR Fraud Model Specification Instance Record"	String
""	11	"out"	"Fraud Model Version"	"CR Fraud Model Specification Instance Record"	String
""
"Put"	"/fraud-model/{sd-identifier}/fraud-model-specification/{crbq-identifier}/execution"
""
"Put"	"/fraud-model/{sd-identifier}/fraud-model-specification/{crbq-identifier}/requisition"
""
"Get"	"/fraud-model/{sd-identifier}/fraud-model-specification/{crbq-identifier}/retrieval"
""	1	"out"	"Fraud Model Type"	"CR Fraud Model Specification Instance Record"	String
""	2	"out"	"Fraud Model Purpose"	"CR Fraud Model Specification Instance Record"	String
""	3	"out"	"Fraud Model Deployment"	"CR Fraud Model Specification Instance Record"	String
""	4	"out"	"Employee/Business Unit Reference"	"CR Fraud Model Specification Instance Record"	Object
""	5	"out"	"Fraud Model Deployment Configuration"	"CR Fraud Model Specification Instance Record"	String
""	6	"out"	"Fraud Model Deployment Task Reference"	"CR Fraud Model Specification Instance Record"	Object
""	7	"out"	"Fraud Model Deployment Task Record"	"CR Fraud Model Specification Instance Record"	String
""	8	"out"	"Fraud Model Status"	"CR Fraud Model Specification Instance Record"	String
""	9	"out"	"Fraud Model Usage"	"CR Fraud Model Specification Instance Record"	String
""	10	"out"	"Fraud Model Impact"	"CR Fraud Model Specification Instance Record"	String
