"Service Domain specification for Hedge Fund Administration"
"Business Area"	Products
"Business Domain"	Corporate Finance
"Service Domain"	Hedge Fund Administration
"Role Definition"	"Administer hedge funds, allocate and rebalance the fund in response to market activity and funds sales and disbursements"
"Example of use"	"Changes in fund ownership and market conditions result in a number of trading requests to rebalance the fund"
"Executive Summary"	""
"Key Features"	""
"Functional Pattern"	Administer
"Asset Type"	HedgeFund
"Generic Artifact"	AdministrativePlan
"Control Record"	HedgeFundAdministrativePlan
"Registration Status"	Registered
