"Control Record Model for: "	IT Standards And Guidelines
"Record Type"	"Instance Record"	"Attribute"	"Description"	"Data Type"
"CR"	CR Technology Standards Specification Instance Record	""	"Create and maintain a design for a procedure, product/service model or other such entity  within IT Standards & Guidelines. . Example: Create and maintain product designs and analytical models."	""
"CR"	CR Technology Standards Specification Instance Record	Technology Standards Specification Parameter Type	"A Classification value that distinguishes between designs according to the type of business services and/or aspect within Technology Standards Specification . Eg Product Design, Campaign Design, Risk Model Design etc. "	String
"CR"	CR Technology Standards Specification Instance Record	Technology Standards Specification Selected Option	"A selected optional business service as subject matter of design"	String
"CR"	CR Technology Standards Specification Instance Record	Technology Standards Specification Description	"Documentation of Technology Standards Specification"	String
"CR"	CR Technology Standards Specification Instance Record	Technology Standards Specification Version	"The version of Technology Standards Specification"	String
"CR"	CR Technology Standards Specification Instance Record	Technology Standards Specification Status	"The status of Technology Standards Specification"	String
"CR"	CR Technology Standards Specification Instance Record	Technology Standards Specification Usage Log	"Reference to the log of (usage) ativities/events of Technology Standards Specification"	String
"CR"	CR Technology Standards Specification Instance Record	Technology Standards Specification Feedback	"Information about reactions to a design which is used as a basis for improvement for the Technology Standards Specification."	String
"CR"	CR Technology Standards Specification Instance Record	Technology Standards Specification ServiceProvider Reference	"Reference to the party who has provided Technology Standards Specification"	Object
"BQ"	BQ Production Environment and  Support Services Instance Record	""	"Create and maintain a design for a procedure, product/service model or other such entity  within IT Standards & Guidelines. . Example: Create and maintain product designs and analytical models."	""
"BQ"	BQ Production Environment and  Support Services Instance Record	Production Environment and  Support Services Preconditions	"The required status/situation before the specification aspect can be defined"	String
"BQ"	BQ Production Environment and  Support Services Instance Record	Production Environment and  Support Services Specification Schedule	"The schedule and timing of the definition and update/revisions of the specification aspect"	String
"BQ"	BQ Production Environment and  Support Services Instance Record	Production Environment and  Support Services Version Number	"The current version, and version history as appropriate for the specification aspect"	String
"BQ"	BQ Production Environment and  Support Services Instance Record	Production Environment and Support Services	"The Technology Standards Specification specific  Business Service"	Business Service
"BQ"	BQ Production Environment and  Support Services Instance Record	Production Environment and Support Services Service Type	"Reference to the specific business service type"	String
"BQ"	BQ Production Environment and  Support Services Instance Record	Production Environment and Support Services Service Description	"Description of the performed business service"	String
"BQ"	BQ Production Environment and  Support Services Instance Record	Production Environment and Support Services Service Inputs and Ouputs	"Mandatory and optional inputs and output information for the business service"	String
"BQ"	BQ Production Environment and  Support Services Instance Record	Production Environment and Support Services Service Work Product	"Documentation, meeting schedules, notes, reasearch. calculations and any other work products produced by the business service"	String
"BQ"	BQ Production Environment and  Support Services Instance Record	Production Environment and Support Services Service Name	""	String
"BQ"	BQ ITPolicies and  Guidelines Instance Record	""	"Create and maintain a design for a procedure, product/service model or other such entity  within IT Standards & Guidelines. . Example: Create and maintain product designs and analytical models."	""
"BQ"	BQ ITPolicies and  Guidelines Instance Record	ITPolicies and  Guidelines Preconditions	"The required status/situation before the specification aspect can be defined"	String
