"Service Operations for: "	IT Standards And Guidelines
""
"POST"	"/it-standards-and-guidelines/activation"
"PUT"	"/it-standards-and-guidelines/{sd-reference-id}/configuration"
"PUT"	"/it-standards-and-guidelines/{sd-reference-id}/feedback"
""
"Put"	"/it-standards-and-guidelines/{sd-identifier}/development-tooling-and--environment/{crbq-identifier}/capture"
""	1	"inout"	"Development Tooling and  Environment Preconditions"	"BQ Development Tooling and  Environment Instance Record"	String
""	2	"inout"	"Development Tooling and  Environment Specification Schedule"	"BQ Development Tooling and  Environment Instance Record"	String
""	3	"inout"	"Development Tooling and  Environment Version Number"	"BQ Development Tooling and  Environment Instance Record"	String
""	4	"inout"	"Development Tooling and Environment"	"BQ Development Tooling and  Environment Instance Record"	Business Service
""	5	"inout"	"Development Tooling and Environment Service Type"	"BQ Development Tooling and  Environment Instance Record"	String
""	6	"inout"	"Development Tooling and Environment Service Description"	"BQ Development Tooling and  Environment Instance Record"	String
""	7	"inout"	"Development Tooling and Environment Service Inputs and Ouputs"	"BQ Development Tooling and  Environment Instance Record"	String
""	8	"inout"	"Development Tooling and Environment Service Work Product"	"BQ Development Tooling and  Environment Instance Record"	String
""	9	"inout"	"Development Tooling and Environment Service Name"	"BQ Development Tooling and  Environment Instance Record"	String
""
"Put"	"/it-standards-and-guidelines/{sd-identifier}/itpolicies-and--guidelines/{crbq-identifier}/capture"
""	1	"inout"	"ITPolicies and  Guidelines Preconditions"	"BQ ITPolicies and  Guidelines Instance Record"	String
""	2	"inout"	"ITPolicies and  Guidelines Specification Schedule"	"BQ ITPolicies and  Guidelines Instance Record"	String
""	3	"inout"	"ITPolicies and  Guidelines Version Number"	"BQ ITPolicies and  Guidelines Instance Record"	String
""	4	"inout"	"IT Policies and Guidelines"	"BQ ITPolicies and  Guidelines Instance Record"	Business Service
""	5	"inout"	"IT Policies and Guidelines Service Type"	"BQ ITPolicies and  Guidelines Instance Record"	String
""	6	"inout"	"IT Policies and Guidelines Service Description"	"BQ ITPolicies and  Guidelines Instance Record"	String
""	7	"inout"	"IT Policies and Guidelines Service Inputs and Ouputs"	"BQ ITPolicies and  Guidelines Instance Record"	String
""	8	"inout"	"IT Policies and Guidelines Service Work Product"	"BQ ITPolicies and  Guidelines Instance Record"	String
""	9	"inout"	"IT Policies and Guidelines Service Name"	"BQ ITPolicies and  Guidelines Instance Record"	String
""
"Put"	"/it-standards-and-guidelines/{sd-identifier}/product-testing-and--deployment-mechanisms/{crbq-identifier}/capture"
""	1	"inout"	"Product Testing and  Deployment Mechanisms Preconditions"	"BQ Product Testing and  Deployment Mechanisms Instance Record"	String
""	2	"inout"	"Product Testing and  Deployment Mechanisms Specification Schedule"	"BQ Product Testing and  Deployment Mechanisms Instance Record"	String
""	3	"inout"	"Product Testing and  Deployment Mechanisms Version Number"	"BQ Product Testing and  Deployment Mechanisms Instance Record"	String
""	4	"inout"	"Product Testing and Deployment Mechanisms"	"BQ Product Testing and  Deployment Mechanisms Instance Record"	Business Service
""	5	"inout"	"Product Testing and Deployment Mechanisms Service Type"	"BQ Product Testing and  Deployment Mechanisms Instance Record"	String
""	6	"inout"	"Product Testing and Deployment Mechanisms Service Description"	"BQ Product Testing and  Deployment Mechanisms Instance Record"	String
""	7	"inout"	"Product Testing and Deployment Mechanisms Service Inputs and Ouputs"	"BQ Product Testing and  Deployment Mechanisms Instance Record"	String
""	8	"inout"	"Product Testing and Deployment Mechanisms Service Work Product"	"BQ Product Testing and  Deployment Mechanisms Instance Record"	String
""	9	"inout"	"Product Testing and Deployment Mechanisms Service Name"	"BQ Product Testing and  Deployment Mechanisms Instance Record"	String
""
"Put"	"/it-standards-and-guidelines/{sd-identifier}/production-environment-and--support-services/{crbq-identifier}/capture"
""	1	"inout"	"Production Environment and  Support Services Preconditions"	"BQ Production Environment and  Support Services Instance Record"	String
""	2	"inout"	"Production Environment and  Support Services Specification Schedule"	"BQ Production Environment and  Support Services Instance Record"	String
