"Control Record Model for: "	Leasing
"Record Type"	"Instance Record"	"Attribute"	"Description"	"Data Type"
"CR"	CR Leasing Arrangement Instance Record	""	"Fulfill any scheduled and ad-hoc obligations under a service arrangement, most typically for a financial product or facility  within Leasing. . Example: Perform the scheduled (e.g. statements, standing orders) and ad-hoc/requested (e.g. balance inquiries, fund transfers) fulfillment tasks for a customer current account facility."	""
"CR"	CR Leasing Arrangement Instance Record	Leasing Arrangement Parameter Type	"A Classification value that distinguishes between arrangements according to the type of business services within Leasing Arrangement"	String
"CR"	CR Leasing Arrangement Instance Record	Leasing Arrangement Selected Option	"A selected optional business service as subject matter of Leasing Arrangement"	String
"CR"	CR Leasing Arrangement Instance Record	Leasing Arrangement Type	"The type of Leasing Arrangement"	String
"CR"	CR Leasing Arrangement Instance Record	Leasing Arrangement Reference	"Reference to Leasing Arrangement"	Object
"CR"	CR Leasing Arrangement Instance Record	Leasing Arrangement Schedule	"Timetable to fulfill Leasing Arrangement"	String
"CR"	CR Leasing Arrangement Instance Record	Leasing Arrangement Status	"The status of Leasing Arrangement"	String
"CR"	CR Leasing Arrangement Instance Record	Leasing Arrangement Currency	"The curreny which is arranged in Leasing Arrangement"	CurrencyCode
"CR"	CR Leasing Arrangement Instance Record	Leasing Arrangement Regulation Reference	"Reference to the regulation which is defined in Leasing Arrangement"	Object
"CR"	CR Leasing Arrangement Instance Record	Leasing Arrangement Regulation Type	"A Classification that distinguishes between the regularity domains of Leasing Arrangement"	String
"CR"	CR Leasing Arrangement Instance Record	Leasing Arrangement Jurisdiction	"Reference to the jurisdiction that is assigned to Leasing Arrangement in case of legal dispute."	String
"CR"	CR Leasing Arrangement Instance Record	Leasing Arrangement Booking Location	"The financial accounting unit into which the financial events, with regard to the origination and fulfillment of the agreement in the context of Leasing Arrangement, are entered."	String
"CR"	CR Leasing Arrangement Instance Record	Leasing Arrangement Account Type	"The type of account which is linked to Leasing Arrangement"	String
"CR"	CR Leasing Arrangement Instance Record	Leasing Arrangement Account Reference	"Reference to the account which is linked to Leasing Arrangement"	Object
"BQ"	BQ Corporate Action Instance Record	""	"Fulfill any scheduled and ad-hoc obligations under a service arrangement, most typically for a financial product or facility  within Leasing. . Example: Perform the scheduled (e.g. statements, standing orders) and ad-hoc/requested (e.g. balance inquiries, fund transfers) fulfillment tasks for a customer current account facility."	""
"BQ"	BQ Corporate Action Instance Record	Corporate Action Preconditions	"The required status/situation prior to the implementation of the feature"	String
"BQ"	BQ Corporate Action Instance Record	Corporate Action Feature Schedule	"The timing and key actions/milestones involved in completing the fulfillment feature instance"	String
"BQ"	BQ Corporate Action Instance Record	BS - Corporate Action Processing	"The Leasing Arrangement specific Business Service"	Business Service
"BQ"	BQ Corporate Action Instance Record	Corporate Action Postconditions	"The completion status and any triggered/dependent actions once the feature instance has been fulfilled"	String
"BQ"	BQ Corporate Action Instance Record	Corporate Action BS - Corporate Action Processing Service Type	"Reference to the specific business service type"	String
"BQ"	BQ Corporate Action Instance Record	Corporate Action BS - Corporate Action Processing Service Description	"Description of the performed business service"	String
"BQ"	BQ Corporate Action Instance Record	Corporate Action BS - Corporate Action Processing Service Inputs and Ouputs	"Mandatory and optional inputs and output information for the business service"	String
"BQ"	BQ Corporate Action Instance Record	Corporate Action BS - Corporate Action Processing Service Work Product	"Documentation, meeting schedules, notes, reasearch. calculations and any other work products produced by the business service"	String
"BQ"	BQ Corporate Action Instance Record	Corporate Action BS - Corporate Action Processing Service Name	""	String
"BQ"	BQ Leasing Outcome Instance Record	""	""	""
"BQ"	BQ Leasing Outcome Instance Record	Leasing Financial Facility	""	String
"BQ"	BQ Leasing Outcome Instance Record	Leasing Work Product	""	String
"BQ"	BQ Deposits Instance Record	""	"Fulfill any scheduled and ad-hoc obligations under a service arrangement, most typically for a financial product or facility  within Leasing. . Example: Perform the scheduled (e.g. statements, standing orders) and ad-hoc/requested (e.g. balance inquiries, fund transfers) fulfillment tasks for a customer current account facility."	""
"BQ"	BQ Deposits Instance Record	Deposits Preconditions	"The required status/situation prior to the implementation of the feature"	String
"BQ"	BQ Deposits Instance Record	Deposits Feature Schedule	"The timing and key actions/milestones involved in completing the fulfillment feature instance"	String
"BQ"	BQ Deposits Instance Record	Deposit Processing	"The Leasing Arrangement specific Business Service"	Business Service
"BQ"	BQ Deposits Instance Record	Deposits Postconditions	"The completion status and any triggered/dependent actions once the feature instance has been fulfilled"	String
"BQ"	BQ Deposits Instance Record	Deposits Deposit Processing Service Type	"Reference to the specific business service type"	String
"BQ"	BQ Deposits Instance Record	Deposits Deposit Processing Service Description	"Description of the performed business service"	String
"BQ"	BQ Deposits Instance Record	Deposits Deposit Processing Service Inputs and Ouputs	"Mandatory and optional inputs and output information for the business service"	String
"BQ"	BQ Deposits Instance Record	Deposits Deposit Processing Service Work Product	"Documentation, meeting schedules, notes, reasearch. calculations and any other work products produced by the business service"	String
"BQ"	BQ Deposits Instance Record	Deposits Deposit Processing Service Name	""	String
"BQ"	BQ Financial Instrument Instance Record	""	"Fulfill any scheduled and ad-hoc obligations under a service arrangement, most typically for a financial product or facility  within Leasing. . Example: Perform the scheduled (e.g. statements, standing orders) and ad-hoc/requested (e.g. balance inquiries, fund transfers) fulfillment tasks for a customer current account facility."	""
"BQ"	BQ Financial Instrument Instance Record	Financial Instrument Preconditions	"The required status/situation prior to the implementation of the feature"	String
"BQ"	BQ Financial Instrument Instance Record	Financial Instrument Feature Schedule	"The timing and key actions/milestones involved in completing the fulfillment feature instance"	String
"BQ"	BQ Financial Instrument Instance Record	Financial Instrument	"The Leasing Arrangement specific Business Service"	Business Service
"BQ"	BQ Financial Instrument Instance Record	Financial Instrument Postconditions	"The completion status and any triggered/dependent actions once the feature instance has been fulfilled"	String
"BQ"	BQ Financial Instrument Instance Record	Financial Instrument Financial Instrument Service Type	"Reference to the specific business service type"	String
"BQ"	BQ Financial Instrument Instance Record	Financial Instrument Financial Instrument Service Description	"Description of the performed business service"	String
"BQ"	BQ Financial Instrument Instance Record	Financial Instrument Financial Instrument Service Inputs and Ouputs	"Mandatory and optional inputs and output information for the business service"	String
"BQ"	BQ Financial Instrument Instance Record	Financial Instrument Financial Instrument Service Work Product	"Documentation, meeting schedules, notes, reasearch. calculations and any other work products produced by the business service"	String
"BQ"	BQ Financial Instrument Instance Record	Financial Instrument Financial Instrument Service Name	""	String
"BQ"	BQ Issued Device Instance Record	""	"Fulfill any scheduled and ad-hoc obligations under a service arrangement, most typically for a financial product or facility  within Leasing. . Example: Perform the scheduled (e.g. statements, standing orders) and ad-hoc/requested (e.g. balance inquiries, fund transfers) fulfillment tasks for a customer current account facility."	""
"BQ"	BQ Issued Device Instance Record	Issued Device Preconditions	"The required status/situation prior to the implementation of the feature"	String
"BQ"	BQ Issued Device Instance Record	Issued Device Feature Schedule	"The timing and key actions/milestones involved in completing the fulfillment feature instance"	String
"BQ"	BQ Issued Device Instance Record	Business Service	"The Leasing Arrangement specific Business Service"	Business Service
"BQ"	BQ Issued Device Instance Record	Issued Device Postconditions	"The completion status and any triggered/dependent actions once the feature instance has been fulfilled"	String
"BQ"	BQ Issued Device Instance Record	Issued Device Service Type	"Reference to the specific business service type"	String
"BQ"	BQ Issued Device Instance Record	Issued Device Service Description	"Description of the performed business service"	String
"BQ"	BQ Issued Device Instance Record	Issued Device Service Inputs and Ouputs	"Mandatory and optional inputs and output information for the business service"	String
"BQ"	BQ Issued Device Instance Record	Issued Device Service Work Product	"Documentation, meeting schedules, notes, reasearch. calculations and any other work products produced by the business service"	String
"BQ"	BQ Issued Device Instance Record	Issued Device Service Name	""	String
"BQ"	BQ Financial Accounting Instance Record	""	"Fulfill any scheduled and ad-hoc obligations under a service arrangement, most typically for a financial product or facility  within Leasing. . Example: Perform the scheduled (e.g. statements, standing orders) and ad-hoc/requested (e.g. balance inquiries, fund transfers) fulfillment tasks for a customer current account facility."	""
"BQ"	BQ Financial Accounting Instance Record	Financial Accounting Preconditions	"The required status/situation prior to the implementation of the feature"	String
"BQ"	BQ Financial Accounting Instance Record	Financial Accounting Feature Schedule	"The timing and key actions/milestones involved in completing the fulfillment feature instance"	String
"BQ"	BQ Financial Accounting Instance Record	Financial Accounting	"The Leasing Arrangement specific Business Service"	Business Service
"BQ"	BQ Financial Accounting Instance Record	Financial Accounting Postconditions	"The completion status and any triggered/dependent actions once the feature instance has been fulfilled"	String
"BQ"	BQ Financial Accounting Instance Record	Financial Accounting Financial Accounting Service Type	"Reference to the specific business service type"	String
"BQ"	BQ Financial Accounting Instance Record	Financial Accounting Financial Accounting Service Description	"Description of the performed business service"	String
"BQ"	BQ Financial Accounting Instance Record	Financial Accounting Financial Accounting Service Inputs and Ouputs	"Mandatory and optional inputs and output information for the business service"	String
"BQ"	BQ Financial Accounting Instance Record	Financial Accounting Financial Accounting Service Work Product	"Documentation, meeting schedules, notes, reasearch. calculations and any other work products produced by the business service"	String
"BQ"	BQ Financial Accounting Instance Record	Financial Accounting Financial Accounting Service Name	""	String
"BQ"	BQ Collateral Instance Record	""	"Fulfill any scheduled and ad-hoc obligations under a service arrangement, most typically for a financial product or facility  within Leasing. . Example: Perform the scheduled (e.g. statements, standing orders) and ad-hoc/requested (e.g. balance inquiries, fund transfers) fulfillment tasks for a customer current account facility."	""
"BQ"	BQ Collateral Instance Record	Collateral Preconditions	"The required status/situation prior to the implementation of the feature"	String
"BQ"	BQ Collateral Instance Record	Collateral Feature Schedule	"The timing and key actions/milestones involved in completing the fulfillment feature instance"	String
"BQ"	BQ Collateral Instance Record	Business Service	"The Leasing Arrangement specific Business Service"	Business Service
"BQ"	BQ Collateral Instance Record	Collateral Postconditions	"The completion status and any triggered/dependent actions once the feature instance has been fulfilled"	String
"BQ"	BQ Collateral Instance Record	Collateral Service Type	"Reference to the specific business service type"	String
"BQ"	BQ Collateral Instance Record	Collateral Service Description	"Description of the performed business service"	String
"BQ"	BQ Collateral Instance Record	Collateral Service Inputs and Ouputs	"Mandatory and optional inputs and output information for the business service"	String
"BQ"	BQ Collateral Instance Record	Collateral Service Work Product	"Documentation, meeting schedules, notes, reasearch. calculations and any other work products produced by the business service"	String
"BQ"	BQ Collateral Instance Record	Collateral Service Name	""	String
