"Service Operations for: "	Legal Compliance
""
"POST"	"/legal-compliance/activation"
"PUT"	"/legal-compliance/{sd-reference-id}/configuration"
"PUT"	"/legal-compliance/{sd-reference-id}/feedback"
""
"Post"	"/legal-compliance/{sd-identifier}/legal-compliance-assessment/{crbq-identifier}/evaluation"
""	1	"inout"	"Legal Assessment Type"	"CR Legal Compliance Assessment Instance Record"	String
""	2	"in"	"Business Unit Reference"	"CR Legal Compliance Assessment Instance Record"	Object
""	3	"in"	"Product/Service Reference"	"CR Legal Compliance Assessment Instance Record"	Object
""	4	"in"	"Customer Reference"	"CR Legal Compliance Assessment Instance Record"	Object
""	5	"in"	"Jurisdiction Reference"	"CR Legal Compliance Assessment Instance Record"	Object
""	6	"in"	"Law Reference"	"CR Legal Compliance Assessment Instance Record"	Object
""	7	"out"	"Law Definition"	"CR Legal Compliance Assessment Instance Record"	String
""	8	"out"	"Law Compliance and Reporting Requirements"	"CR Legal Compliance Assessment Instance Record"	String
""	9	"out"	"Law Compliance Accountability"	"CR Legal Compliance Assessment Instance Record"	String
""	10	"out"	"Legal Penalties"	"CR Legal Compliance Assessment Instance Record"	String
""	11	"out"	"Legal Guideline"	"CR Legal Compliance Assessment Instance Record"	String
""	12	"inout"	"Document Reference"	"CR Legal Compliance Assessment Instance Record"	Object
""	13	"inout"	"Legal Assessment Work Products"	"CR Legal Compliance Assessment Instance Record"	String
""	14	"out"	"Legal Assessment Result"	"CR Legal Compliance Assessment Instance Record"	String
""
"Put"	"/legal-compliance/{sd-identifier}/legal-compliance-assessment/{crbq-identifier}/update"
""	1	"inout"	"Legal Assessment Type"	"CR Legal Compliance Assessment Instance Record"	String
""	2	"inout"	"Business Unit Reference"	"CR Legal Compliance Assessment Instance Record"	Object
""	3	"inout"	"Product/Service Reference"	"CR Legal Compliance Assessment Instance Record"	Object
""	4	"inout"	"Customer Reference"	"CR Legal Compliance Assessment Instance Record"	Object
""	5	"inout"	"Jurisdiction Reference"	"CR Legal Compliance Assessment Instance Record"	Object
""	6	"inout"	"Law Reference"	"CR Legal Compliance Assessment Instance Record"	Object
""	7	"inout"	"Document Reference"	"CR Legal Compliance Assessment Instance Record"	Object
""	8	"inout"	"Legal Assessment Work Products"	"CR Legal Compliance Assessment Instance Record"	String
""
"Put"	"/legal-compliance/{sd-identifier}/legal-compliance-assessment/{crbq-identifier}/exchange"
""
"Put"	"/legal-compliance/{sd-identifier}/legal-compliance-assessment/{crbq-identifier}/requisition"
""	1	"inout"	"Legal Assessment Type"	"CR Legal Compliance Assessment Instance Record"	String
""	2	"inout"	"Business Unit Reference"	"CR Legal Compliance Assessment Instance Record"	Object
""	3	"inout"	"Product/Service Reference"	"CR Legal Compliance Assessment Instance Record"	Object
""	4	"inout"	"Customer Reference"	"CR Legal Compliance Assessment Instance Record"	Object
""	5	"inout"	"Jurisdiction Reference"	"CR Legal Compliance Assessment Instance Record"	Object
""	6	"inout"	"Law Reference"	"CR Legal Compliance Assessment Instance Record"	Object
""	7	"inout"	"Document Reference"	"CR Legal Compliance Assessment Instance Record"	Object
""	8	"inout"	"Legal Assessment Work Products"	"CR Legal Compliance Assessment Instance Record"	String
""	9	"out"	"Legal Assessment Result"	"CR Legal Compliance Assessment Instance Record"	String
""
"Get"	"/legal-compliance/{sd-identifier}/legal-compliance-assessment/{crbq-identifier}/retrieval"
""	1	"out"	"Legal Assessment Type"	"CR Legal Compliance Assessment Instance Record"	String
""	2	"out"	"Business Unit Reference"	"CR Legal Compliance Assessment Instance Record"	Object
""	3	"out"	"Product/Service Reference"	"CR Legal Compliance Assessment Instance Record"	Object
""	4	"out"	"Customer Reference"	"CR Legal Compliance Assessment Instance Record"	Object
""	5	"out"	"Jurisdiction Reference"	"CR Legal Compliance Assessment Instance Record"	Object
""	6	"out"	"Law Reference"	"CR Legal Compliance Assessment Instance Record"	Object
""	7	"out"	"Law Definition"	"CR Legal Compliance Assessment Instance Record"	String
""	8	"out"	"Law Compliance and Reporting Requirements"	"CR Legal Compliance Assessment Instance Record"	String
""	9	"out"	"Law Compliance Accountability"	"CR Legal Compliance Assessment Instance Record"	String
""	10	"out"	"Legal Penalties"	"CR Legal Compliance Assessment Instance Record"	String
""	11	"out"	"Legal Guideline"	"CR Legal Compliance Assessment Instance Record"	String
""	12	"out"	"Document Reference"	"CR Legal Compliance Assessment Instance Record"	Object
""	13	"out"	"Legal Assessment Work Products"	"CR Legal Compliance Assessment Instance Record"	String
""	14	"out"	"Legal Assessment Result"	"CR Legal Compliance Assessment Instance Record"	String
