"Control Record Model for: "	Management Manual
"Record Type"	"Instance Record"	"Attribute"	"Description"	"Data Type"
"CR"	CR Management Manual Specification Instance Record	""	"Create and maintain a design for a procedure, product/service model or other such entity  within Management Manual. . Example: Create and maintain product designs and analytical models."	""
"CR"	CR Management Manual Specification Instance Record	Management Manual Specification Parameter Type	"A Classification value that distinguishes between designs according to the type of business services and/or aspect within Management Manual Specification . Eg Product Design, Campaign Design, Risk Model Design etc. "	String
"CR"	CR Management Manual Specification Instance Record	Management Manual Specification Selected Option	"A selected optional business service as subject matter of design"	String
"CR"	CR Management Manual Specification Instance Record	Management Manual Specification Description	"Documentation of Management Manual Specification"	String
"CR"	CR Management Manual Specification Instance Record	Management Manual Specification Version	"The version of Management Manual Specification"	String
"CR"	CR Management Manual Specification Instance Record	Management Manual Specification Status	"The status of Management Manual Specification"	String
"CR"	CR Management Manual Specification Instance Record	Management Manual Specification Usage Log	"Reference to the log of (usage) ativities/events of Management Manual Specification"	String
"CR"	CR Management Manual Specification Instance Record	Management Manual Specification Feedback	"Information about reactions to a design which is used as a basis for improvement for the Management Manual Specification."	String
"CR"	CR Management Manual Specification Instance Record	Management Manual Specification ServiceProvider Reference	"Reference to the party who has provided Management Manual Specification"	Object
"BQ"	BQ Company Mission and  Policies Instance Record	""	"Create and maintain a design for a procedure, product/service model or other such entity  within Management Manual. . Example: Create and maintain product designs and analytical models."	""
"BQ"	BQ Company Mission and  Policies Instance Record	Company Mission and  Policies Preconditions	"The required status/situation before the specification aspect can be defined"	String
"BQ"	BQ Company Mission and  Policies Instance Record	Company Mission and  Policies Specification Schedule	"The schedule and timing of the definition and update/revisions of the specification aspect"	String
"BQ"	BQ Company Mission and  Policies Instance Record	Company Mission and  Policies Version Number	"The current version, and version history as appropriate for the specification aspect"	String
"BQ"	BQ Company Mission and  Policies Instance Record	Company Mission and Policies	"The Management Manual Specification specific  Business Service"	Business Service
