"Control Record Model for: "	Merchant Acquiring Facility
"Record Type"	"Instance Record"	"Attribute"	"Description"	"Data Type"
"BQ"	BQ Chargeback Instance Record	""	""	""
"BQ"	BQ Chargeback Instance Record	Card Transaction Record Reference	"Reference to the card transaction for the chargeback"	Object
"BQ"	BQ Chargeback Instance Record	Chargeback Instruction	"Details the instruction received from Card Case to book chargeback for the transaction - could be partial chargeback - amount is detailed in instruction"	String
"BQ"	BQ Chargeback Instance Record	Card Transaction Product Instance Reference	"The account number associated with the card transaction"	Object
"BQ"	BQ Chargeback Instance Record	Card Holder Reference	"The identity of the account holder submitting the transaction"	Object
"BQ"	BQ Chargeback Instance Record	Card Transaction Issued Device Reference	"Reference to the issued device submitted to authorize the transaction (e.g. card number)"	Object
"BQ"	BQ Chargeback Instance Record	Card Transaction Network Reference	"Reference to the network the card transaction is handled by as recorded with the transaction"	Object
"BQ"	BQ Chargeback Instance Record	Card Transaction Issuing Bank Reference	"Refers to the card holder's issuing bank as recorded with the transaction"	Object
"BQ"	BQ Chargeback Instance Record	Card Transaction Merchant Acquiring Bank Reference	"Refers to the merchant's acquiring bank as recorded with the transaction"	Object
"BQ"	BQ Chargeback Instance Record	Card Transaction Type	"The type of transaction (purchase, cash advance, etc.)"	String
"BQ"	BQ Chargeback Instance Record	Card Transaction Currency	"The currency that the transaction is made in"	CurrencyCode
"BQ"	BQ Chargeback Instance Record	Card Transaction Amount Type	"Type of amount (e.g. original amount, billing currency amount, conversion rate, FX Mark-up)"	String
"BQ"	BQ Chargeback Instance Record	Card Transaction Amount	"The amount corresponding to the type"	Amount
"BQ"	BQ Chargeback Instance Record	Card Transaction Merchant Reference	"Refers to the merchant initiating settlement"	Object
"BQ"	BQ Chargeback Instance Record	Card Transaction Location Reference	"Refers to the point of sale location"	Object
"BQ"	BQ Chargeback Instance Record	Card Transaction ProductandService Reference	"Details of the transaction (e.g. purchased service/product, purpose)"	Object
"BQ"	BQ Chargeback Instance Record	Card Transaction Date/Time	"Significant dates and times associated with the transaction"	Date
"BQ"	BQ Chargeback Instance Record	Card Transaction FX Conversion Charge	"The applied currency conversion charge"	String
"BQ"	BQ Chargeback Instance Record	Card Transaction Intercharge Fee	"The applied intercharge fee"	String
"BQ"	BQ Chargeback Instance Record	Card Transaction Authorization Record	"Details the reference, amount, timestamp of the transaction authorization"	String
"BQ"	BQ Clearing Instance Record	""	""	""
"BQ"	BQ Clearing Instance Record	Card Transaction Record Reference	"Reference to the card transaction as recorded by issuer and/or acquirer"	Object
"BQ"	BQ Clearing Instance Record	Card Transaction Product Instance Reference	"The account number associated with the card transaction"	Object
"BQ"	BQ Clearing Instance Record	Card Holder Reference	"The identity of the account holder submitting the transaction"	Object
"BQ"	BQ Clearing Instance Record	Card Transaction Issued Device Reference	"Reference to the issued device submitted to authorize the transaction (e.g. card number)"	Object
"BQ"	BQ Clearing Instance Record	Card Transaction Network Reference	"Reference to the network the card transaction is handled by as recorded with the transaction"	Object
