"Service Operations for: "	Party Lifecycle Management
""
"POST"	"/party-lifecycle-management/activation"
"PUT"	"/party-lifecycle-management/{sd-reference-id}/configuration"
"PUT"	"/party-lifecycle-management/{sd-reference-id}/feedback"
""
"Post"	"/party-lifecycle-management/{sd-identifier}/party-relationship-procedure/{crbq-identifier}/initiation"
""	1	"in"	"Customer Reference"	"CR Party Relationship Procedure Instance Record"	Object
""	2	"in"	"Party Reference"	"CR Party Relationship Procedure Instance Record"	Object
""	3	"in"	"Party Relationship Type"	"CR Party Relationship Procedure Instance Record"	String
""	4	"inout"	"Party Life-cycle Maintenance Schedule"	"CR Party Relationship Procedure Instance Record"	String
""	5	"inout"	"Party Life-cycle Maintenance Task"	"CR Party Relationship Procedure Instance Record"	String
""	6	"inout"	"Party Life-cycle Maintenance Task Type"	"CR Party Relationship Procedure Instance Record"	String
""	7	"out"	"Party Life-cycle Maintenance Work Products"	"CR Party Relationship Procedure Instance Record"	String
""	8	"out"	"Party Life-cycle Maintenance Task Result"	"CR Party Relationship Procedure Instance Record"	String
""	9	"out"	"Customer Precedent Profile Update Log"	"CR Party Relationship Procedure Instance Record"	String
""
"Put"	"/party-lifecycle-management/{sd-identifier}/party-relationship-procedure/{crbq-identifier}/update"
""	1	"inout"	"Customer Reference"	"CR Party Relationship Procedure Instance Record"	Object
""	2	"inout"	"Party Reference"	"CR Party Relationship Procedure Instance Record"	Object
""	3	"inout"	"Party Relationship Type"	"CR Party Relationship Procedure Instance Record"	String
""	4	"inout"	"Party Life-cycle Maintenance Schedule"	"CR Party Relationship Procedure Instance Record"	String
""	5	"inout"	"Party Life-cycle Maintenance Task"	"CR Party Relationship Procedure Instance Record"	String
""	6	"inout"	"Party Life-cycle Maintenance Task Type"	"CR Party Relationship Procedure Instance Record"	String
""	7	"inout"	"Party Life-cycle Maintenance Work Products"	"CR Party Relationship Procedure Instance Record"	String
""	8	"inout"	"Party Life-cycle Maintenance Task Result"	"CR Party Relationship Procedure Instance Record"	String
""	9	"inout"	"Customer Precedent Profile Update Log"	"CR Party Relationship Procedure Instance Record"	String
""
"Put"	"/party-lifecycle-management/{sd-identifier}/party-relationship-procedure/{crbq-identifier}/control"
""
"Put"	"/party-lifecycle-management/{sd-identifier}/party-relationship-procedure/{crbq-identifier}/exchange"
""
"Put"	"/party-lifecycle-management/{sd-identifier}/party-relationship-procedure/{crbq-identifier}/execution"
""	1	"in"	"Customer Reference"	"CR Party Relationship Procedure Instance Record"	Object
""	2	"in"	"Party Reference"	"CR Party Relationship Procedure Instance Record"	Object
""	3	"in"	"Party Relationship Type"	"CR Party Relationship Procedure Instance Record"	String
""	4	"inout"	"Party Life-cycle Maintenance Schedule"	"CR Party Relationship Procedure Instance Record"	String
""	5	"inout"	"Party Life-cycle Maintenance Task"	"CR Party Relationship Procedure Instance Record"	String
""	6	"inout"	"Party Life-cycle Maintenance Task Type"	"CR Party Relationship Procedure Instance Record"	String
""	7	"out"	"Party Life-cycle Maintenance Work Products"	"CR Party Relationship Procedure Instance Record"	String
""	8	"out"	"Party Life-cycle Maintenance Task Result"	"CR Party Relationship Procedure Instance Record"	String
""	9	"out"	"Customer Precedent Profile Update Log"	"CR Party Relationship Procedure Instance Record"	String
""
"Put"	"/party-lifecycle-management/{sd-identifier}/party-relationship-procedure/{crbq-identifier}/requisition"
""	1	"in"	"Customer Reference"	"CR Party Relationship Procedure Instance Record"	Object
""	2	"in"	"Party Reference"	"CR Party Relationship Procedure Instance Record"	Object
""	3	"in"	"Party Relationship Type"	"CR Party Relationship Procedure Instance Record"	String
""	4	"inout"	"Party Life-cycle Maintenance Schedule"	"CR Party Relationship Procedure Instance Record"	String
""	5	"inout"	"Party Life-cycle Maintenance Task"	"CR Party Relationship Procedure Instance Record"	String
""	6	"inout"	"Party Life-cycle Maintenance Task Type"	"CR Party Relationship Procedure Instance Record"	String
""	7	"out"	"Party Life-cycle Maintenance Work Products"	"CR Party Relationship Procedure Instance Record"	String
""	8	"out"	"Party Life-cycle Maintenance Task Result"	"CR Party Relationship Procedure Instance Record"	String
""	9	"out"	"Customer Precedent Profile Update Log"	"CR Party Relationship Procedure Instance Record"	String
""
"Get"	"/party-lifecycle-management/{sd-identifier}/party-relationship-procedure/{crbq-identifier}/retrieval"
""	1	"out"	"Customer Reference"	"CR Party Relationship Procedure Instance Record"	Object
""	2	"out"	"Party Reference"	"CR Party Relationship Procedure Instance Record"	Object
""	3	"out"	"Party Relationship Type"	"CR Party Relationship Procedure Instance Record"	String
""	4	"out"	"Party Life-cycle Maintenance Schedule"	"CR Party Relationship Procedure Instance Record"	String
""	5	"out"	"Party Life-cycle Maintenance Task"	"CR Party Relationship Procedure Instance Record"	String
""	6	"out"	"Party Life-cycle Maintenance Task Type"	"CR Party Relationship Procedure Instance Record"	String
""	7	"out"	"Party Life-cycle Maintenance Work Products"	"CR Party Relationship Procedure Instance Record"	String
""	8	"out"	"Party Life-cycle Maintenance Task Result"	"CR Party Relationship Procedure Instance Record"	String
""	9	"out"	"Customer Precedent Profile Update Log"	"CR Party Relationship Procedure Instance Record"	String
""
"Get"	"/party-lifecycle-management/{sd-identifier}/authentication/{crbq-identifier}/retrieval"
""	1	"out"	"Customer Reference"	"CR Party Relationship Procedure Instance Record"	Object
""	2	"out"	"Party Reference"	"CR Party Relationship Procedure Instance Record"	Object
""	3	"out"	"Party Relationship Type"	"CR Party Relationship Procedure Instance Record"	String
""	4	"out"	"Party Life-cycle Maintenance Schedule"	"CR Party Relationship Procedure Instance Record"	String
""	5	"out"	"Party Life-cycle Maintenance Task"	"CR Party Relationship Procedure Instance Record"	String
""	6	"out"	"Party Life-cycle Maintenance Task Type"	"CR Party Relationship Procedure Instance Record"	String
