"Service Operations for: "	Point of Service
""
"POST"	"/point-of-service/activation"
"PUT"	"/point-of-service/{sd-reference-id}/configuration"
"PUT"	"/point-of-service/{sd-reference-id}/feedback"
""
"Post"	"/point-of-service/{sd-identifier}/point-of-service-operating-session/{crbq-identifier}/initiation"
""	1	"inout"	"Servicing Position Configuration/Set-up"	"CR Point of Service Operating Session Instance Record"	String
""	2	"out"	"Servicing Position Reference"	"CR Point of Service Operating Session Instance Record"	Object
""	3	"in"	"Servicing Position Type"	"CR Point of Service Operating Session Instance Record"	String
""	4	"in"	"Servicing Position Location"	"CR Point of Service Operating Session Instance Record"	String
""	5	"in"	"Servicing Position Facility Type"	"CR Point of Service Operating Session Instance Record"	String
""	6	"in"	"Servicing Position Facility Reference"	"CR Point of Service Operating Session Instance Record"	Object
""	7	"inout"	"Servicing Position Schedule"	"CR Point of Service Operating Session Instance Record"	String
""	8	"out"	"Servicing Position Activity Report"	"CR Point of Service Operating Session Instance Record"	String
""	9	"out"	"Servicing Position Operating Session Statistics"	"CR Point of Service Operating Session Instance Record"	String
""	10	"inout"	"Servicing Position Operating Session Report Type"	"CR Point of Service Operating Session Instance Record"	String
""
"Put"	"/point-of-service/{sd-identifier}/point-of-service-operating-session/{crbq-identifier}/update"
""	1	"inout"	"Servicing Position Configuration/Set-up"	"CR Point of Service Operating Session Instance Record"	String
""	2	"inout"	"Servicing Position Reference"	"CR Point of Service Operating Session Instance Record"	Object
""	3	"inout"	"Servicing Position Type"	"CR Point of Service Operating Session Instance Record"	String
""	4	"inout"	"Servicing Position Location"	"CR Point of Service Operating Session Instance Record"	String
""	5	"inout"	"Servicing Position Facility Type"	"CR Point of Service Operating Session Instance Record"	String
""	6	"inout"	"Servicing Position Facility Reference"	"CR Point of Service Operating Session Instance Record"	Object
""	7	"inout"	"Servicing Position Schedule"	"CR Point of Service Operating Session Instance Record"	String
""	8	"inout"	"Servicing Position Activity Report"	"CR Point of Service Operating Session Instance Record"	String
""	9	"inout"	"Servicing Position Operating Session Statistics"	"CR Point of Service Operating Session Instance Record"	String
""	10	"inout"	"Servicing Position Operating Session Report Type"	"CR Point of Service Operating Session Instance Record"	String
""
"Put"	"/point-of-service/{sd-identifier}/point-of-service-operating-session/{crbq-identifier}/control"
""
"Put"	"/point-of-service/{sd-identifier}/point-of-service-operating-session/{crbq-identifier}/execution"
""	1	"inout"	"Servicing Position Configuration/Set-up"	"CR Point of Service Operating Session Instance Record"	String
""	2	"out"	"Servicing Position Reference"	"CR Point of Service Operating Session Instance Record"	Object
""	3	"in"	"Servicing Position Type"	"CR Point of Service Operating Session Instance Record"	String
""	4	"in"	"Servicing Position Location"	"CR Point of Service Operating Session Instance Record"	String
""	5	"in"	"Servicing Position Facility Type"	"CR Point of Service Operating Session Instance Record"	String
""	6	"in"	"Servicing Position Facility Reference"	"CR Point of Service Operating Session Instance Record"	Object
""	7	"inout"	"Servicing Position Schedule"	"CR Point of Service Operating Session Instance Record"	String
""	8	"out"	"Servicing Position Activity Report"	"CR Point of Service Operating Session Instance Record"	String
""	9	"out"	"Servicing Position Operating Session Statistics"	"CR Point of Service Operating Session Instance Record"	String
""	10	"inout"	"Servicing Position Operating Session Report Type"	"CR Point of Service Operating Session Instance Record"	String
""
"Put"	"/point-of-service/{sd-identifier}/point-of-service-operating-session/{crbq-identifier}/requisition"
""	1	"inout"	"Servicing Position Configuration/Set-up"	"CR Point of Service Operating Session Instance Record"	String
""	2	"out"	"Servicing Position Reference"	"CR Point of Service Operating Session Instance Record"	Object
""	3	"in"	"Servicing Position Type"	"CR Point of Service Operating Session Instance Record"	String
""	4	"in"	"Servicing Position Location"	"CR Point of Service Operating Session Instance Record"	String
""	5	"in"	"Servicing Position Facility Type"	"CR Point of Service Operating Session Instance Record"	String
""	6	"in"	"Servicing Position Facility Reference"	"CR Point of Service Operating Session Instance Record"	Object
""	7	"inout"	"Servicing Position Schedule"	"CR Point of Service Operating Session Instance Record"	String
""	8	"out"	"Servicing Position Activity Report"	"CR Point of Service Operating Session Instance Record"	String
""	9	"out"	"Servicing Position Operating Session Statistics"	"CR Point of Service Operating Session Instance Record"	String
""	10	"inout"	"Servicing Position Operating Session Report Type"	"CR Point of Service Operating Session Instance Record"	String
""
"Get"	"/point-of-service/{sd-identifier}/point-of-service-operating-session/{crbq-identifier}/retrieval"
""	1	"out"	"Servicing Position Configuration/Set-up"	"CR Point of Service Operating Session Instance Record"	String
""	2	"out"	"Servicing Position Reference"	"CR Point of Service Operating Session Instance Record"	Object
""	3	"out"	"Servicing Position Type"	"CR Point of Service Operating Session Instance Record"	String
""	4	"out"	"Servicing Position Location"	"CR Point of Service Operating Session Instance Record"	String
""	5	"out"	"Servicing Position Facility Type"	"CR Point of Service Operating Session Instance Record"	String
""	6	"out"	"Servicing Position Facility Reference"	"CR Point of Service Operating Session Instance Record"	Object
""	7	"out"	"Servicing Position Schedule"	"CR Point of Service Operating Session Instance Record"	String
""	8	"out"	"Servicing Position Activity Report"	"CR Point of Service Operating Session Instance Record"	String
""	9	"out"	"Servicing Position Operating Session Statistics"	"CR Point of Service Operating Session Instance Record"	String
""	10	"out"	"Servicing Position Operating Session Report Type"	"CR Point of Service Operating Session Instance Record"	String
""
"Post"	"/point-of-service/{sd-identifier}/assisted/{crbq-identifier}/initiation"
""	1	"inout"	"Employee/Business Unit Reference"	"BQ Assisted Instance Record"	Object
""	2	"out"	"Customer Contact Reference"	"BQ Assisted Instance Record"	Object
""	3	"out"	"Customer Contact Dialogue Reference"	"BQ Interaction Instance Record"	Object
""
"Put"	"/point-of-service/{sd-identifier}/assisted/{crbq-identifier}/update"
""	1	"inout"	"Employee/Business Unit Reference"	"BQ Assisted Instance Record"	Object
""	2	"inout"	"Customer Contact Reference"	"BQ Assisted Instance Record"	Object
""	3	"inout"	"Customer Contact Dialogue Reference"	"BQ Interaction Instance Record"	Object
""
"Put"	"/point-of-service/{sd-identifier}/assisted/{crbq-identifier}/control"
""
"Get"	"/point-of-service/{sd-identifier}/assisted/{crbq-identifier}/retrieval"
""	1	"out"	"Employee/Business Unit Reference"	"BQ Assisted Instance Record"	Object
""	2	"out"	"Customer Contact Reference"	"BQ Assisted Instance Record"	Object
""	3	"out"	"Customer Contact Dialogue Reference"	"BQ Interaction Instance Record"	Object
""
"Post"	"/point-of-service/{sd-identifier}/automated/{crbq-identifier}/initiation"
""	1	"out"	"Customer Contact Reference"	"BQ Assisted Instance Record"	Object
""	2	"inout"	"Business Unit Reference"	"BQ Automated Instance Record"	Object
""	3	"out"	"Customer Contact Dialogue Reference"	"BQ Interaction Instance Record"	Object
""
"Put"	"/point-of-service/{sd-identifier}/automated/{crbq-identifier}/update"
""	1	"inout"	"Customer Contact Reference"	"BQ Assisted Instance Record"	Object
""	2	"inout"	"Business Unit Reference"	"BQ Automated Instance Record"	Object
""	3	"inout"	"Customer Contact Dialogue Reference"	"BQ Interaction Instance Record"	Object
""
"Put"	"/point-of-service/{sd-identifier}/automated/{crbq-identifier}/control"
""
"Get"	"/point-of-service/{sd-identifier}/automated/{crbq-identifier}/retrieval"
""	1	"out"	"Customer Contact Reference"	"BQ Assisted Instance Record"	Object
""	2	"out"	"Business Unit Reference"	"BQ Automated Instance Record"	Object
""	3	"out"	"Customer Contact Dialogue Reference"	"BQ Interaction Instance Record"	Object
""
"Put"	"/point-of-service/{sd-identifier}/interaction/{crbq-identifier}/update"
""	1	"inout"	"Customer Contact Dialogue Reference"	"BQ Interaction Instance Record"	Object
""
"Put"	"/point-of-service/{sd-identifier}/interaction/{crbq-identifier}/control"
""
"Get"	"/point-of-service/{sd-identifier}/interaction/{crbq-identifier}/retrieval"
""	1	"out"	"Customer Contact Reference"	"BQ Assisted Instance Record"	Object
""	2	"out"	"Customer Contact Dialogue Reference"	"BQ Interaction Instance Record"	Object
""
"Put"	"/point-of-service/{sd-identifier}/inventory/{crbq-identifier}/update"
""	1	"inout"	"Servicing Inventory Type"	"BQ Inventory Instance Record"	String
""	2	"inout"	"Servicing Position Inventory Record"	"BQ Inventory Instance Record"	String
""	3	"inout"	"Servicing Inventory Transaction Record"	"BQ Inventory Instance Record"	String
""
"Put"	"/point-of-service/{sd-identifier}/inventory/{crbq-identifier}/execution"
""	1	"in"	"Servicing Inventory Type"	"BQ Inventory Instance Record"	String
""	2	"out"	"Servicing Position Inventory Record"	"BQ Inventory Instance Record"	String
""	3	"out"	"Servicing Inventory Transaction Record"	"BQ Inventory Instance Record"	String
""
"Get"	"/point-of-service/{sd-identifier}/inventory/{crbq-identifier}/retrieval"
""	1	"out"	"Servicing Inventory Type"	"BQ Inventory Instance Record"	String
""	2	"out"	"Servicing Position Inventory Record"	"BQ Inventory Instance Record"	String
""	3	"out"	"Servicing Inventory Transaction Record"	"BQ Inventory Instance Record"	String
""
"Put"	"/point-of-service/{sd-identifier}/cash-position/{crbq-identifier}/update"
""	1	"inout"	"Servicing Currency"	"BQ Cash Position Instance Record"	CurrencyCode
""	2	"inout"	"Servicing Cash Holding Record"	"BQ Cash Position Instance Record"	String
""	3	"inout"	"Servicing Cash Transaction Reference"	"BQ Cash Position Instance Record"	Object
""	4	"inout"	"Servicing Cash Transaction Record"	"BQ Cash Position Instance Record"	String
""	5	"inout"	"Product Instance Reference"	"BQ Cash Position Instance Record"	Object
""
"Put"	"/point-of-service/{sd-identifier}/cash-position/{crbq-identifier}/execution"
""	1	"inout"	"Servicing Currency"	"BQ Cash Position Instance Record"	CurrencyCode
""	2	"out"	"Servicing Cash Holding Record"	"BQ Cash Position Instance Record"	String
""	3	"out"	"Servicing Cash Transaction Reference"	"BQ Cash Position Instance Record"	Object
""	4	"out"	"Servicing Cash Transaction Record"	"BQ Cash Position Instance Record"	String
""	5	"inout"	"Product Instance Reference"	"BQ Cash Position Instance Record"	Object
""
"Get"	"/point-of-service/{sd-identifier}/cash-position/{crbq-identifier}/retrieval"
""	1	"out"	"Servicing Currency"	"BQ Cash Position Instance Record"	CurrencyCode
""	2	"out"	"Servicing Cash Holding Record"	"BQ Cash Position Instance Record"	String
""	3	"out"	"Servicing Cash Transaction Reference"	"BQ Cash Position Instance Record"	Object
""	4	"out"	"Servicing Cash Transaction Record"	"BQ Cash Position Instance Record"	String
""	5	"out"	"Product Instance Reference"	"BQ Cash Position Instance Record"	Object
