"Service Operations for: "	Product Deployment
""
"POST"	"/product-deployment/activation"
"PUT"	"/product-deployment/{sd-reference-id}/configuration"
"PUT"	"/product-deployment/{sd-reference-id}/feedback"
""
"Post"	"/product-deployment/{sd-identifier}/productandservice-deployment-development/{crbq-identifier}/creation"
""	1	"inout"	"Product/Service Deployment Project Name"	"CR ProductandService Deployment Development Instance Record"	String
""	2	"inout"	"Product/Service Deployment Project Type"	"CR ProductandService Deployment Development Instance Record"	String
""	3	"inout"	"Product/Service Deployment Project Description"	"CR ProductandService Deployment Development Instance Record"	String
""	4	"inout"	"Product/Service Deployment Implementation Plan"	"CR ProductandService Deployment Development Instance Record"	String
""	5	"inout"	"Product/Service Deployment Budget"	"CR ProductandService Deployment Development Instance Record"	String
""	6	"inout"	"Product/Service Deployment Organization"	"CR ProductandService Deployment Development Instance Record"	String
""	7	"inout"	"Product/Service Deployment Schedule"	"CR ProductandService Deployment Development Instance Record"	String
""	8	"inout"	"Date Type"	"CR ProductandService Deployment Development Instance Record"	String
""
"Put"	"/product-deployment/{sd-identifier}/productandservice-deployment-development/{crbq-identifier}/update"
""	1	"inout"	"Product/Service Deployment Project Name"	"CR ProductandService Deployment Development Instance Record"	String
""	2	"inout"	"Product/Service Deployment Project Type"	"CR ProductandService Deployment Development Instance Record"	String
""	3	"inout"	"Product/Service Deployment Project Description"	"CR ProductandService Deployment Development Instance Record"	String
""	4	"inout"	"Product/Service Deployment Implementation Plan"	"CR ProductandService Deployment Development Instance Record"	String
""	5	"inout"	"Product/Service Deployment Budget"	"CR ProductandService Deployment Development Instance Record"	String
""	6	"inout"	"Product/Service Deployment Organization"	"CR ProductandService Deployment Development Instance Record"	String
""	7	"inout"	"Product/Service Deployment Schedule"	"CR ProductandService Deployment Development Instance Record"	String
""	8	"inout"	"Date Type"	"CR ProductandService Deployment Development Instance Record"	String
""
"Put"	"/product-deployment/{sd-identifier}/productandservice-deployment-development/{crbq-identifier}/control"
""
"Put"	"/product-deployment/{sd-identifier}/productandservice-deployment-development/{crbq-identifier}/exchange"
""
"Put"	"/product-deployment/{sd-identifier}/productandservice-deployment-development/{crbq-identifier}/capture"
""	1	"inout"	"Product/Service Deployment Implementation Plan"	"CR ProductandService Deployment Development Instance Record"	String
""	2	"inout"	"Product/Service Deployment Budget"	"CR ProductandService Deployment Development Instance Record"	String
""	3	"inout"	"Product/Service Deployment Organization"	"CR ProductandService Deployment Development Instance Record"	String
""	4	"inout"	"Product/Service Deployment Schedule"	"CR ProductandService Deployment Development Instance Record"	String
""	5	"inout"	"Date Type"	"CR ProductandService Deployment Development Instance Record"	String
""
"Put"	"/product-deployment/{sd-identifier}/productandservice-deployment-development/{crbq-identifier}/requisition"
""	1	"inout"	"Product/Service Deployment Project Name"	"CR ProductandService Deployment Development Instance Record"	String
""	2	"inout"	"Product/Service Deployment Project Type"	"CR ProductandService Deployment Development Instance Record"	String
""	3	"inout"	"Product/Service Deployment Project Description"	"CR ProductandService Deployment Development Instance Record"	String
""	4	"inout"	"Product/Service Deployment Implementation Plan"	"CR ProductandService Deployment Development Instance Record"	String
""	5	"inout"	"Product/Service Deployment Budget"	"CR ProductandService Deployment Development Instance Record"	String
""	6	"inout"	"Product/Service Deployment Organization"	"CR ProductandService Deployment Development Instance Record"	String
""	7	"inout"	"Product/Service Deployment Schedule"	"CR ProductandService Deployment Development Instance Record"	String
""	8	"inout"	"Date Type"	"CR ProductandService Deployment Development Instance Record"	String
""
"Put"	"/product-deployment/{sd-identifier}/productandservice-deployment-development/{crbq-identifier}/grant"
""
"Get"	"/product-deployment/{sd-identifier}/productandservice-deployment-development/{crbq-identifier}/retrieval"
""	1	"out"	"Product/Service Deployment Project Name"	"CR ProductandService Deployment Development Instance Record"	String
""	2	"out"	"Product/Service Deployment Project Type"	"CR ProductandService Deployment Development Instance Record"	String
""	3	"out"	"Product/Service Deployment Project Description"	"CR ProductandService Deployment Development Instance Record"	String
