"Service Operations for: "	Promotional Events
""
"POST"	"/promotional-events/activation"
"PUT"	"/promotional-events/{sd-reference-id}/configuration"
"PUT"	"/promotional-events/{sd-reference-id}/feedback"
""
"Post"	"/promotional-events/{sd-identifier}/promotional-event-management-plan/{crbq-identifier}/creation"
""	1	"inout"	"Promotional Event Portfolio"	"CR Promotional Event Management Plan Instance Record"	String
""	2	"inout"	"Promotional Event Type"	"CR Promotional Event Management Plan Instance Record"	String
""	3	"inout"	"Promotional Event Description"	"CR Promotional Event Management Plan Instance Record"	String
""	4	"inout"	"Promotional Event Metrics"	"CR Promotional Event Management Plan Instance Record"	String
""	5	"inout"	"Promotional Event Metric Definition"	"CR Promotional Event Management Plan Instance Record"	String
""	6	"inout"	"Promotional Event Schedule"	"CR Promotional Event Management Plan Instance Record"	String
""	7	"out"	"Promotional Event Performance Record"	"CR Promotional Event Management Plan Instance Record"	String
""
"Put"	"/promotional-events/{sd-identifier}/promotional-event-management-plan/{crbq-identifier}/update"
""	1	"inout"	"Promotional Event Portfolio"	"CR Promotional Event Management Plan Instance Record"	String
""	2	"inout"	"Promotional Event Type"	"CR Promotional Event Management Plan Instance Record"	String
""	3	"inout"	"Promotional Event Description"	"CR Promotional Event Management Plan Instance Record"	String
""	4	"inout"	"Promotional Event Metrics"	"CR Promotional Event Management Plan Instance Record"	String
""	5	"inout"	"Promotional Event Metric Definition"	"CR Promotional Event Management Plan Instance Record"	String
""	6	"inout"	"Promotional Event Metric Goal"	"CR Promotional Event Management Plan Instance Record"	String
""	7	"inout"	"Promotional Event Schedule"	"CR Promotional Event Management Plan Instance Record"	String
""	8	"inout"	"Promotional Event Performance Record"	"CR Promotional Event Management Plan Instance Record"	String
""
"Put"	"/promotional-events/{sd-identifier}/promotional-event-management-plan/{crbq-identifier}/requisition"
""	1	"inout"	"Promotional Event Portfolio"	"CR Promotional Event Management Plan Instance Record"	String
""	2	"inout"	"Promotional Event Type"	"CR Promotional Event Management Plan Instance Record"	String
""	3	"inout"	"Promotional Event Description"	"CR Promotional Event Management Plan Instance Record"	String
""	4	"inout"	"Promotional Event Metrics"	"CR Promotional Event Management Plan Instance Record"	String
""	5	"inout"	"Promotional Event Metric Definition"	"CR Promotional Event Management Plan Instance Record"	String
""
"Put"	"/promotional-events/{sd-identifier}/promotional-event-management-plan/{crbq-identifier}/grant"
""
"Get"	"/promotional-events/{sd-identifier}/promotional-event-management-plan/{crbq-identifier}/retrieval"
""	1	"out"	"Promotional Event Portfolio"	"CR Promotional Event Management Plan Instance Record"	String
""	2	"out"	"Promotional Event Type"	"CR Promotional Event Management Plan Instance Record"	String
""	3	"out"	"Promotional Event Description"	"CR Promotional Event Management Plan Instance Record"	String
""	4	"out"	"Promotional Event Metrics"	"CR Promotional Event Management Plan Instance Record"	String
""	5	"out"	"Promotional Event Metric Definition"	"CR Promotional Event Management Plan Instance Record"	String
""	6	"out"	"Promotional Event Metric Goal"	"CR Promotional Event Management Plan Instance Record"	String
""	7	"out"	"Promotional Event Schedule"	"CR Promotional Event Management Plan Instance Record"	String
""	8	"out"	"Promotional Event Performance Record"	"CR Promotional Event Management Plan Instance Record"	String
""
"Put"	"/promotional-events/{sd-identifier}/market-tracking/{crbq-identifier}/update"
""	1	"inout"	"Promotional Event Portfolio"	"CR Promotional Event Management Plan Instance Record"	String
""	2	"inout"	"Promotional Event Type"	"CR Promotional Event Management Plan Instance Record"	String
