"Control Record Model for: "	Public Reference Data Management
"Record Type"	"Instance Record"	"Attribute"	"Description"	"Data Type"
"BQ"	BQ Global Reference Data Instance Record	""	"Create and maintain a design for a procedure, product/service model or other such entity  within Public Reference Data Management. . Example: Create and maintain product designs and analytical models."	""
"BQ"	BQ Global Reference Data Instance Record	Global Reference Data Preconditions	"The required status/situation before the specification aspect can be defined"	Object
"BQ"	BQ Global Reference Data Instance Record	Global Reference Data Specification Schedule	"The schedule and timing of the definition and update/revisions of the specification aspect"	Object
"BQ"	BQ Global Reference Data Instance Record	Global Reference Data Version Number	"The current version, and version history as appropriate for the specification aspect"	Object
"BQ"	BQ Global Reference Data Instance Record	External Reference Data	"The Global Standard Specification specific  Business Service"	Business Service
"BQ"	BQ Global Reference Data Instance Record	External Reference Data Service Type	"Reference to the specific business service type"	String
"BQ"	BQ Global Reference Data Instance Record	External Reference Data Service Description	"Description of the performed business service"	Object
"BQ"	BQ Global Reference Data Instance Record	External Reference Data Service Inputs and Ouputs	"Mandatory and optional inputs and output information for the business service"	Object
"BQ"	BQ Global Reference Data Instance Record	External Reference Data Service Work Product	"Documentation, meeting schedules, notes, reasearch. calculations and any other work products produced by the business service"	Object
"BQ"	BQ Global Reference Data Instance Record	External Reference Data Service Name	""	Object
"BQ"	BQ Public Reference Data Management Outcome Instance Record	""	""	""
"BQ"	BQ Public Reference Data Management Outcome Instance Record	Public Reference Data Management Task	""	Object
"BQ"	BQ Public Reference Data Management Outcome Instance Record	Public Reference Data Management Design	""	Object
"BQ"	BQ Public Reference Data Management Outcome Instance Record	Public Reference Data Management Work Product	""	Object
"BQ"	BQ Public Reference Data Management Outcome Instance Record	Public Reference Data Management Impact Analysis	""	Object
"CR"	CR Global Standard Specification Instance Record	""	"Create and maintain a design for a procedure, product/service model or other such entity  within Public Reference Data Management. . Example: Create and maintain product designs and analytical models."	""
"CR"	CR Global Standard Specification Instance Record	Global Standard Specification Parameter Type	"A Classification value that distinguishes between designs according to the type of business services and/or aspect within Global Standard Specification . Eg Product Design, Campaign Design, Risk Model Design etc. "	String
"CR"	CR Global Standard Specification Instance Record	Global Standard Specification Selected Option	"A selected optional business service as subject matter of design"	String
"CR"	CR Global Standard Specification Instance Record	Global Standard Specification Description	"Documentation of Global Standard Specification"	String
"CR"	CR Global Standard Specification Instance Record	Global Standard Specification Version	"The version of Global Standard Specification"	String
"CR"	CR Global Standard Specification Instance Record	Global Standard Specification Status	"The status of Global Standard Specification"	String
"CR"	CR Global Standard Specification Instance Record	Global Standard Specification Usage Log	"Reference to the log of (usage) ativities/events of Global Standard Specification"	String
"CR"	CR Global Standard Specification Instance Record	Global Standard Specification Feedback	"Information about reactions to a design which is used as a basis for improvement for the Global Standard Specification."	String
"CR"	CR Global Standard Specification Instance Record	Global Standard Specification ServiceProvider Reference	"Reference to the party who has provided Global Standard Specification"	Object
