"Control Record Model for: "	Regulatory Compliance
"Record Type"	"Instance Record"	"Attribute"	"Description"	"Data Type"
"CR"	CR Regulatory Compliance Assessment Instance Record	""	""	""
"CR"	CR Regulatory Compliance Assessment Instance Record	Regulatory Assessment Type	"The type and make-up of regulatory tests referenced in the assessment"	String
"CR"	CR Regulatory Compliance Assessment Instance Record	Business Unit Reference	"The business function or unit assessed for compliance if appropriate"	Object
"CR"	CR Regulatory Compliance Assessment Instance Record	ProductandService Reference	"The associated product/service being assessed if appropriate"	Object
"CR"	CR Regulatory Compliance Assessment Instance Record	Customer Reference	"Reference to the customer assessed if appropriate"	Object
"CR"	CR Regulatory Compliance Assessment Instance Record	Regulatory Authority Reference	"Indication of the authority pertaining to the applied regulation"	Object
"CR"	CR Regulatory Compliance Assessment Instance Record	Regulation Reference	"Reference to the specific regulation"	Object
"CR"	CR Regulatory Compliance Assessment Instance Record	Regulation Definition	"A definition of the goals/required actions addressed by the regulation"	String
"CR"	CR Regulatory Compliance Assessment Instance Record	Regulation Compliance and Reporting Requirements	"Description of the measurements and reporting required to demonstrate compliance"	String
"CR"	CR Regulatory Compliance Assessment Instance Record	Regulation Accountability	"Explanation of the business context, responsibility and accountability for compliance"	String
"CR"	CR Regulatory Compliance Assessment Instance Record	Regulation Penalties	"Outline of the possible implications of non-compliance"	String
"CR"	CR Regulatory Compliance Assessment Instance Record	Regulation Guideline	"Guidelines and requirements for compliance"	String
"CR"	CR Regulatory Compliance Assessment Instance Record	Document Reference	"Reference to any documentation classified/archived as appropriate"	Object
"CR"	CR Regulatory Compliance Assessment Instance Record	Regulatory Assessment Work Products	"Work documentation, forms and schedules produced and referenced during the assessment"	String
"CR"	CR Regulatory Compliance Assessment Instance Record	Regulatory Assessment Result	"Outcome/result of the assessment, can include remedial actions"	String
