"Control Record Model for: "	Sales Product Agreement
"Record Type"	"Instance Record"	"Attribute"	"Description"	"Data Type"
"BQ"	BQ Regulatory Terms Instance Record	""	""	""
"BQ"	BQ Regulatory Terms Instance Record	Regulatory Authority	"The applicable regulatory authority"	String
"BQ"	BQ Regulatory Terms Instance Record	Applicable Regulation Reference	"Reference to any regulatory requirements"	Object
"BQ"	BQ Regulatory Terms Instance Record	Applicable Regulation Interpretation	"Explanation or interpretation of the regulation as applied"	String
"CR"	CR Sales Product Agreement Instance Record	""	""	""
"CR"	CR Sales Product Agreement Instance Record	Customer Reference	"Reference to the associated customer (can currently be a person or a company)"	Object
"CR"	CR Sales Product Agreement Instance Record	Legal Entity Reference	"Reference to the legal entity that is the subject of the agreement"	Object
"CR"	CR Sales Product Agreement Instance Record	ProductandService Type	"Reference to the type of product/service covered by the agreement"	String
"CR"	CR Sales Product Agreement Instance Record	Product Instance Reference	"Reference to the specific product instance covered by the sales product agreement"	Object
"CR"	CR Sales Product Agreement Instance Record	Agreement Type	"The type of customer agreement (e.g. individual, corporate)"	String
"CR"	CR Sales Product Agreement Instance Record	Agreement Jurisdiction	"The contractual jurisdiction or coverage of the agreement (e.g. "governed by State")"	String
"CR"	CR Sales Product Agreement Instance Record	Agreement Valid From/To Date	"The term of the agreement"	Date
"CR"	CR Sales Product Agreement Instance Record	Agreement Signatories/Responsible Parties	"Reference to signatories"	String
"CR"	CR Sales Product Agreement Instance Record	Document Directory Entry Instance Reference	"Reference to any associated documents"	Object
"CR"	CR Sales Product Agreement Instance Record	Customer Agreement Reference	"Reference to the customer master agreement that governs the product agreement"	Object
"CR"	CR Sales Product Agreement Instance Record	Party Life-cycle Management Reference	"Reference to KYC/Regulatory assessments maintained elsewhere for the customer"	Object
"BQ"	BQ Policy Terms Instance Record	""	""	""
"BQ"	BQ Policy Terms Instance Record	Bank Policy-Rule Type	"The type of bank policy referenced (e.g. staff certification)"	String
"BQ"	BQ Policy Terms Instance Record	Applicable Bank Policy-Rule Reference	"Reference to the bank's policies or rules"	Object
"BQ"	BQ Policy Terms Instance Record	Applicable Bank Policy- Rule Interpretation	"Explanation or interpretation of the policy or rule as applied"	String
"BQ"	BQ Legal Terms Instance Record	""	""	""
"BQ"	BQ Legal Terms Instance Record	Jurisdiction	"The legal jurisdiction"	String
"BQ"	BQ Legal Terms Instance Record	Applicable Law Reference	"Reference to any legal requirements"	Object
"BQ"	BQ Legal Terms Instance Record	Applicable Law Interpretation	"Explanation or interpretation of the law as applied"	String
