"Control Record Model for: "	Segment Direction
"Record Type"	"Instance Record"	"Attribute"	"Description"	"Data Type"
"BQ"	BQ Initiative Instance Record	""	""	""
"BQ"	BQ Initiative Instance Record	Segment Initiative Business Unit Reference	"Business unit responsible for implementing a specific initiative supporting the segment strategy"	Object
"BQ"	BQ Initiative Instance Record	Segment Initiative Type	"The type of initiative (e.g. development project, acquisition, campaign, media communications)"	String
"BQ"	BQ Initiative Instance Record	Segment Initiative Description	"Definition of the initiative, including planned actions, deliverables and intended outcomes"	String
"BQ"	BQ Initiative Instance Record	Segment Initiative Schedule	"Planned and actual dates for activities making up the initiative. Any necessary details describing the purpose or reference properties of the transaction"	String
"BQ"	BQ Initiative Instance Record	Segment Initiative Work Products	"File of consolidated notes, assessments etc. arising from the work"	String
"BQ"	BQ Initiative Instance Record	Segment Initiative Result	"An assessment of the results/impact of the segment initiative"	String
"BQ"	BQ Initiative Instance Record	Document Directory Entry Instance Reference	"Reference to associated documents (when appropriate)"	Object
"BQ"	BQ Initiative Instance Record	Correspondence Instance Reference	"Reference to the correspondence generated by the initiative"	Object
"BQ"	BQ Initiative Instance Record	Date Type	"Key dates and times associated with the execution of the segment initiative (e.g. start, review, completion)"	String
"BQ"	BQ Initiative Instance Record	Date	"Value of the date type"	String
"CR"	CR Segment Strategy Instance Record	""	""	""
"CR"	CR Segment Strategy Instance Record	Segment Strategy Period	"The time period addressed by the segment strategy"	String
"CR"	CR Segment Strategy Instance Record	Segment Strategy Policies And Guidelines	"Specific policies and guidelines that govern the application of the strategy"	String
"CR"	CR Segment Strategy Instance Record	Segment Strategy Organization	"Roles and responsibilities for the oversight of implementation of the strategy"	String
"CR"	CR Segment Strategy Instance Record	Segment Strategy Budget	"Target and actual financial budget for the strategy"	String
"CR"	CR Segment Strategy Instance Record	Segment Strategy Schedule	"The target and actual strategy implementation schedule - recording planned and actual initiatives associated with the realization of the strategy"	String
"CR"	CR Segment Strategy Instance Record	Segment Goal Record	"The record of the goals making up the overall segment strategy"	String
"CR"	CR Segment Strategy Instance Record	Segment Goal Type	"The type of goal (e.g. market share, new business, relationship performance)"	String
"CR"	CR Segment Strategy Instance Record	Segment Goal Definition	"A definition of the goal, including the intended actions required to achieve the goal"	String
"CR"	CR Segment Strategy Instance Record	Segment Goal Organization	"Identifies the interested parties and their roles and responsibilities for the specific actions supporting the achievement of the goal"	String
"CR"	CR Segment Strategy Instance Record	Segment Goal Result	"Assessment of how the work is progressing towards achieving the goal, including projections of likely outcomes"	String
