"Control Record Model for: "	Standing Order
"Record Type"	"Instance Record"	"Attribute"	"Description"	"Data Type"
"CR"	CR Standing Order Arrangement Instance Record	""	"Fulfill any scheduled and ad-hoc obligations under a service arrangement, most typically for a financial product or facility  within Standing Order. . Example: Perform the scheduled (e.g. statements, standing orders) and ad-hoc/requested (e.g. balance inquiries, fund transfers) fulfillment tasks for a customer current account facility."	""
"CR"	CR Standing Order Arrangement Instance Record	Standing Order Arrangement Parameter Type	"A Classification value that distinguishes between arrangements according to the type of business services within Standing Order Arrangement"	String
"CR"	CR Standing Order Arrangement Instance Record	Standing Order Arrangement Selected Option	"A selected optional product feature as subject matter of Standing Order Arrangement"	Feature
"CR"	CR Standing Order Arrangement Instance Record	Standing Order Arrangement Type	"The type of Standing Order Arrangement"	BankingProductType
"CR"	CR Standing Order Arrangement Instance Record	Standing Order Arrangement Calendar	"Timetable to fulfill Standing Order Arrangement"	String
"CR"	CR Standing Order Arrangement Instance Record	Standing Order Arrangement Status	"The status of Standing Order Arrangement"	String
"CR"	CR Standing Order Arrangement Instance Record	Standing Order Arrangement Associated Party	"Reference to the party who is involved in Standing Order Arrangement"	InvolvedParty
"CR"	CR Standing Order Arrangement Instance Record	Standing Order Arrangement Currency	"The curreny which is arranged in Standing Order Arrangement"	CurrencyCode
"CR"	CR Standing Order Arrangement Instance Record	Standing Order Arrangement Regulation Reference	"Reference to the regulation which is defined in Standing Order Arrangement"	RuleSet
"CR"	CR Standing Order Arrangement Instance Record	Standing Order Arrangement Regulation Type	"A Classification that distinguishes between the regularity domains of Standing Order Arrangement"	RuleSetTypeValues
"CR"	CR Standing Order Arrangement Instance Record	Standing Order Arrangement Jurisdiction	"Reference to the jurisdiction that is assigned to Standing Order Arrangement in case of legal dispute."	Jurisdiction
"CR"	CR Standing Order Arrangement Instance Record	Standing Order Arrangement Booking Location	"The financial accounting unit into which the financial events, with regard to the origination and fulfillment of the agreement in the context of Standing Order Arrangement, are entered."	BusinessUnit
"CR"	CR Standing Order Arrangement Instance Record	Standing Order Arrangement Account Type	"The type of account which is linked to Standing Order Arrangement"	AccountTypeValues
"CR"	CR Standing Order Arrangement Instance Record	Standing Order Arrangement Account Reference	"Reference to the account which is linked to Standing Order Arrangement"	Account
"CR"	CR Standing Order Arrangement Instance Record	Standing Order Arrangement Customer Reference	"Reference to the customer who is involved in Standing Order Arrangement"	InvolvedParty
"CR"	CR Standing Order Arrangement Instance Record	Standing Order Arrangement Position	"The current calculated position"	String
"CR"	CR Standing Order Arrangement Instance Record	Standing Order Arrangement Product Reference	"Reference to the product which is linked to Standing Order Arrangement"	BankingProduct
"CR"	CR Standing Order Arrangement Instance Record	Standing Order Arrangement Position Limit	""	String
"CR"	CR Standing Order Arrangement Instance Record	FeeAccountReference	"Reference to account that has to be debited for the standing order fee"	String
"CR"	CR Standing Order Arrangement Instance Record	CounterpartyCustomerReference	"Reference to counterparty if this is a customer of the bank"	String
"CR"	CR Standing Order Arrangement Instance Record	CounterpartyAccountReference	"Reference to the counterparty account if it is in this bank"	String
"CR"	CR Standing Order Arrangement Instance Record	CounterpartyExternalAccountCode	"External number of the account (could be internal or external account) that has to be credited (credit transfer) of debited (request to pay) for the principal amount"	String
"CR"	CR Standing Order Arrangement Instance Record	PrincipalAmount	"Principal amount of the standing order"	String
"CR"	CR Standing Order Arrangement Instance Record	FeeAmount	"Fee amount charged for the execution of the standing order"	String
"CR"	CR Standing Order Arrangement Instance Record	PaymentDetailsDescription	"Payment details that will be added to the credit transfer or request to pay during execution of the standing order"	String
"CR"	CR Standing Order Arrangement Instance Record	StartDate	"First date on which the standing order will be executed"	String
"CR"	CR Standing Order Arrangement Instance Record	EndDate	"Last date on which the standing order will be executed"	String
"CR"	CR Standing Order Arrangement Instance Record	PeriodicityDescription	"Periodicity with which the standing order will be executed, e.g. yearly, quarterly, monthly, weekly, every XX days,……."	String
"CR"	CR Standing Order Arrangement Instance Record	DayNumberInPeriodicityDescription	"Day number within the periodicity interval on whch the standing order will be executed, e.g. First, Last, XX"	String
"BQ"	BQ Standing Order Payment Instance Record	""	"Fulfill any scheduled and ad-hoc obligations under a service arrangement, most typically for a financial product or facility  within Standing Order. . Example: Perform the scheduled (e.g. statements, standing orders) and ad-hoc/requested (e.g. balance inquiries, fund transfers) fulfillment tasks for a customer current account facility."	""
"BQ"	BQ Standing Order Payment Instance Record	Standing Order Payment Preconditions	"The required status/situation prior to the implementation of the feature"	Condition
"BQ"	BQ Standing Order Payment Instance Record	Standing Order Payment Feature Schedule	"The timing and key actions/milestones involved in completing the fulfillment feature instance"	Schedule
"BQ"	BQ Standing Order Payment Instance Record	Business Service	"The Standing Order Arrangement specific Business Service"	Business Service
"BQ"	BQ Standing Order Payment Instance Record	Standing Order Payment Postconditions	"The completion status and any triggered/dependent actions once the feature instance has been fulfilled"	Condition
"BQ"	BQ Standing Order Payment Instance Record	Standing Order Payment Service Type	"Reference to the specific business service type"	String
"BQ"	BQ Standing Order Payment Instance Record	Standing Order Payment Service Description	"Description of the performed business service"	Text
"BQ"	BQ Standing Order Payment Instance Record	Standing Order Payment Service Inputs and Ouputs	"Mandatory and optional inputs and output information for the business service"	String
"BQ"	BQ Standing Order Payment Instance Record	Standing Order Payment Service Work Product	"Documentation, meeting schedules, notes, reasearch. calculations and any other work products produced by the business service"	WorkProduct
"BQ"	BQ Standing Order Payment Instance Record	Standing Order Payment Service Name	""	Name
"BQ"	BQ Standing Order Payment Instance Record	StandingOrderExecutionDate	"Date on which a standing order is actually executed"	String
"BQ"	BQ Standing Order Payment Instance Record	StandingOrderExecutionResultType	"Result of the execition instruction, e.g. executed or not excuted"	String
"BQ"	BQ Standing Order Payment Instance Record	StandingOrderExecutionNotExecutedReasonDescription	"Description of the reason for not excuting a standing order, e.g. insufficient balance, account blocked, AML flag, ……"	String
"BQ"	BQ Standing Order Payment Instance Record	StandingOrderExecutionPrincipalAmount	"Actual principal amount of the this execution of the standing order"	String
"BQ"	BQ Standing Order Payment Instance Record	StandingOrderExecutionFeeAmount	"Actual fee amount of the this execution of the standing order"	String
"BQ"	BQ Standing Order Outcome Instance Record	""	""	""
"BQ"	BQ Standing Order Outcome Instance Record	Standing Order Financial Facility	""	String
"BQ"	BQ Standing Order Outcome Instance Record	Standing Order Work Product	""	253566
