"Control Record Model for: "	Transaction Authorization
"Record Type"	"Instance Record"	"Attribute"	"Description"	"Data Type"
"CR"	CR Interactive Transaction Assessment Instance Record	""	""	""
"CR"	CR Interactive Transaction Assessment Instance Record	Customer Reference	"Reference to the customer requesting the transaction"	Object
"CR"	CR Interactive Transaction Assessment Instance Record	Employee Reference	"The servicing resource for assisted customer exchanges"	Object
"CR"	CR Interactive Transaction Assessment Instance Record	Product Reference	"The type of product involved"	Object
"CR"	CR Interactive Transaction Assessment Instance Record	Product Instance Reference	"Reference to the specific product accessed by the proposed transaction"	Object
"CR"	CR Interactive Transaction Assessment Instance Record	Proposed Transaction Type	"The general type of action proposed (e.g. balance report, payment, change of address)"	String
"CR"	CR Interactive Transaction Assessment Instance Record	Proposed Transaction Value	"Details key values in the transaction (e.g. amount for a payment, dates for reporting, counterparties)"	String
"CR"	CR Interactive Transaction Assessment Instance Record	Customer Contact Record Reference	"Reference to the contact record for the active contact where the transaction is sourced"	Object
"CR"	CR Interactive Transaction Assessment Instance Record	Customer Contact Record	"The contact record consolidates all aspects of the contact that is cross-referenced by all  contact functions and called servicing sessions that make up the contact"	String
"CR"	CR Interactive Transaction Assessment Instance Record	Customer Contact Record Customer Reference	"The customer reference as provided by the contacting party and verified by the authentication function"	Object
"CR"	CR Interactive Transaction Assessment Instance Record	Customer Contact Record Contact Device	"The contact device can be determined by the channel operations facilities (e.g. URL/ANI-phone number)"	String
"CR"	CR Interactive Transaction Assessment Instance Record	Customer Contact Record Authentication Status (as obtained by SD-Contact Handler)	"The contact authentication level is determined by the authentication function and can be updated during the contact"	String
"CR"	CR Interactive Transaction Assessment Instance Record	Customer Contact Record Routing Selection Status	"The routing selections made through the contact"	String
"CR"	CR Interactive Transaction Assessment Instance Record	Customer Contact Record Menu Selection	"The requested service from a menu option can be indicated by the customer when initiating or during contact"	String
"CR"	CR Interactive Transaction Assessment Instance Record	Customer Contact Record Servicing Request	"The customer may provide details of servicing resource request when initiating or during contact"	String
"CR"	CR Interactive Transaction Assessment Instance Record	Customer Contact Record Servicing Event History	"Contact Handler can reference recent servicing activity for routing, security and servicing purposes (obtained from Service Domain Channel Activity History)"	String
"CR"	CR Interactive Transaction Assessment Instance Record	Customer Contact Record Servicing Position Reference	"Reference to the servicing position - can be where an inbound contact is routed, or the source of an outbound contact request"	Object
"CR"	CR Interactive Transaction Assessment Instance Record	Customer Contact Record Servicing Resource Reference	"Reference to the servicing resource - can be to handle an inbound contact or the source of an outbound contact request"	Object
"CR"	CR Interactive Transaction Assessment Instance Record	Customer Contact Record Activity Record	"Records the actions performed during contact, including all dialogue sessions"	String
"CR"	CR Interactive Transaction Assessment Instance Record	Customer Session Dialogue Reference	"Reference to any contact session dialogue records created during the contact - there can be several"	Object
"CR"	CR Interactive Transaction Assessment Instance Record	Customer Session Dialogue Record	"The session dialogue log of actions is returned to SD-Contact Handler and added to the contact record"	String
"CR"	CR Interactive Transaction Assessment Instance Record	Session Dialogue Type	"The general type of customer exchange (e.g. verified customer, anonymous contact, topic - used to structure/script dialogue)"	String
"CR"	CR Interactive Transaction Assessment Instance Record	Session Dialogue Script	"In cases a prompt or script can provided to structure the interaction for self-service and assisted interactions"	String
"CR"	CR Interactive Transaction Assessment Instance Record	Session Dialogue Log Reference	"Reference to a dialogue log that is built up"	Object
"CR"	CR Interactive Transaction Assessment Instance Record	Session Dialogue Log	"The dialogue log, used for training and root cause analysis etc.  (e.g. click-stream, video/audio recording)"	String
"CR"	CR Interactive Transaction Assessment Instance Record	Session Dialogue Session Mechanism	"The mechanism for the session (e.g.. web, phone, chat, video, VOIP, face to face at a branch - note there can be concurrent sessions within a single customer contact)"	String
"CR"	CR Interactive Transaction Assessment Instance Record	Session Dialogue Record Session Start/End Time	"The start and end times for the session"	String
"CR"	CR Interactive Transaction Assessment Instance Record	Session Dialogue Result	"The outcome of the dialogue (e.g. customer satisfied, on-ward routing, hang-up)"	String
"CR"	CR Interactive Transaction Assessment Instance Record	Customer Contact Record Duration	"Records the start and end date times for the contact"	String
"CR"	CR Interactive Transaction Assessment Instance Record	Customer Contact Activity Record	"Description of all actions performed during the contact, including all sessions"	String
"CR"	CR Interactive Transaction Assessment Instance Record	Customer Contact Result	"The interim result of the contact (subject to transaction approval)"	String
"CR"	CR Interactive Transaction Assessment Instance Record	Channel Activity History Report Reference	"Reference to a channel activity report extracted for the customer"	Object
"CR"	CR Interactive Transaction Assessment Instance Record	Channel Activity History Report From/to	"The period for the channel activity report"	String
"CR"	CR Interactive Transaction Assessment Instance Record	Channel Activity History Report	"The content of the report extracting recent channel activity records to support the transaction authorization decision"	String
"CR"	CR Interactive Transaction Assessment Instance Record	Transaction Authorization Guidance	"In case of failure, the guidance explains reason and details if additional information can be considered"	String
"CR"	CR Interactive Transaction Assessment Instance Record	Transaction Authorization Result	"Indicates success or failure or required increased authentication level to be acquired for authorization"	String
