"Service Operations for: "	Underwriting
""
"POST"	"/underwriting/activation"
"PUT"	"/underwriting/{sd-reference-id}/configuration"
"PUT"	"/underwriting/{sd-reference-id}/feedback"
""
"Post"	"/underwriting/{sd-identifier}/underwriting-assessment/{crbq-identifier}/evaluation"
""	1	"inout"	"Underwriting Guidelines"	"CR Underwriting Assessment Instance Record"	String
""	2	"out"	"Required Customer Employment History Details"	"CR Underwriting Assessment Instance Record"	String
""	3	"out"	"Required Customer Debt/Asset Statement"	"CR Underwriting Assessment Instance Record"	String
""	4	"out"	"Required Customer Credit Assessment"	"CR Underwriting Assessment Instance Record"	String
""	5	"out"	"Required Collateral Coverage"	"CR Underwriting Assessment Instance Record"	String
""	6	"out"	"Required Customer Product/Service Payment History"	"CR Underwriting Assessment Instance Record"	String
""	7	"out"	"Required Customer Documents"	"CR Underwriting Assessment Instance Record"	String
""	8	"inout"	"Proposed Transaction Details"	"CR Underwriting Assessment Instance Record"	String
""	9	"in"	"Product Instance Reference"	"CR Underwriting Assessment Instance Record"	Object
""	10	"in"	"Proposed Loan Terms"	"CR Underwriting Assessment Instance Record"	String
""	11	"in"	"Proposed Loan Amount"	"CR Underwriting Assessment Instance Record"	Amount
""	12	"in"	"Loan Purpose"	"CR Underwriting Assessment Instance Record"	String
""	13	"in"	"Customer Reference"	"CR Underwriting Assessment Instance Record"	Object
""	14	"in"	"Customer Reference Details"	"CR Underwriting Assessment Instance Record"	Object
""	15	"in"	"Customer Product Eligibility Terms"	"CR Underwriting Assessment Instance Record"	String
""	16	"in"	"Customer Income Statement"	"CR Underwriting Assessment Instance Record"	String
""	17	"in"	"Customer Debt Statement"	"CR Underwriting Assessment Instance Record"	String
""	18	"in"	"Customer Asset Statement"	"CR Underwriting Assessment Instance Record"	String
""	19	"in"	"Collateral Item Reference"	"CR Underwriting Assessment Instance Record"	Object
""	20	"in"	"Collateral Item Type"	"CR Underwriting Assessment Instance Record"	String
""	21	"in"	"Collateral Item Valuation"	"CR Underwriting Assessment Instance Record"	String
""	22	"inout"	"Document Reference"	"CR Underwriting Assessment Instance Record"	Object
""	23	"out"	"Underwriting Assessment Decision"	"CR Underwriting Assessment Instance Record"	String
""	24	"out"	"Underwriting Assessment Work Product"	"CR Underwriting Assessment Instance Record"	String
""
"Put"	"/underwriting/{sd-identifier}/underwriting-assessment/{crbq-identifier}/update"
""	1	"inout"	"Proposed Transaction Details"	"CR Underwriting Assessment Instance Record"	String
