"Service Operations for: "	eBranch Management
""
"POST"	"/ebranch-management/activation"
"PUT"	"/ebranch-management/{sd-reference-id}/configuration"
"PUT"	"/ebranch-management/{sd-reference-id}/feedback"
""
"Post"	"/ebranch-management/{sd-identifier}/ebranch-channel-management-plan/{crbq-identifier}/creation"
""	1	"inout"	"E-Branch Channel Management Plan Period"	"CR eBranch Channel Management Plan Instance Record"	String
""	2	"out"	"E-Branch Channel Usage Policies & Guidelines"	"CR eBranch Channel Management Plan Instance Record"	String
""	3	"out"	"E-Branch Channel Service Operating Parameters"	"CR eBranch Channel Management Plan Instance Record"	String
""	4	"inout"	"E-Branch Channel Service Performance Goals"	"CR eBranch Channel Management Plan Instance Record"	String
""	5	"inout"	"E-Branch Channel Service Schedule"	"CR eBranch Channel Management Plan Instance Record"	String
""
"Put"	"/ebranch-management/{sd-identifier}/ebranch-channel-management-plan/{crbq-identifier}/update"
""
"Put"	"/ebranch-management/{sd-identifier}/ebranch-channel-management-plan/{crbq-identifier}/exchange"
""
"Put"	"/ebranch-management/{sd-identifier}/ebranch-channel-management-plan/{crbq-identifier}/requisition"
""
"Get"	"/ebranch-management/{sd-identifier}/ebranch-channel-management-plan/{crbq-identifier}/retrieval"
""	1	"out"	"E-Branch Channel Management Plan Period"	"CR eBranch Channel Management Plan Instance Record"	String
""	2	"out"	"E-Branch Channel Usage Policies & Guidelines"	"CR eBranch Channel Management Plan Instance Record"	String
""	3	"out"	"E-Branch Channel Service Operating Parameters"	"CR eBranch Channel Management Plan Instance Record"	String
""	4	"out"	"E-Branch Channel Service Performance Goals"	"CR eBranch Channel Management Plan Instance Record"	String
""	5	"out"	"E-Branch Channel Service Schedule"	"CR eBranch Channel Management Plan Instance Record"	String
""
"Put"	"/ebranch-management/{sd-identifier}/capacity-planning/{crbq-identifier}/update"
""	1	"inout"	"E-Branch Channel Service Schedule"	"CR eBranch Channel Management Plan Instance Record"	String
""	2	"inout"	"E-Branch Channel Platform Utilization"	"BQ Capacity Planning Instance Record"	String
""	3	"inout"	"E-Branch Channel Loading Projections"	"BQ Capacity Planning Instance Record"	String
""
"Put"	"/ebranch-management/{sd-identifier}/capacity-planning/{crbq-identifier}/requisition"
""	1	"inout"	"E-Branch Channel Platform Utilization"	"BQ Capacity Planning Instance Record"	String
""	2	"inout"	"E-Branch Channel Loading Projections"	"BQ Capacity Planning Instance Record"	String
""
"Get"	"/ebranch-management/{sd-identifier}/capacity-planning/{crbq-identifier}/retrieval"
""	1	"out"	"E-Branch Channel Management Plan Period"	"CR eBranch Channel Management Plan Instance Record"	String
""	2	"out"	"E-Branch Channel Usage Policies & Guidelines"	"CR eBranch Channel Management Plan Instance Record"	String
""	3	"out"	"E-Branch Channel Service Operating Parameters"	"CR eBranch Channel Management Plan Instance Record"	String
""	4	"out"	"E-Branch Channel Service Performance Goals"	"CR eBranch Channel Management Plan Instance Record"	String
""	5	"out"	"E-Branch Channel Service Schedule"	"CR eBranch Channel Management Plan Instance Record"	String
""	6	"out"	"E-Branch Channel Platform Utilization"	"BQ Capacity Planning Instance Record"	String
""	7	"out"	"E-Branch Channel Loading Projections"	"BQ Capacity Planning Instance Record"	String
""
"Post"	"/ebranch-management/{sd-identifier}/maintenance-and-upgrades/{crbq-identifier}/creation"
""	1	"inout"	"E-Branch Channel Management Plan Period"	"CR eBranch Channel Management Plan Instance Record"	String
""	2	"in"	"E-Branch Channel Usage Policies & Guidelines"	"CR eBranch Channel Management Plan Instance Record"	String
""	3	"in"	"E-Branch Channel Service Operating Parameters"	"CR eBranch Channel Management Plan Instance Record"	String
""	4	"inout"	"E-Branch Channel Service Performance Goals"	"CR eBranch Channel Management Plan Instance Record"	String
""	5	"inout"	"E-Branch Channel Service Schedule"	"CR eBranch Channel Management Plan Instance Record"	String
""	6	"inout"	"E-Branch Channel Maintenance and Upgrade Schedule"	"BQ Maintenance And Upgrades Instance Record"	String
""	7	"inout"	"E-Branch Channel Maintenance and Upgrade Work Task Type"	"BQ Maintenance And Upgrades Instance Record"	String
""	8	"inout"	"E-Branch Channel Maintenance and Upgrade Work Task Work Products"	"BQ Maintenance And Upgrades Instance Record"	String
""	9	"out"	"E-Branch Channel Maintenance and Upgrade Work Task Result"	"BQ Maintenance And Upgrades Instance Record"	String
""	10	"inout"	"E-Branch Channel Maintenance and Upgrade Work Task Date-Time"	"BQ Maintenance And Upgrades Instance Record"	Date
""
"Put"	"/ebranch-management/{sd-identifier}/maintenance-and-upgrades/{crbq-identifier}/update"
""	1	"inout"	"E-Branch Channel Maintenance and Upgrade Schedule"	"BQ Maintenance And Upgrades Instance Record"	String
""	2	"inout"	"E-Branch Channel Maintenance and Upgrade Work Task Type"	"BQ Maintenance And Upgrades Instance Record"	String
""	3	"inout"	"E-Branch Channel Maintenance and Upgrade Work Task Work Products"	"BQ Maintenance And Upgrades Instance Record"	String
""	4	"inout"	"E-Branch Channel Maintenance and Upgrade Work Task Result"	"BQ Maintenance And Upgrades Instance Record"	String
""	5	"inout"	"E-Branch Channel Maintenance and Upgrade Work Task Date-Time"	"BQ Maintenance And Upgrades Instance Record"	Date
""
"Put"	"/ebranch-management/{sd-identifier}/maintenance-and-upgrades/{crbq-identifier}/requisition"
""	1	"inout"	"E-Branch Channel Maintenance and Upgrade Schedule"	"BQ Maintenance And Upgrades Instance Record"	String
""	2	"inout"	"E-Branch Channel Maintenance and Upgrade Work Task Type"	"BQ Maintenance And Upgrades Instance Record"	String
""	3	"inout"	"E-Branch Channel Maintenance and Upgrade Work Task Work Products"	"BQ Maintenance And Upgrades Instance Record"	String
""	4	"out"	"E-Branch Channel Maintenance and Upgrade Work Task Result"	"BQ Maintenance And Upgrades Instance Record"	String
""	5	"inout"	"E-Branch Channel Maintenance and Upgrade Work Task Date-Time"	"BQ Maintenance And Upgrades Instance Record"	Date
""
"Get"	"/ebranch-management/{sd-identifier}/maintenance-and-upgrades/{crbq-identifier}/retrieval"
""	1	"out"	"E-Branch Channel Maintenance and Upgrade Schedule"	"BQ Maintenance And Upgrades Instance Record"	String
""	2	"out"	"E-Branch Channel Maintenance and Upgrade Work Task Type"	"BQ Maintenance And Upgrades Instance Record"	String
""	3	"out"	"E-Branch Channel Maintenance and Upgrade Work Task Work Products"	"BQ Maintenance And Upgrades Instance Record"	String
""	4	"out"	"E-Branch Channel Maintenance and Upgrade Work Task Result"	"BQ Maintenance And Upgrades Instance Record"	String
""	5	"out"	"E-Branch Channel Maintenance and Upgrade Work Task Date-Time"	"BQ Maintenance And Upgrades Instance Record"	Date
""
"Put"	"/ebranch-management/{sd-identifier}/troubleshooting/{crbq-identifier}/update"
""	1	"inout"	"E-Branch Channel Production Issue Record"	"BQ Troubleshooting Instance Record"	String
""	2	"inout"	"E-Branch Channel Issue Analysis & Recommended Response"	"BQ Troubleshooting Instance Record"	String
""
"Put"	"/ebranch-management/{sd-identifier}/troubleshooting/{crbq-identifier}/requisition"
""	1	"inout"	"E-Branch Channel Production Issue Record"	"BQ Troubleshooting Instance Record"	String
""	2	"inout"	"E-Branch Channel Issue Analysis & Recommended Response"	"BQ Troubleshooting Instance Record"	String
""
"Get"	"/ebranch-management/{sd-identifier}/troubleshooting/{crbq-identifier}/retrieval"
""	1	"out"	"E-Branch Channel Production Issue Record"	"BQ Troubleshooting Instance Record"	String
""	2	"out"	"E-Branch Channel Issue Analysis & Recommended Response"	"BQ Troubleshooting Instance Record"	String
